Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/14/2020,02/18/2020,03/10/2020,01/29/2020,Normal,1.29
11/15/2019,11/18/2019,12/10/2019,10/30/2019,Normal,1.19
08/16/2019,08/19/2019,09/10/2019,07/31/2019,Normal,1.19
05/16/2019,05/17/2019,06/10/2019,04/24/2019,Normal,1.19
02/14/2019,02/15/2019,03/11/2019,01/30/2019,Normal,1.19
11/15/2018,11/16/2018,12/10/2018,10/31/2018,Normal,1.12
08/16/2018,08/17/2018,09/10/2018,07/26/2018,Normal,1.12
05/17/2018,05/18/2018,06/11/2018,04/25/2018,Normal,1.12
02/15/2018,02/16/2018,03/12/2018,01/01/2018,Normal,1.12
11/16/2017,11/17/2017,12/11/2017,10/26/2017,Normal,1.08
08/16/2017,08/12/2017,09/11/2017,08/01/2017,Normal,1.08
05/17/2017,05/19/2017,06/12/2017,04/26/2017,Normal,1.08
02/14/2017,02/16/2017,03/10/2017,01/25/2017,Normal,1.08
11/16/2016,11/18/2016,12/12/2016,10/26/2016,Normal,1.08
08/17/2016,08/19/2016,09/12/2016,07/27/2016,Normal,1.07
05/17/2016,05/19/2016,06/10/2016,04/27/2016,Normal,1.07
02/16/2016,02/18/2016,03/10/2016,01/27/2016,Normal,1.07
11/16/2015,11/18/2015,12/10/2015,10/30/2015,Normal,1.07
08/17/2015,08/19/2015,09/10/2015,07/28/2015,Normal,1.07
05/15/2015,05/19/2015,06/10/2015,04/29/2015,Normal,1.07
02/12/2015,02/17/2015,03/10/2015,01/28/2015,Normal,1.07
11/14/2014,11/18/2014,12/10/2014,10/29/2014,Normal,1.07
08/15/2014,08/19/2014,09/10/2014,07/30/2014,Normal,1.07
05/15/2014,05/19/2014,06/10/2014,04/30/2014,Normal,1.07
02/12/2014,02/14/2014,03/10/2014,01/29/2014,Normal,1.00
11/14/2013,11/18/2013,12/10/2013,10/30/2013,Normal,1.00
08/15/2013,08/19/2013,09/10/2013,07/31/2013,Normal,1.00
05/15/2013,05/17/2013,06/10/2013,04/24/2013,Normal,1.00
02/13/2013,02/15/2013,03/11/2013,01/30/2013,Normal,0.90
11/14/2012,11/16/2012,12/10/2012,10/31/2012,Normal,0.90
08/15/2012,08/17/2012,09/10/2012,07/26/2012,Normal,0.90
05/16/2012,05/18/2012,06/11/2012,04/26/2012,Normal,0.90
02/15/2012,02/17/2012,03/12/2012,01/26/2012,Normal,0.81
11/16/2011,11/18/2011,12/12/2011,10/27/2011,Normal,0.81
08/17/2011,08/19/2011,09/12/2011,07/28/2011,Normal,0.78
05/17/2011,05/19/2011,06/10/2011,04/28/2011,Normal,0.78
02/14/2011,02/16/2011,03/10/2011,01/27/2011,Normal,0.72
11/16/2010,11/18/2010,12/10/2010,10/28/2010,Normal,0.72
