date,shares_outstanding
"Feb. 10, 2020",1.879B
"Dec. 31, 2019",1.882B
"Sept. 30, 2019",1.891B
"June 30, 2019",1.898B
"April 5, 2019",1.905B
"April 1, 2019",1.905B
"March 31, 2019",1.905B
"March 15, 2019",1.903B
"Feb. 11, 2019",1.900B
"Dec. 31, 2018",1.903B
"Sept. 30, 2018",1.911B
"June 30, 2018",1.916B
"April 2, 2018",1.911B
"March 31, 2018",1.911B
"March 12, 2018",1.911B
"Feb. 12, 2018",1.910B
"Dec. 31, 2017",1.905B
"Sept. 30, 2017",1.899B
"June 30, 2017",1.895B
"April 3, 2017",1.895B
"March 31, 2017",1.895B
"March 17, 2017",1.894B
"Feb. 15, 2017",1.893B
"Dec. 31, 2016",1.892B
"Sept. 30, 2016",1.888B
"June 30, 2016",1.887B
"March 31, 2016",1.885B
"March 30, 2016",1.885B
"March 3, 2016",1.884B
"Feb. 15, 2016",1.883B
"Dec. 31, 2015",1.883B
"Sept. 30, 2015",1.882B
"June 30, 2015",1.882B
"April 1, 2015",1.880B
"March 31, 2015",1.880B
"March 4, 2015",1.880B
"Feb. 9, 2015",1.880B
"Dec. 31, 2014",1.880B
"Sept. 30, 2014",1.890B
"June 30, 2014",1.899B
"April 2, 2014",1.904B
"March 31, 2014",1.904B
"March 5, 2014",1.906B
"Feb. 10, 2014",1.909B
"Dec. 31, 2013",1.914B
"Sept. 30, 2013",1.923B
"June 30, 2013",1.932B
"April 3, 2013",1.939B
"March 31, 2013",1.939B
"March 6, 2013",1.940B
"Feb. 11, 2013",1.943B
"Dec. 31, 2012",1.947B
"Sept. 30, 2012",1.957B
"June 30, 2012",1.962B
"April 4, 2012",1.973B
"March 31, 2012",1.973B
"March 1, 2012",1.976B
"Feb. 13, 2012",1.977B
"Dec. 31, 2011",1.981B
"Sept. 30, 2011",1.991B
"June 30, 2011",2.003B
"April 1, 2011",2.010B
"March 31, 2011",2.010B
"March 1, 2011",2.010B
"Feb. 18, 2011",2.007B
"Dec. 31, 2010",2.007B
"Sept. 30, 2010",2.012B
"June 30, 2010",2.011B
"March 31, 2010",2.009B
"March 12, 2010",2.008B
"Feb. 19, 2010",2.008B
"Dec. 31, 2009",2.008B
"Sept. 30, 2009",2.006B
"June 30, 2009",2.006B
"March 31, 2009",2.005B
"Feb. 20, 2009",2.005B
"Dec. 31, 2008",2.004B
"Sept. 30, 2008",2.032B
"June 30, 2008",2.054B
"March 31, 2008",2.068B
"Feb. 22, 2008",2.077B
"Dec. 31, 2007",2.090B
"Sept. 30, 2007",2.111B
"June 30, 2007",2.132B
"March 31, 2007",2.149B
"Feb. 23, 2007",2.158B
"Dec. 31, 2006",2.165B
"Sept. 30, 2006",2.180B
"June 30, 2006",2.198B
"March 31, 2006",2.217B
"Feb. 23, 2006",2.226B
"Dec. 31, 2005",2.233B
"Sept. 30, 2005",2.245B
"June 30, 2005",2.084B
"March 31, 2005",2.098B
"Feb. 25, 2005",2.104B
"Dec. 31, 2004",2.107B
"Sept. 30, 2004",2.119B
"June 30, 2004",2.130B
"March 31, 2004",2.140B
"Feb. 29, 2004",2.139B
"Dec. 31, 2003",2.138B
"Sept. 30, 2003",2.138B
"June 30, 2003",2.138B
"March 31, 2003",2.137B
"Feb. 28, 2003",2.137B
"Dec. 31, 2002",2.136B
"Sept. 30, 2002",2.136B
"June 30, 2002",2.136B
"March 31, 2002",2.135B
"Feb. 28, 2002",2.134B
"Dec. 31, 2001",2.134B
"Sept. 30, 2001",1.285B
"June 30, 2001",1.285B
"March 31, 2001",1.283B
"Feb. 28, 2001",1.282B
"Dec. 31, 2000",1.282B
"Sept. 30, 2000",1.284B
"June 30, 2000",1.305B
"March 31, 2000",1.304B
"Feb. 29, 2000",1.310B
"Dec. 31, 1999",1.313B
"Sept. 30, 1999",1.313B
"June 30, 1999",1.312B
"March 31, 1999",1.311B
"Feb. 28, 1999",1.307B
"Dec. 31, 1998",1.306B
"Sept. 30, 1998",1.305B
"June 30, 1998",1.309B
"March 31, 1998",1.308B
"Feb. 28, 1998",1.307B
"Dec. 31, 1997",1.312B
"Sept. 30, 1997",1.314B
"June 30, 1997",1.309B
"March 31, 1997",1.307B
"Feb. 28, 1997",1.307B
"Dec. 31, 1996",1.306B
"Sept. 30, 1996",1.305B
"June 30, 1996",1.305B
"March 31, 1996",1.305B
"Feb. 29, 1996",1.305B
"Dec. 31, 1995",1.305B
"Sept. 30, 1995",1.304B
"June 30, 1995",1.304B
"March 31, 1995",1.304B
"Feb. 28, 1995",1.304B
"Dec. 31, 1994",1.304B
"Sept. 30, 1994",1.303B
"June 30, 1994",1.303B
"March 31, 1994",1.303B
"Dec. 31, 1993",1.303B
