date,cash_investing_ttm
"Dec. 31, 2019",-11.46B
"Sept. 30, 2019",-13.47B
"June 30, 2019",-12.13B
"March 31, 2019",-11.43B
"Dec. 31, 2018",-12.29B
"Sept. 30, 2018",-10.94B
"June 30, 2018",-9.65B
"March 31, 2018",-9.736B
"Dec. 31, 2017",-8.32B
"Sept. 30, 2017",-7.475B
"June 30, 2017",-11.80B
"March 31, 2017",-12.33B
"Dec. 31, 2016",-16.37B
"Sept. 30, 2016",-21.14B
"June 30, 2016",-22.15B
"March 31, 2016",-22.71B
"Dec. 31, 2015",-23.81B
"Sept. 30, 2015",-23.34B
"June 30, 2015",-24.44B
"March 31, 2015",-27.92B
"Dec. 31, 2014",-29.89B
"Sept. 30, 2014",-32.98B
"June 30, 2014",-34.92B
"March 31, 2014",-35.73B
"Dec. 31, 2013",-35.61B
"Sept. 30, 2013",-35.85B
"June 30, 2013",-33.79B
"March 31, 2013",-31.28B
"Dec. 31, 2012",-24.80B
"Sept. 30, 2012",-19.73B
"June 30, 2012",-18.55B
"March 31, 2012",-21.12B
"Dec. 31, 2011",-27.49B
"Sept. 30, 2011",-26.50B
"June 30, 2011",-25.75B
"March 31, 2011",-21.93B
"Dec. 31, 2010",-20.92B
"Sept. 30, 2010",-21.54B
"June 30, 2010",-19.76B
"March 31, 2010",-19.30B
"Dec. 31, 2009",-16.57B
"Sept. 30, 2009",-17.64B
"June 30, 2009",-17.65B
"March 31, 2009",-17.89B
"Dec. 31, 2008",-17.08B
"Sept. 30, 2008",-17.07B
"June 30, 2008",-17.27B
"March 31, 2008",-15.69B
"Dec. 31, 2007",-13.93B
"Sept. 30, 2007",-11.92B
"June 30, 2007",-11.45B
"March 31, 2007",-11.80B
"Dec. 31, 2006",-12.22B
"Sept. 30, 2006",-11.49B
"June 30, 2006",-14.62B
"March 31, 2006",-13.35B
"Dec. 31, 2005",-11.56B
"Sept. 30, 2005",-10.98B
"June 30, 2005",-4.308B
"March 31, 2005",-3.201B
"Dec. 31, 2004",-3.499B
"Sept. 30, 2004",-2.363B
"June 30, 2004",-3.314B
"March 31, 2004",-4.209B
"Dec. 31, 2003",-4.072B
"Sept. 30, 2003",-4.843B
"June 30, 2003",-6.084B
"March 31, 2003",-6.445B
"Dec. 31, 2002",-5.047B
"Sept. 30, 2002",-8.628B
"June 30, 2002",-7.622B
"March 31, 2002",-6.97B
"Dec. 31, 2001",-9.542B
"Sept. 30, 2001",-7.387B
"June 30, 2001",-7.154B
"March 31, 2001",-6.964B
"Dec. 31, 2000",-5.642B
"Sept. 30, 2000",-5.016B
"June 30, 2000",-5.788B
"March 31, 2000",-5.53B
"Dec. 31, 1999",-5.61B
"Sept. 30, 1999",-4.044B
"June 30, 1999",-3.599B
"March 31, 1999",-4.013B
"Dec. 31, 1998",-3.859B
"Sept. 30, 1998",-3.063B
"June 30, 1998",-3.114B
"March 31, 1998",-2.859B
"Dec. 31, 1997",-2.563B
"Sept. 30, 1997",-3.196B
"June 30, 1997",-2.798B
"March 31, 1997",-2.788B
"Dec. 31, 1996",-2.602B
"Sept. 30, 1996",-2.499B
"June 30, 1996",-2.812B
"March 31, 1996",-2.712B
"Dec. 31, 1995",-2.804B
"Sept. 30, 1995",-3.241B
"June 30, 1995",-2.802B
"March 31, 1995",-2.854B
"Dec. 31, 1994",-3.219B
"Sept. 30, 1994",-2.675B
"June 30, 1994",-2.889B
"March 31, 1994",-2.449B
"Dec. 31, 1993",-2.385B
