date,return_on_assets
"Dec. 31, 2019",1.16%
"Sept. 30, 2019",5.18%
"June 30, 2019",5.75%
"March 31, 2019",5.40%
"Dec. 31, 2018",5.80%
"Sept. 30, 2018",5.55%
"June 30, 2018",4.74%
"March 31, 2018",3.97%
"Dec. 31, 2017",3.58%
"Sept. 30, 2017",2.52%
"June 30, 2017",2.25%
"March 31, 2017",1.12%
"Dec. 31, 2016",-0.19%
"Sept. 30, 2016",-0.57%
"June 30, 2016",-0.28%
"March 31, 2016",0.49%
"Dec. 31, 2015",1.72%
"Sept. 30, 2015",3.24%
"June 30, 2015",4.59%
"March 31, 2015",6.54%
"Dec. 31, 2014",7.37%
"Sept. 30, 2014",8.04%
"June 30, 2014",7.92%
"March 31, 2014",7.96%
"Dec. 31, 2013",8.81%
"Sept. 30, 2013",9.98%
"June 30, 2013",10.36%
"March 31, 2013",11.44%
"Dec. 31, 2012",11.86%
"Sept. 30, 2012",11.19%
"June 30, 2012",12.69%
"March 31, 2012",13.25%
"Dec. 31, 2011",13.52%
"Sept. 30, 2011",14.06%
"June 30, 2011",12.37%
"March 31, 2011",11.52%
"Dec. 31, 2010",10.97%
"Sept. 30, 2010",9.94%
"June 30, 2010",10.17%
"March 31, 2010",8.08%
"Dec. 31, 2009",6.48%
"Sept. 30, 2009",7.60%
"June 30, 2009",10.10%
"March 31, 2009",12.84%
"Dec. 31, 2008",15.12%
"Sept. 30, 2008",15.53%
"June 30, 2008",13.27%
"March 31, 2008",13.35%
"Dec. 31, 2007",13.41%
"Sept. 30, 2007",12.89%
"June 30, 2007",14.02%
"March 31, 2007",13.49%
"Dec. 31, 2006",13.15%
"Sept. 30, 2006",13.60%
"June 30, 2006",13.22%
"March 31, 2006",13.45%
"Dec. 31, 2005",13.09%
"Sept. 30, 2005",13.29%
"June 30, 2005",13.90%
"March 31, 2005",14.81%
"Dec. 31, 2004",15.17%
"Sept. 30, 2004",13.60%
"June 30, 2004",12.47%
"March 31, 2004",9.61%
"Dec. 31, 2003",8.99%
"Sept. 30, 2003",8.06%
"June 30, 2003",4.47%
"March 31, 2003",2.97%
"Dec. 31, 2002",1.46%
"Sept. 30, 2002",-0.81%
"June 30, 2002",2.32%
"March 31, 2002",4.19%
"Dec. 31, 2001",5.74%
"Sept. 30, 2001",16.21%
"June 30, 2001",17.15%
"March 31, 2001",16.92%
"Dec. 31, 2000",13.93%
"Sept. 30, 2000",11.84%
"June 30, 2000",9.99%
"March 31, 2000",8.50%
"Dec. 31, 1999",7.11%
"Sept. 30, 1999",2.78%
"June 30, 1999",2.52%
"March 31, 1999",3.17%
"Dec. 31, 1998",3.71%
"Sept. 30, 1998",6.74%
"June 30, 1998",7.55%
"March 31, 1998",8.30%
"Dec. 31, 1997",9.27%
"Sept. 30, 1997",8.12%
"June 30, 1997",7.95%
"March 31, 1997",8.11%
"Dec. 31, 1996",7.52%
"Sept. 30, 1996",4.98%
"June 30, 1996",3.90%
"March 31, 1996",3.14%
"Dec. 31, 1995",2.68%
"Sept. 30, 1995",5.67%
"June 30, 1995",6.06%
"March 31, 1995",5.08%
"Dec. 31, 1994",4.86%
"Sept. 30, 1994",3.91%
"June 30, 1994",3.90%
