date,total_employee_number
"Dec. 31, 2019",48200
"Dec. 31, 2018",48600
"Dec. 31, 2017",51900
"Dec. 31, 2016",55200
"Dec. 31, 2015",61500
"Dec. 31, 2014",64700
"Dec. 31, 2013",64600
"Dec. 31, 2012",62000
"Dec. 31, 2011",61000
"Dec. 31, 2010",62000
"Dec. 31, 2009",64000
"Dec. 31, 2008",67000
"Dec. 31, 2007",65000
"Dec. 31, 2006",62500
"Dec. 31, 2005",59000
"Dec. 31, 2004",56000
"Dec. 31, 2003",61533
"Dec. 31, 2002",53014
"Dec. 31, 2001",55763
"Sept. 30, 2001",57000
"Dec. 31, 2000",54933
"Dec. 31, 1999",53621
"Dec. 31, 1995",43019
