date,return_on_equity
"Dec. 31, 2019",1.91%
"Sept. 30, 2019",8.55%
"June 30, 2019",9.54%
"March 31, 2019",9.03%
"Dec. 31, 2018",9.77%
"Sept. 30, 2018",9.46%
"June 30, 2018",8.14%
"March 31, 2018",6.88%
"Dec. 31, 2017",6.27%
"Sept. 30, 2017",4.44%
"June 30, 2017",3.98%
"March 31, 2017",1.98%
"Dec. 31, 2016",-0.33%
"Sept. 30, 2016",-1.00%
"June 30, 2016",-0.49%
"March 31, 2016",0.84%
"Dec. 31, 2015",2.97%
"Sept. 30, 2015",5.57%
"June 30, 2015",7.87%
"March 31, 2015",11.21%
"Dec. 31, 2014",12.58%
"Sept. 30, 2014",13.72%
"June 30, 2014",13.53%
"March 31, 2014",13.58%
"Dec. 31, 2013",15.01%
"Sept. 30, 2013",17.02%
"June 30, 2013",17.61%
"March 31, 2013",19.46%
"Dec. 31, 2012",20.25%
"Sept. 30, 2012",19.07%
"June 30, 2012",21.71%
"March 31, 2012",22.88%
"Dec. 31, 2011",23.46%
"Sept. 30, 2011",24.43%
"June 30, 2011",21.60%
"March 31, 2011",20.18%
"Dec. 31, 2010",19.25%
"Sept. 30, 2010",17.51%
"June 30, 2010",18.11%
"March 31, 2010",14.56%
"Dec. 31, 2009",11.79%
"Sept. 30, 2009",14.00%
"June 30, 2009",18.98%
"March 31, 2009",24.39%
"Dec. 31, 2008",29.03%
"Sept. 30, 2008",29.85%
"June 30, 2008",25.45%
"March 31, 2008",25.39%
"Dec. 31, 2007",25.49%
"Sept. 30, 2007",24.48%
"June 30, 2007",26.89%
"March 31, 2007",26.13%
"Dec. 31, 2006",25.74%
"Sept. 30, 2006",27.00%
"June 30, 2006",26.53%
"March 31, 2006",27.26%
"Dec. 31, 2005",26.78%
"Sept. 30, 2005",27.52%
"June 30, 2005",28.99%
"March 31, 2005",31.43%
"Dec. 31, 2004",32.74%
"Sept. 30, 2004",30.02%
"June 30, 2004",28.13%
"March 31, 2004",22.29%
"Dec. 31, 2003",21.26%
"Sept. 30, 2003",19.29%
"June 30, 2003",10.71%
"March 31, 2003",7.08%
"Dec. 31, 2002",3.42%
"Sept. 30, 2002",-1.83%
"June 30, 2002",5.09%
"March 31, 2002",8.97%
"Dec. 31, 2001",12.31%
"Sept. 30, 2001",34.31%
"June 30, 2001",37.17%
"March 31, 2001",37.65%
"Dec. 31, 2000",32.68%
"Sept. 30, 2000",27.70%
"June 30, 2000",23.47%
"March 31, 2000",19.98%
"Dec. 31, 1999",16.54%
"Sept. 30, 1999",6.11%
"June 30, 1999",5.39%
"March 31, 1999",6.68%
"Dec. 31, 1998",7.67%
"Sept. 30, 1998",13.87%
"June 30, 1998",15.58%
"March 31, 1998",17.31%
"Dec. 31, 1997",19.65%
"Sept. 30, 1997",17.59%
"June 30, 1997",17.55%
"March 31, 1997",18.29%
"Dec. 31, 1996",17.30%
"Sept. 30, 1996",11.52%
"June 30, 1996",9.06%
"March 31, 1996",7.31%
"Dec. 31, 1995",6.26%
"Sept. 30, 1995",13.27%
"June 30, 1995",14.42%
"March 31, 1995",12.21%
"Dec. 31, 1994",11.88%
"Sept. 30, 1994",9.63%
"June 30, 1994",9.62%
