date,free_cash_flow
"Dec. 31, 2019",1.447B
"Sept. 30, 2019",4.448B
"June 30, 2019",5.199B
"March 31, 2019",2.104B
"Dec. 31, 2018",5.16B
"Sept. 30, 2018",5.991B
"June 30, 2018",3.629B
"March 31, 2018",2.046B
"Dec. 31, 2017",2.452B
"Sept. 30, 2017",2.273B
"June 30, 2017",1.747B
"March 31, 2017",462.00M
"Dec. 31, 2016",-302.00M
"Sept. 30, 2016",1.246B
"June 30, 2016",-1.938B
"March 31, 2016",-4.425B
"Dec. 31, 2015",-2.892B
"Sept. 30, 2015",-1.45B
"June 30, 2015",-423.00M
"March 31, 2015",-5.283B
"Dec. 31, 2014",-3.171B
"Sept. 30, 2014",416.00M
"June 30, 2014",-1.05B
"March 31, 2014",-127.00M
"Dec. 31, 2013",-1.161B
"Sept. 30, 2013",709.00M
"June 30, 2013",-53.00M
"March 31, 2013",-2.478B
"Dec. 31, 2012",2.294B
"Sept. 30, 2012",240.00M
"June 30, 2012",2.848B
"March 31, 2012",2.492B
"Dec. 31, 2011",1.762B
"Sept. 30, 2011",4.747B
"June 30, 2011",2.917B
"March 31, 2011",5.169B
"Dec. 31, 2010",2.748B
"Sept. 30, 2010",2.393B
"June 30, 2010",3.051B
"March 31, 2010",3.55B
"Dec. 31, 2009",1.665B
"Sept. 30, 2009",2.591B
"June 30, 2009",-1.146B
"March 31, 2009",-3.58B
"Dec. 31, 2008",-826.00M
"Sept. 30, 2008",4.452B
"June 30, 2008",2.685B
"March 31, 2008",3.655B
"Dec. 31, 2007",1.786B
"Sept. 30, 2007",1.281B
"June 30, 2007",2.802B
"March 31, 2007",2.43B
"Dec. 31, 2006",1.598B
"Sept. 30, 2006",3.285B
"June 30, 2006",2.424B
"March 31, 2006",3.203B
"Dec. 31, 2005",2.774B
"Sept. 30, 2005",3.191B
"June 30, 2005",3.003B
"March 31, 2005",2.436B
"Dec. 31, 2004",1.597B
"Sept. 30, 2004",1.826B
"June 30, 2004",2.834B
"March 31, 2004",2.123B
"Dec. 31, 2003",838.00M
"Sept. 30, 2003",1.369B
"June 30, 2003",2.452B
"March 31, 2003",2.031B
"Dec. 31, 2002",1.16B
"Sept. 30, 2002",1.087B
"June 30, 2002",871.00M
"March 31, 2002",-772.00M
"Dec. 31, 2001",-1.875B
"Sept. 30, 2001",1.098B
"June 30, 2001",1.354B
"March 31, 2001",1.167B
"Dec. 31, 2000",2.184B
"Sept. 30, 2000",1.694B
"June 30, 2000",1.545B
"March 31, 2000",415.00M
"Dec. 31, 1999",-269.00M
"Sept. 30, 1999",-204.00M
"June 30, 1999",355.00M
"March 31, 1999",-6.00M
"Dec. 31, 1998",-450.00M
"Sept. 30, 1998",544.00M
"June 30, 1998",110.00M
"March 31, 1998",-353.00M
"Dec. 31, 1997",-174.00M
"Sept. 30, 1997",241.00M
"June 30, 1997",299.00M
"March 31, 1997",318.00M
"Dec. 31, 1996",950.00M
"Sept. 30, 1996",189.00M
"June 30, 1996",787.00M
"March 31, 1996",447.00M
"Dec. 31, 1995",243.00M
"Sept. 30, 1995",116.00M
"June 30, 1995",355.00M
"March 31, 1995",-168.00M
"Dec. 31, 1994",0.00
"Sept. 30, 1994",-115.00M
"June 30, 1994",-225.00M
"March 31, 1994",-169.00M
"Dec. 31, 1993",715.00M
"Sept. 30, 1993",202.00M
"June 30, 1993",73.00M
"March 31, 1993",-92.00M
