date,operating_margin_ttm
"Dec. 31, 2019",0.07%
"Sept. 30, 2019",9.13%
"June 30, 2019",9.43%
"March 31, 2019",9.04%
"Dec. 31, 2018",9.09%
"Sept. 30, 2018",7.58%
"June 30, 2018",5.57%
"March 31, 2018",3.76%
"Dec. 31, 2017",2.32%
"Sept. 30, 2017",1.95%
"June 30, 2017",1.70%
"March 31, 2017",-1.57%
"Dec. 31, 2016",-4.96%
"Sept. 30, 2016",-8.21%
"June 30, 2016",-7.01%
"March 31, 2016",-5.44%
"Dec. 31, 2015",-2.86%
"Sept. 30, 2015",0.79%
"June 30, 2015",3.62%
"March 31, 2015",8.11%
"Dec. 31, 2014",9.84%
"Sept. 30, 2014",11.45%
"June 30, 2014",11.62%
"March 31, 2014",11.57%
"Dec. 31, 2013",12.36%
"Sept. 30, 2013",12.99%
"June 30, 2013",13.32%
"March 31, 2013",14.39%
"Dec. 31, 2012",15.18%
"Sept. 30, 2012",14.63%
"June 30, 2012",15.73%
"March 31, 2012",18.14%
"Dec. 31, 2011",17.82%
"Sept. 30, 2011",18.09%
"June 30, 2011",16.77%
"March 31, 2011",15.70%
"Dec. 31, 2010",15.12%
"Sept. 30, 2010",10.60%
"June 30, 2010",10.49%
"March 31, 2010",6.12%
"Dec. 31, 2009",4.24%
"Sept. 30, 2009",10.12%
"June 30, 2009",12.32%
"March 31, 2009",13.34%
"Dec. 31, 2008",14.08%
"Sept. 30, 2008",14.03%
"June 30, 2008",13.06%
"March 31, 2008",14.00%
"Dec. 31, 2007",14.69%
"Sept. 30, 2007",11.34%
"June 30, 2007",13.79%
"March 31, 2007",13.66%
"Dec. 31, 2006",13.31%
"Sept. 30, 2006",20.51%
"June 30, 2006",18.12%
"March 31, 2006",17.64%
"Dec. 31, 2005",17.40%
"Sept. 30, 2005",16.51%
"June 30, 2005",16.91%
"March 31, 2005",17.44%
"Dec. 31, 2004",19.10%
"Sept. 30, 2004",18.30%
"June 30, 2004",18.82%
"March 31, 2004",19.41%
"Dec. 31, 2003",19.38%
"Sept. 30, 2003",15.58%
"June 30, 2003",15.61%
"March 31, 2003",15.41%
"Dec. 31, 2002",14.31%
"Sept. 30, 2002",14.57%
"June 30, 2002",15.08%
"March 31, 2002",15.38%
"Dec. 31, 2001",16.33%
"Sept. 30, 2001",18.80%
"June 30, 2001",19.15%
"March 31, 2001",18.90%
"Dec. 31, 2000",18.36%
"Sept. 30, 2000",17.76%
"June 30, 2000",16.77%
"March 31, 2000",15.87%
"Dec. 31, 1999",15.22%
"Sept. 30, 1999",6.31%
"June 30, 1999",5.67%
"March 31, 1999",6.72%
"Dec. 31, 1998",7.33%
"Sept. 30, 1998",12.46%
"June 30, 1998",12.79%
"March 31, 1998",13.36%
"Dec. 31, 1997",13.86%
"Sept. 30, 1997",12.50%
"June 30, 1997",12.35%
"March 31, 1997",12.23%
"Dec. 31, 1996",11.63%
"Sept. 30, 1996",8.24%
"June 30, 1996",7.11%
"March 31, 1996",6.61%
"Dec. 31, 1995",5.91%
"Sept. 30, 1995",10.30%
"June 30, 1995",10.33%
"March 31, 1995",8.89%
"Dec. 31, 1994",8.78%
"Sept. 30, 1994",26.45%
"June 30, 1994",27.28%
"March 31, 1994",25.59%
"Dec. 31, 1993",25.67%
