date,cash_financing_ttm
"Dec. 31, 2019",-19.76B
"Sept. 30, 2019",-15.24B
"June 30, 2019",-19.43B
"March 31, 2019",-16.92B
"Dec. 31, 2018",-13.70B
"Sept. 30, 2018",-13.76B
"June 30, 2018",-11.09B
"March 31, 2018",-12.48B
"Dec. 31, 2017",-14.55B
"Sept. 30, 2017",-10.98B
"June 30, 2017",-9.851B
"March 31, 2017",-4.57B
"Dec. 31, 2016",25.00M
"Sept. 30, 2016",2.032B
"June 30, 2016",5.384B
"March 31, 2016",566.00M
"Dec. 31, 2015",2.815B
"Sept. 30, 2015",911.00M
"June 30, 2015",-1.995B
"March 31, 2015",-378.00M
"Dec. 31, 2014",-4.999B
"Sept. 30, 2014",-5.114B
"June 30, 2014",-8.689B
"March 31, 2014",-3.477B
"Dec. 31, 2013",-3.821B
"Sept. 30, 2013",-5.648B
"June 30, 2013",-1.518B
"March 31, 2013",-6.324B
"Dec. 31, 2012",-8.98B
"Sept. 30, 2012",-8.266B
"June 30, 2012",-12.31B
"March 31, 2012",-12.80B
"Dec. 31, 2011",-11.77B
"Sept. 30, 2011",-10.59B
"June 30, 2011",-7.325B
"March 31, 2011",-6.159B
"Dec. 31, 2010",-5.165B
"Sept. 30, 2010",-5.24B
"June 30, 2010",-6.83B
"March 31, 2010",-7.021B
"Dec. 31, 2009",-3.546B
"Sept. 30, 2009",-2.932B
"June 30, 2009",-3.131B
"March 31, 2009",-4.808B
"Dec. 31, 2008",-10.40B
"Sept. 30, 2008",-11.74B
"June 30, 2008",-13.96B
"March 31, 2008",-15.49B
"Dec. 31, 2007",-14.30B
"Sept. 30, 2007",-15.14B
"June 30, 2007",-12.24B
"March 31, 2007",-11.51B
"Dec. 31, 2006",-11.85B
"Sept. 30, 2006",-11.74B
"June 30, 2006",-11.02B
"March 31, 2006",-8.705B
"Dec. 31, 2005",-7.668B
"Sept. 30, 2005",-6.987B
"June 30, 2005",-7.162B
"March 31, 2005",-7.00B
"Dec. 31, 2004",-6.224B
"Sept. 30, 2004",-5.652B
"June 30, 2004",-4.519B
"March 31, 2004",-6.234B
"Dec. 31, 2003",-7.029B
"Sept. 30, 2003",-6.548B
"June 30, 2003",-6.912B
"March 31, 2003",-5.531B
"Dec. 31, 2002",-4.071B
"Sept. 30, 2002",-3.809B
"June 30, 2002",-3.308B
"March 31, 2002",-2.245B
"Dec. 31, 2001",-2.095B
"Sept. 30, 2001",-4.495B
"June 30, 2001",-5.752B
"March 31, 2001",-6.762B
"Dec. 31, 2000",-7.489B
"Sept. 30, 2000",-4.777B
"June 30, 2000",-3.226B
"March 31, 2000",-1.873B
"Dec. 31, 1999",-1.13B
"Sept. 30, 1999",-682.00M
"June 30, 1999",-1.085B
"March 31, 1999",-853.00M
"Dec. 31, 1998",-308.00M
"Sept. 30, 1998",-921.00M
"June 30, 1998",-734.00M
"March 31, 1998",-1.178B
"Dec. 31, 1997",-1.878B
"Sept. 30, 1997",-2.417B
"June 30, 1997",-2.277B
"March 31, 1997",-2.524B
"Dec. 31, 1996",-2.922B
"Sept. 30, 1996",-2.021B
"June 30, 1996",-2.014B
"March 31, 1996",-1.514B
"Dec. 31, 1995",-1.053B
"Sept. 30, 1995",-1.558B
"June 30, 1995",-1.224B
"March 31, 1995",-687.00M
"Dec. 31, 1994",-897.00M
"Sept. 30, 1994",-778.00M
"June 30, 1994",-1.077B
"March 31, 1994",-1.707B
"Dec. 31, 1993",-1.505B
