date,net_income_annual_cs_rev
"Dec. 31, 2019",2.09%
"Dec. 31, 2018",9.33%
"Dec. 31, 2017",6.83%
"Dec. 31, 2016",-0.45%
"Dec. 31, 2015",3.53%
"Dec. 31, 2014",9.60%
"Dec. 31, 2013",9.73%
"Dec. 31, 2012",11.35%
"Dec. 31, 2011",11.01%
"Dec. 31, 2010",9.60%
"Dec. 31, 2009",6.23%
"Dec. 31, 2008",8.94%
"Dec. 31, 2007",8.46%
"Dec. 31, 2006",8.16%
"Dec. 31, 2005",7.11%
"Dec. 31, 2004",8.58%
"Dec. 31, 2003",5.96%
"Dec. 31, 2002",1.15%
"Dec. 31, 2001",3.09%
"Dec. 31, 2000",6.49%
"Dec. 31, 1999",3.79%
"Dec. 31, 1998",4.38%
"Dec. 31, 1997",7.76%
"Dec. 31, 1996",5.94%
"Dec. 31, 1995",2.51%
"Dec. 31, 1994",4.72%
"Dec. 31, 1993",3.45%
"Dec. 31, 1992",4.00%
