Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-09
Prepaid Expenses,,,,,,,,,,3.587M,4.468M,1.523M,,3.588M,,,,,,,,2.73M,2.571M,1.415M,2.587M,3.703M,4.889M,1.174M,2.158M,2.937M,4.821M,1.371M,2.345M,3.499M,4.67M,4.733M,2.925M,8.336M,6.733M,,,12.56M,,7.631M,,,,,9.90M,11.30M,8.172M,7.416M,9.253M,,,6.939M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,13.56M,,,,0.00,,,,,,,,,,,,,,,,,0.00,0.00,19.71M,28.09M,,,,0.00,0.00,1.907M,1.907M,2.234M,2.234M,2.234M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,53.72M,32.95M,71.81M,81.86M,,50.86M,29.10M,0.00,,,,,0.00,0.00,,0.257M,,,,,,,,42.23M,104.79M,56.09M,26.46M,7.995M,10.17M,9.901M,9.386M,8.333M,7.846M,7.734M,15.67M,52.25M,24.64M,36.20M,21.34M,37.20M,30.71M,,21.94M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.684M,3.201M,4.126M,0.744M,1.863M,2.692M,3.892M,1.771M,2.794M,,,,2.692M,,4.528M,1.371M,2.671M,3.959M,4.807M,2.046M,1.855M,,,,,,,,,,,0.925M,,0.821M,0.025M,,2.796M,85.77M,133.42M,9.397M,176.85M,244.37M,328.99M,4.869M,140.16M,12.62M,22.45M,35.97M,28.79M,37.26M,31.09M,82.97M,62.02M,38.18M,20.05M,4.209M,9.433M,13.58M,10.50M,13.50M,22.30M,16.02M,12.97M,15.01M,10.73M,11.62M,5.48M,5.28M,13.04M,11.86M,12.74M,11.01M,23.13M,30.03M,11.09M,5.981M,4.685M,4.431M,2.289M,3.60M,40.20M,4.20M,3.60M,3.80M,4.30M,4.40M,2.30M,2.10M,2.30M,2.20M,1.70M,1.60M,1.80M,2.00M,1.10M,1.70M,1.60M,1.20M,1.00M,1.60M,1.00M,1.30M,0.70M,0.70M,2.70M,1.60M,0.20M,0.30M,0.70M,1.10M,0.30M,0.50M,1.00M,1.10M,0.60M,0.20M,0.20M,0.90M,0.20M,
Total Current Assets,568.25M,421.68M,631.33M,680.19M,544.54M,619.86M,987.41M,1.236B,764.96M,718.03M,735.82M,748.31M,715.88M,655.64M,659.24M,720.69M,144.79M,215.42M,254.99M,349.40M,413.45M,587.95M,306.10M,373.83M,378.90M,289.76M,403.19M,238.88M,270.31M,224.67M,295.87M,339.73M,345.80M,310.04M,235.84M,161.54M,203.01M,248.26M,293.90M,281.50M,335.01M,370.82M,457.07M,460.55M,430.49M,436.76M,272.00M,221.41M,197.84M,213.66M,219.52M,315.68M,547.01M,187.59M,164.35M,230.31M,232.18M,207.40M,218.04M,194.68M,184.15M,167.18M,148.54M,143.33M,131.37M,110.00M,124.83M,92.16M,85.84M,87.44M,81.42M,84.99M,116.06M,109.22M,94.92M,110.27M,83.47M,72.34M,57.41M,66.60M,104.60M,57.80M,60.50M,71.10M,62.40M,60.40M,59.00M,70.50M,50.10M,42.50M,52.40M,79.60M,48.50M,46.20M,62.90M,52.30M,37.90M,40.20M,45.60M,52.00M,52.10M,50.00M,41.70M,44.60M,40.20M,33.30M,33.70M,41.70M,27.60M,23.00M,20.90M,32.90M,21.80M,19.50M,25.30M,32.30M,25.20M,31.70M,35.80M,25.30M
Land and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.30M,82.46M,81.35M,,79.11M,78.94M,84.05M,86.25M,81.75M,80.23M,77.47M,72.37M,70.21M,70.02M,68.61M,65.76M,3.077B,2.847B,2.736B,2.845B,2.691B,2.554B,119.08M,2.109B,2.301B,2.185B,112.68M,,4.882M,4.884M,4.86M,1.706B,1.651B,4.758M,4.758M,4.884M,4.884M,4.884M,4.884M,,1.514B,1.496B,,4.563M,4.563M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84M,,,,,1.574B,,,,4.767M,,1.436B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.96M,238.80M,238.28M,,237.67M,237.33M,237.09M,237.04M,306.82M,300.96M,294.76M,277.12M,269.87M,273.61M,274.19M,,,,,,,,,192.84M,189.63M,182.37M,,,,,,,,,,,,137.55M,,,133.90M,,,129.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,140.62M,139.62M,138.22M,136.48M,94.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,5.670B,,,,5.445B,,4.824B,4.706B,,4.313B,4.235B,4.234B,,4.122B,304.67M,275.30M,276.73M,35.99M,34.93M,34.50M,2.349B,32.99M,33.91M,33.45M,2.182B,,2.045B,1.980B,1.934B,188.05M,184.24M,1.770B,1.732B,1.785B,1.772B,29.45M,1.703B,,28.46M,160.04M,,25.91M,1.250B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,6.783B,6.643B,6.455B,6.243B,6.006B,5.778B,5.521B,5.361B,5.207B,7.344B,7.179B,8.160B,7.970B,8.227B,8.141B,8.165B,9.573B,9.477B,9.340B,9.131B,8.828B,8.107B,7.648B,7.378B,7.072B,7.300B,7.034B,6.761B,6.518B,6.420B,6.155B,5.989B,5.805B,6.199B,5.961B,5.766B,5.608B,5.212B,5.088B,4.914B,4.662B,4.575B,4.577B,4.472B,4.187B,3.382B,3.123B,3.013B,2.881B,2.726B,2.588B,2.468B,2.335B,2.525B,2.401B,2.295B,2.156B,2.050B,1.985B,1.939B,1.894B,1.840B,1.775B,1.737B,1.790B,1.777B,1.746B,1.708B,1.689B,1.676B,1.661B,1.635B,1.596B,1.255B,1.225B,1.184B,1.157B,1.131B,1.101B,1.091B,1.070B,1.130B,1.126B,1.110B,1.003B,975.10M,925.00M,906.80M,1.048B,1.028B,1.012B,999.60M,982.40M,960.50M,961.80M,980.00M,973.10M,1.254B,979.10M,982.70M,963.10M,938.80M,710.80M,698.60M,675.40M,624.50M,589.70M,589.40M,581.20M,566.30M,559.60M,553.40M,536.20M,530.10M,527.40M,521.10M,506.40M,430.10M,431.60M,486.70M
