Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-09
Accumulated D&A,-2.891B,-2.818B,-2.716B,-2.626B,-2.543B,-2.411B,-2.296B,-2.214B,-2.135B,-3.109B,-2.976B,-3.831B,-3.720B,-3.504B,-3.379B,-3.327B,-4.596B,-4.336B,-4.207B,-4.072B,-3.903B,-2.976B,-2.822B,-2.668B,-2.526B,-2.610B,-2.476B,-2.349B,-2.207B,-2.201B,-2.093B,-1.978B,-1.871B,-2.096B,-1.993B,-1.919B,-1.845B,-1.641B,-1.617B,-1.555B,-1.478B,-1.420B,-1.386B,-1.336B,-1.252B,-1.197B,-1.151B,-1.105B,-1.071B,-1.034B,-1.020B,-987.47M,-945.02M,-1.125B,-1.090B,-1.057B,-998.84M,-998.84M,-972.85M,-944.63M,-922.44M,-890.80M,-865.20M,-841.04M,-908.44M,-886.58M,-863.89M,-735.92M,-727.98M,-701.15M,-679.00M,-653.67M,-621.20M,-593.13M,-576.51M,-560.40M,-544.70M,-530.31M,-508.60M,-501.10M,-482.40M,-507.30M,-493.90M,-480.60M,-470.60M,-458.90M,-437.40M,-437.40M,-538.00M,-538.00M,-531.40M,-519.10M,-505.30M,-486.50M,-486.50M,-505.60M,-500.80M,-647.60M,-361.60M,-347.80M,-335.50M,-320.20M,-306.70M,-298.30M,-282.70M,-282.70M,-282.70M,-282.70M,-276.90M,-265.50M,-258.80M,-252.30M,-237.00M,-237.00M,-237.00M,-237.00M,-230.30M,-222.80M,-222.80M,-222.80M
Net PP&E,3.892B,3.825B,3.739B,3.617B,3.464B,3.366B,3.225B,3.146B,3.072B,4.235B,4.203B,4.328B,4.250B,4.723B,4.763B,4.838B,4.977B,5.141B,5.133B,5.059B,4.926B,5.130B,4.826B,4.711B,4.546B,4.690B,4.558B,4.413B,4.311B,4.219B,4.062B,4.011B,3.935B,4.103B,3.968B,3.847B,3.763B,3.571B,3.470B,3.358B,3.184B,3.155B,3.191B,3.136B,2.936B,2.185B,1.972B,1.908B,1.810B,1.692B,1.568B,1.480B,1.390B,1.400B,1.311B,1.238B,1.157B,1.051B,1.012B,994.08M,971.36M,949.31M,909.93M,895.96M,881.72M,890.54M,881.78M,971.75M,960.70M,974.91M,982.15M,981.34M,974.40M,661.73M,648.12M,623.17M,611.95M,600.69M,592.24M,590.30M,587.70M,622.50M,631.80M,629.90M,532.20M,516.20M,487.60M,469.40M,510.20M,489.90M,480.70M,480.50M,477.10M,474.00M,475.30M,474.40M,472.30M,606.00M,617.50M,634.90M,627.60M,618.60M,404.10M,400.30M,392.70M,341.80M,307.00M,306.70M,304.30M,300.80M,300.80M,301.10M,299.20M,293.10M,290.40M,284.10M,276.10M,207.30M,208.80M,263.90M
Long Term Investments,0.00,169.09M,166.14M,163.96M,163.18M,157.93M,147.98M,120.50M,86.08M,148.92M,140.58M,135.98M,129.52M,127.90M,123.62M,117.18M,103.52M,93.41M,81.08M,74.53M,68.03M,57.50M,49.85M,32.97M,26.89M,16.15M,11.50M,8.211M,6.915M,4.45M,2.078M,0.00,0.00,0.00,0.00,0.00,0.00,20.64M,20.64M,,20.64M,20.64M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,,,8.165M,5.321M,3.047M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,1.248M,3.412M,5.762M,2.239M,3.763M,5.222M,7.506M,2.991M,1.144M,,,0.00,,,,,,,,,8.708M,17.96M,,,4.379M,18.76M,22.26M,21.25M,23.45M,9.231M,1.163M,0.00,3.629M,5.056M,,24.35M,,86.50M,90.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,8.938M,9.45M,9.971M,3.718M,4.572M,5.427M,6.281M,7.136M,7.99M,8.845M,9.699M,10.55M,11.40M,12.26M,13.11M,13.96M,14.87M,21.79M,22.85M,16.08M,17.35M,18.72M,14.22M,15.35M,16.48M,14.65M,15.58M,16.52M,17.42M,18.38M,30.50M,28.26M,17.68M,34.25M,36.04M,16.39M,37.85M,24.91M,20.87M,,,,,,84.21M,78.59M,53.90M,47.85M,36.21M,34.34M,33.87M,30.91M,25.19M,26.57M,23.84M,19.59M,19.60M,14.68M,15.16M,14.86M,16.34M,14.27M,,8.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,0.056M,0.074M,0.063M,0.06M,0.061M,6.341M,7.03M,6.915M,778.91M,0.101M,111.38M,0.106M,0.058M,0.078M,0.056M,0.059M,0.064M,0.062M,0.065M,0.184M,0.065M,0.07M,0.071M,0.169M,0.079M,0.081M,0.078M,0.078M,0.083M,0.666M,1.317M,1.345M,1.342M,1.343M,1.336M,22.27M,1.414M,1.417M,1.42M,43.70M,24.76M,77.47M,14.10M,14.74M,87.87M,17.59M,32.06M,31.22M,33.18M,29.33M,21.86M,7.696M,17.58M,13.73M,7.755M,7.416M,7.257M,7.351M,7.065M,7.341M,6.51M,6.672M,6.773M,6.85M,6.901M,6.799M,7.214M,7.013M,4.253M,2.728M,2.613M,2.706M,2.636M,1.974M,2.047M,2.191M,1.946M,2.199M,2.439M,2.60M,2.40M,2.20M,2.40M,3.20M,2.30M,1.70M,1.90M,1.90M,0.90M,0.80M,0.70M,1.20M,1.50M,1.40M,1.40M,1.50M,1.40M,1.40M,1.40M,1.50M,1.40M,1.00M,0.10M,0.10M,0.10M,0.20M,0.20M,0.30M,0.30M,0.30M,0.30M,0.30M,0.40M,0.60M,0.60M,0.80M,0.80M,58.70M,57.60M,0.30M
Total Long Term Assets,3.919B,4.021B,3.932B,3.801B,3.654B,3.559B,3.409B,3.302B,3.962B,4.411B,4.484B,4.496B,4.407B,4.876B,4.911B,4.982B,5.108B,5.269B,5.250B,5.163B,5.024B,5.219B,4.903B,4.772B,4.602B,4.742B,4.615B,4.449B,4.346B,4.258B,4.114B,4.063B,3.986B,4.162B,4.014B,3.887B,3.802B,3.622B,3.518B,3.402B,3.254B,3.253B,3.292B,3.241B,3.108B,2.282B,2.058B,1.987B,1.879B,1.756B,1.624B,1.519B,1.433B,1.440B,1.342B,1.265B,1.184B,1.073B,1.034B,1.016B,994.20M,970.25M,916.70M,911.72M,888.62M,897.33M,889.00M,978.77M,964.96M,977.64M,984.76M,984.04M,977.04M,663.71M,650.17M,625.36M,613.90M,602.89M,594.68M,592.90M,590.10M,624.70M,634.20M,633.10M,534.50M,517.90M,489.50M,471.30M,511.10M,490.70M,481.40M,481.70M,478.60M,475.40M,476.70M,475.90M,473.70M,607.40M,618.90M,636.40M,629.00M,619.60M,404.20M,400.40M,392.80M,342.00M,307.20M,307.00M,304.60M,301.10M,301.10M,301.40M,299.60M,293.70M,291.00M,284.90M,276.90M,266.00M,266.40M,264.20M
Total Assets,4.487B,4.443B,4.564B,4.482B,4.199B,4.179B,4.397B,4.538B,4.727B,5.129B,5.219B,5.244B,5.123B,5.532B,5.570B,5.703B,5.253B,5.485B,5.505B,5.512B,5.438B,5.807B,5.209B,5.146B,4.981B,5.031B,5.018B,4.688B,4.616B,4.483B,4.410B,4.403B,4.331B,4.472B,4.250B,4.048B,4.005B,3.870B,3.812B,3.683B,3.589B,3.624B,3.749B,3.702B,3.538B,2.718B,2.330B,2.209B,2.077B,1.969B,1.843B,1.834B,1.980B,1.628B,1.507B,1.495B,1.416B,1.280B,1.252B,1.211B,1.178B,1.137B,1.065B,1.055B,1.020B,1.007B,1.014B,1.071B,1.051B,1.065B,1.066B,1.069B,1.093B,772.93M,745.09M,735.63M,697.37M,675.23M,652.09M,659.50M,694.70M,682.50M,694.70M,704.20M,596.90M,578.30M,548.50M,541.80M,561.20M,533.20M,533.80M,561.30M,527.10M,521.60M,539.60M,528.20M,511.60M,647.60M,664.50M,688.40M,681.10M,669.60M,445.90M,445.00M,433.00M,375.30M,340.90M,348.70M,332.20M,324.10M,322.00M,334.30M,321.40M,313.20M,316.30M,317.20M,302.10M,297.70M,302.20M,289.50M
Accounts Payable,21.66M,29.16M,35.18M,25.70M,30.03M,34.87M,33.90M,19.86M,7.815M,25.85M,32.57M,27.88M,27.36M,26.44M,23.57M,28.94M,30.04M,33.31M,37.63M,68.89M,54.95M,53.94M,43.79M,56.96M,26.02M,24.30M,19.13M,11.01M,14.04M,71.84M,237.42M,14.05M,18.25M,77.83M,86.28M,201.31M,28.76M,152.04M,184.02M,215.59M,115.94M,127.39M,142.95M,222.98M,206.04M,196.15M,163.35M,173.50M,152.45M,153.42M,137.80M,147.68M,137.33M,122.80M,115.33M,140.01M,144.75M,98.67M,102.51M,104.97M,91.71M,93.86M,92.16M,84.94M,91.38M,98.20M,88.91M,72.62M,52.48M,73.55M,64.03M,79.58M,90.81M,95.05M,90.20M,81.57M,67.04M,71.21M,52.48M,56.60M,55.90M,44.00M,39.80M,66.60M,50.20M,48.80M,44.30M,52.30M,47.20M,37.50M,39.40M,56.30M,34.00M,35.60M,48.10M,48.20M,27.40M,36.30M,26.40M,40.00M,37.10M,58.60M,31.60M,26.50M,21.90M,21.40M,13.10M,19.80M,17.60M,21.00M,15.40M,20.20M,12.70M,5.40M,4.60M,4.70M,6.00M,8.00M,7.20M,
Current Tax Payable,20.82M,16.76M,12.36M,31.12M,22.43M,13.50M,10.99M,21.72M,17.35M,16.96M,14.54M,23.64M,17.66M,16.26M,15.76M,23.10M,19.70M,25.57M,20.48M,35.73M,23.93M,31.53M,27.84M,39.98M,52.16M,21.06M,22.29M,26.34M,20.63M,13.86M,16.03M,24.21M,14.37M,17.63M,15.48M,19.52M,43.19M,19.68M,19.30M,0.00,6.649M,8.976M,7.774M,22.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,55.25M,35.03M,45.34M,50.24M,97.20M,135.88M,122.77M,40.85M,49.37M,40.46M,90.85M,96.30M,43.60M,78.80M,82.20M,75.22M,88.26M,82.19M,84.56M,100.99M,105.90M,127.33M,87.92M,93.44M,88.11M,89.06M,94.85M,80.12M,79.15M,5.506M,,,57.35M,,9.298M,,199.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,97.74M,80.95M,92.88M,107.06M,149.66M,184.25M,167.66M,82.43M,74.53M,83.26M,137.97M,147.82M,88.62M,121.50M,121.53M,127.26M,138.00M,141.08M,142.66M,205.61M,184.78M,212.79M,159.54M,190.37M,166.29M,134.41M,136.28M,117.46M,113.82M,91.22M,253.45M,38.26M,89.98M,95.46M,111.06M,220.84M,271.87M,171.71M,203.32M,215.59M,122.59M,136.37M,150.73M,245.10M,206.04M,196.15M,163.35M,173.50M,152.45M,153.42M,137.80M,147.68M,137.33M,122.80M,115.33M,140.01M,144.75M,98.67M,102.51M,104.97M,91.71M,93.86M,92.16M,84.94M,91.38M,98.20M,88.91M,72.62M,52.48M,73.55M,64.03M,79.58M,90.81M,95.05M,90.20M,81.57M,67.04M,71.21M,52.48M,56.60M,55.90M,44.00M,39.80M,66.60M,50.20M,48.80M,44.30M,52.30M,47.20M,37.50M,39.40M,56.30M,34.00M,35.60M,48.10M,48.20M,27.40M,36.30M,26.40M,40.00M,37.10M,58.60M,31.60M,26.50M,21.90M,21.40M,13.10M,19.80M,17.60M,21.00M,15.40M,20.20M,12.70M,5.40M,4.60M,4.70M,6.00M,8.00M,7.20M,
Accrued Expenses,117.44M,103.64M,116.50M,109.26M,115.84M,89.96M,92.39M,101.63M,111.43M,94.03M,79.60M,55.13M,112.78M,59.40M,59.78M,43.39M,61.68M,79.25M,120.48M,147.09M,256.15M,201.01M,137.30M,135.85M,170.01M,190.31M,210.00M,169.44M,188.41M,178.54M,25.06M,22.57M,163.99M,143.93M,154.57M,15.26M,19.49M,29.60M,20.02M,57.62M,45.72M,52.34M,40.22M,20.68M,41.72M,44.04M,57.54M,48.06M,35.74M,40.34M,37.80M,42.10M,35.34M,36.50M,36.80M,35.16M,143.78M,73.66M,25.52M,70.98M,106.52M,92.75M,92.42M,69.76M,57.41M,70.98M,70.78M,48.31M,31.50M,35.95M,41.11M,30.66M,29.04M,27.33M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,215.18M,184.59M,209.37M,216.32M,265.50M,274.21M,260.04M,184.06M,185.96M,177.30M,217.57M,202.96M,201.40M,180.90M,181.32M,170.66M,199.68M,220.33M,263.15M,352.70M,440.93M,413.80M,296.85M,326.22M,336.30M,324.72M,346.28M,286.91M,302.23M,269.76M,278.51M,60.83M,253.97M,239.39M,265.62M,236.10M,291.36M,201.32M,223.34M,273.21M,168.31M,188.71M,190.95M,265.79M,247.76M,240.19M,220.89M,221.56M,188.20M,193.76M,175.60M,189.78M,172.67M,159.30M,152.12M,175.16M,288.52M,172.33M,128.03M,175.94M,198.24M,186.61M,184.58M,154.70M,148.79M,169.17M,159.70M,120.93M,83.98M,109.50M,105.14M,110.24M,119.85M,122.38M,90.20M,81.57M,67.04M,71.21M,52.48M,56.60M,55.90M,44.00M,39.80M,66.60M,50.20M,48.80M,44.30M,52.30M,47.20M,37.50M,39.40M,56.30M,34.00M,35.60M,48.10M,48.20M,27.40M,36.30M,26.40M,40.00M,37.10M,58.60M,31.60M,26.50M,21.90M,21.40M,13.10M,19.80M,17.60M,21.00M,15.40M,20.20M,12.70M,5.40M,4.60M,4.70M,6.00M,8.00M,7.20M,
Current Provisions - Legal & Other,,0.50M,1.00M,1.00M,,1.00M,1.00M,1.00M,4.952M,6.073M,2.00M,2.00M,2.00M,2.00M,2.00M,,2.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,87.00M,87.00M,,,,67.00M,304.00M,304.00M,304.00M,237.00M,,,,,20.00M,,20.00M,,,,,,,,,,75.00M,75.00M,75.00M,75.00M,,,,,,,,,,,,,,35.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,87.00M,87.00M,,,,67.00M,304.00M,304.00M,304.00M,237.00M,,,,,20.00M,20.00M,20.00M,20.00M,,,,,,,,,75.00M,75.00M,75.00M,75.00M,,,,,,,,,,,20.00M,20.00M,36.71M,35.86M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,,,,,,,,,,,,,,,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,,,,,,,,,1.10M,,3.80M,1.20M,2.60M,0.50M,,,2.80M,1.80M,2.60M,,,,2.30M,2.50M,3.20M,,,,,
Current Capital Lease Obligation,3.124M,4.28M,5.782M,7.517M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,90.12M,91.28M,5.782M,7.517M,0.00,67.00M,304.00M,304.00M,304.00M,237.00M,,,,,20.00M,20.00M,20.00M,20.00M,,,,,,,,,75.00M,75.00M,75.00M,75.00M,,,,,,,,,,,20.00M,20.00M,36.71M,35.86M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,20.00M,,,,,,,,,,,,,,,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,16.00M,,,,,,,,,1.10M,,3.80M,1.20M,2.60M,0.50M,,,2.80M,1.80M,2.60M,,,,2.30M,2.50M,3.20M,,,,,
Current Deferred Revenue,,,,,,0.00,5.00M,5.00M,81.50M,,,,0.00,,,,,0.081M,0.081M,0.087M,,0.089M,0.107M,8.334M,14.09M,35.69M,51.03M,40.61M,44.20M,33.24M,,,1.489M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,,,,,,0.00,5.00M,5.00M,81.50M,,,,0.00,,,,,12.75M,2.835M,39.23M,35.27M,0.089M,0.107M,8.334M,14.09M,40.38M,51.03M,40.61M,49.41M,47.47M,45.94M,68.41M,56.62M,31.98M,9.778M,,0.00,25.52M,41.56M,35.10M,58.86M,56.42M,84.65M,63.98M,47.18M,1.264M,1.337M,3.93M,11.29M,15.00M,12.01M,31.96M,22.97M,9.388M,4.605M,0.941M,1.105M,0.404M,0.694M,0.944M,,,,1.826M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,12.67M,2.754M,39.14M,35.27M,,,,0.00,4.69M,0.00,0.00,5.203M,14.23M,45.94M,61.87M,55.13M,31.98M,9.778M,,0.00,25.52M,41.56M,35.10M,58.86M,56.42M,84.65M,63.98M,47.18M,1.264M,1.337M,3.93M,11.29M,15.00M,12.01M,31.96M,22.97M,9.388M,4.605M,0.941M,1.105M,0.404M,0.694M,0.944M,,,,1.826M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,1.305M,,10.92M,9.589M,8.002M,32.99M,0.80M,2.688M,12.69M,40.26M,5.818M,18.50M,,,,,,,0.102M,38.49M,73.43M,13.91M,,,26.10M,0.192M,2.941M,0.193M,181.14M,0.385M,,1.16M,,,,0.401M,0.425M,,,,1.591M,3.093M,213.80M,79.40M,6.774M,4.179M,7.343M,9.499M,9.282M,89.90M,1.254M,2.079M,22.48M,,,73.58M,,,,,,,,,,,,,,,,35.95M,20.54M,21.21M,16.39M,20.32M,17.30M,18.70M,14.60M,17.70M,16.40M,20.40M,16.20M,18.70M,17.60M,16.80M,14.30M,16.40M,16.30M,15.70M,13.80M,15.90M,12.70M,16.60M,13.40M,18.90M,13.70M,17.80M,11.90M,10.80M,10.30M,11.30M,8.80M,12.10M,11.20M,13.40M,12.40M,15.40M,15.70M,20.80M,24.90M,26.00M,26.60M,27.60M,18.20M,18.20M,
Total Current Liabilities,328.03M,294.78M,234.03M,240.32M,287.26M,366.10M,590.74M,510.49M,630.05M,438.23M,234.42M,224.40M,257.81M,196.76M,228.49M,199.38M,235.55M,265.58M,278.85M,402.75M,499.02M,432.79M,362.15M,432.63M,407.90M,399.27M,494.39M,447.26M,444.14M,412.79M,340.86M,322.15M,343.34M,288.98M,286.72M,241.70M,303.84M,226.83M,265.30M,308.74M,247.17M,265.13M,312.31M,378.91M,318.03M,475.25M,321.63M,252.27M,223.66M,236.11M,217.11M,251.03M,305.54M,189.94M,178.81M,218.58M,309.63M,192.73M,222.31M,196.89M,198.24M,186.61M,184.58M,156.53M,148.79M,169.17M,159.70M,120.93M,83.98M,109.50M,105.14M,110.24M,119.85M,122.38M,142.15M,118.11M,104.25M,103.60M,88.80M,89.90M,90.60M,74.60M,73.50M,99.00M,86.60M,81.00M,79.00M,85.90M,80.00M,67.80M,55.80M,72.60M,49.70M,49.40M,64.00M,60.90M,44.00M,49.70M,46.40M,53.70M,58.70M,71.70M,45.00M,37.30M,33.20M,30.20M,28.00M,32.80M,33.60M,33.40M,30.80M,35.90M,35.80M,32.80M,33.80M,31.30M,33.60M,26.20M,25.40M,38.50M
Long Term Provisions - Legal & Other,71.60M,56.97M,54.36M,53.70M,50.62M,48.20M,46.53M,45.51M,43.60M,59.60M,57.50M,133.53M,131.73M,134.70M,133.07M,130.80M,143.61M,138.89M,134.76M,130.54M,124.66M,114.24M,77.46M,75.60M,73.85M,70.52M,68.39M,69.09M,67.02M,63.07M,61.95M,61.28M,60.14M,74.78M,74.05M,73.04M,72.31M,,,29.68M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,1.133B,1.133B,1.220B,1.219B,1.226B,1.219B,1.219B,1.218B,1.218B,1.285B,1.521B,1.521B,1.521B,1.520B,1.520B,1.583B,1.996B,2.017B,1.995B,1.877B,1.752B,1.612B,1.193B,1.222B,1.147B,1.162B,1.067B,1.052B,1.012B,987.00M,972.00M,1.012B,950.00M,1.205B,1.095B,1.055B,975.00M,1.015B,915.00M,805.00M,790.00M,795.00M,840.29M,831.14M,800.00M,245.00M,350.00M,330.00M,295.00M,235.00M,210.00M,220.00M,380.00M,330.00M,275.00M,320.00M,260.00M,250.00M,250.00M,250.00M,270.00M,270.00M,270.00M,270.00M,285.00M,304.00M,338.00M,365.00M,395.00M,397.00M,412.00M,393.00M,367.00M,187.00M,183.00M,253.00M,260.00M,249.00M,262.00M,277.00M,319.00M,334.00M,347.00M,327.00M,233.00M,214.00M,191.00M,183.00M,217.00M,207.00M,222.00M,248.00M,244.00M,243.00M,248.00M,249.00M,240.30M,250.30M,261.30M,268.40M,259.30M,228.30M,156.00M,169.00M,161.00M,107.00M,112.00M,120.00M,107.00M,98.00M,94.00M,105.00M,96.00M,86.00M,83.00M,91.50M,80.00M,80.00M,87.00M,
Long Term Cap Lease Obligation,32.68M,33.33M,33.80M,34.50M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,1.166B,1.166B,1.253B,1.254B,1.226B,1.219B,1.219B,1.218B,1.218B,1.285B,1.521B,1.521B,1.521B,1.520B,1.520B,1.583B,1.996B,2.017B,1.995B,1.877B,1.752B,1.612B,1.193B,1.222B,1.147B,1.162B,1.067B,1.052B,1.012B,987.00M,972.00M,1.012B,950.00M,1.205B,1.095B,1.055B,975.00M,1.015B,915.00M,805.00M,790.00M,795.00M,840.29M,831.14M,800.00M,245.00M,350.00M,330.00M,295.00M,235.00M,210.00M,220.00M,380.00M,330.00M,275.00M,320.00M,260.00M,250.00M,250.00M,250.00M,270.00M,270.00M,270.00M,270.00M,285.00M,304.00M,338.00M,365.00M,395.00M,397.00M,412.00M,393.00M,367.00M,187.00M,183.00M,253.00M,260.00M,249.00M,262.00M,277.00M,319.00M,334.00M,347.00M,327.00M,233.00M,214.00M,191.00M,183.00M,217.00M,207.00M,222.00M,248.00M,244.00M,243.00M,248.00M,249.00M,240.30M,250.30M,261.30M,268.40M,259.30M,228.30M,156.00M,169.00M,161.00M,107.00M,112.00M,120.00M,107.00M,98.00M,94.00M,105.00M,96.00M,86.00M,83.00M,91.50M,80.00M,80.00M,87.00M,
Long Term Deferred Tax Liabilities,702.10M,647.47M,611.16M,546.56M,458.60M,358.71M,293.93M,291.28M,227.03M,638.01M,617.33M,590.58M,579.45M,749.98M,745.08M,780.30M,807.24M,874.70M,878.07M,851.65M,843.88M,1.208B,1.101B,1.074B,1.068B,986.94M,1.015B,910.61M,882.67M,837.32M,829.03M,814.19M,802.59M,785.15M,757.61M,746.94M,714.95M,675.82M,663.58M,644.80M,623.95M,628.23M,623.34M,599.11M,674.01M,542.21M,508.14M,481.77M,424.27M,394.57M,367.39M,347.43M,330.86M,320.24M,306.12M,289.38M,269.41M,259.70M,255.00M,247.38M,232.13M,219.23M,175.68M,208.96M,174.82M,160.55M,161.64M,200.21M,202.18M,198.52M,194.54M,200.86M,221.74M,135.63M,121.96M,108.17M,99.19M,95.62M,97.61M,95.00M,92.40M,85.20M,84.50M,86.00M,85.60M,84.70M,82.40M,80.10M,80.60M,77.60M,76.00M,69.40M,69.80M,68.30M,67.00M,62.80M,65.50M,111.40M,114.20M,117.80M,111.20M,112.60M,81.50M,78.70M,77.80M,73.60M,73.30M,71.60M,69.30M,71.30M,72.90M,71.90M,66.20M,67.40M,70.60M,68.90M,65.50M,64.20M,63.90M,61.70M
Non-Current Deferred Liabilities,729.12M,673.26M,639.51M,576.32M,484.38M,386.54M,321.78M,318.88M,256.18M,665.61M,643.53M,616.00M,603.62M,775.06M,769.61M,805.44M,829.61M,898.96M,908.20M,880.74M,872.81M,1.238B,1.133B,1.105B,1.101B,1.019B,1.046B,940.04M,906.56M,859.99M,829.03M,814.19M,822.78M,785.15M,784.01M,746.94M,736.55M,695.55M,663.58M,644.80M,623.95M,628.23M,623.34M,599.11M,674.01M,542.21M,508.14M,481.77M,424.27M,394.57M,367.39M,347.43M,330.86M,320.24M,306.12M,289.38M,269.41M,259.70M,255.00M,247.38M,232.13M,219.23M,175.68M,208.96M,174.82M,160.55M,161.64M,200.21M,202.18M,198.52M,194.54M,200.86M,221.74M,135.63M,121.96M,108.17M,99.19M,95.62M,97.61M,95.00M,92.40M,85.20M,84.50M,86.00M,85.60M,84.70M,82.40M,80.10M,80.60M,77.60M,76.00M,69.40M,69.80M,68.30M,67.00M,62.80M,65.50M,111.40M,114.20M,117.80M,111.20M,112.60M,81.50M,78.70M,77.80M,73.60M,73.30M,71.60M,69.30M,71.30M,72.90M,71.90M,66.20M,67.40M,70.60M,68.90M,65.50M,64.20M,63.90M,61.70M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.956M,,,,,,30.49M,104.52M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
