date,three_year_return
"March 19, 2020",-8.30%
"March 18, 2020",-3.13%
"March 17, 2020",5.08%
"March 16, 2020",-6.18%
"March 13, 2020",6.06%
"March 12, 2020",-0.20%
"March 11, 2020",12.77%
"March 10, 2020",17.87%
"March 9, 2020",18.15%
"March 6, 2020",20.98%
"March 5, 2020",22.24%
"March 4, 2020",24.10%
"March 3, 2020",16.73%
"March 2, 2020",17.37%
"Feb. 28, 2020",11.08%
"Feb. 27, 2020",16.04%
"Feb. 26, 2020",20.72%
"Feb. 25, 2020",21.12%
"Feb. 24, 2020",24.82%
"Feb. 21, 2020",29.51%
"Feb. 20, 2020",29.44%
"Feb. 19, 2020",29.43%
"Feb. 18, 2020",30.19%
"Feb. 14, 2020",29.78%
"Feb. 13, 2020",27.22%
"Feb. 12, 2020",25.38%
"Feb. 11, 2020",24.19%
"Feb. 10, 2020",23.21%
"Feb. 7, 2020",23.82%
"Feb. 6, 2020",24.96%
"Feb. 5, 2020",25.10%
"Feb. 4, 2020",24.40%
"Feb. 3, 2020",25.78%
"Jan. 31, 2020",24.31%
"Jan. 30, 2020",26.39%
"Jan. 29, 2020",25.75%
"Jan. 28, 2020",25.05%
"Jan. 27, 2020",24.90%
"Jan. 24, 2020",24.75%
"Jan. 23, 2020",24.73%
"Jan. 22, 2020",23.25%
"Jan. 21, 2020",22.58%
"Jan. 17, 2020",20.99%
"Jan. 16, 2020",20.68%
"Jan. 15, 2020",19.79%
"Jan. 14, 2020",18.25%
"Jan. 13, 2020",18.17%
"Jan. 10, 2020",18.22%
"Jan. 9, 2020",18.24%
"Jan. 8, 2020",16.66%
"Jan. 7, 2020",16.49%
"Jan. 6, 2020",17.23%
"Jan. 3, 2020",16.30%
"Jan. 2, 2020",16.39%
"Dec. 31, 2019",17.51%
"Dec. 30, 2019",16.97%
"Dec. 27, 2019",17.41%
"Dec. 26, 2019",16.45%
"Dec. 24, 2019",16.25%
"Dec. 23, 2019",16.14%
"Dec. 20, 2019",17.16%
"Dec. 19, 2019",16.62%
"Dec. 18, 2019",18.31%
"Dec. 17, 2019",18.23%
"Dec. 16, 2019",18.15%
"Dec. 13, 2019",16.53%
"Dec. 12, 2019",17.10%
"Dec. 11, 2019",17.38%
"Dec. 10, 2019",17.45%
"Dec. 9, 2019",17.75%
"Dec. 6, 2019",21.53%
"Dec. 5, 2019",21.30%
"Dec. 4, 2019",21.15%
"Dec. 3, 2019",19.67%
"Dec. 2, 2019",18.89%
"Nov. 29, 2019",15.45%
"Nov. 27, 2019",19.11%
"Nov. 26, 2019",18.63%
"Nov. 25, 2019",17.82%
"Nov. 22, 2019",17.95%
"Nov. 21, 2019",16.43%
"Nov. 20, 2019",18.38%
"Nov. 19, 2019",18.25%
"Nov. 18, 2019",20.45%
"Nov. 15, 2019",16.66%
"Nov. 14, 2019",18.55%
"Nov. 13, 2019",17.66%
"Nov. 12, 2019",16.41%
"Nov. 11, 2019",16.43%
"Nov. 8, 2019",12.93%
"Nov. 7, 2019",17.00%
"Nov. 6, 2019",20.82%
"Nov. 5, 2019",20.55%
"Nov. 4, 2019",21.19%
"Nov. 1, 2019",20.12%
"Oct. 31, 2019",17.80%
"Oct. 30, 2019",19.42%
"Oct. 29, 2019",18.81%
"Oct. 28, 2019",19.54%
"Oct. 25, 2019",21.43%
"Oct. 24, 2019",22.54%
"Oct. 23, 2019",23.26%
"Oct. 22, 2019",22.17%
"Oct. 21, 2019",22.19%
"Oct. 18, 2019",22.40%
"Oct. 17, 2019",22.74%
"Oct. 16, 2019",23.21%
"Oct. 15, 2019",23.04%
"Oct. 14, 2019",23.21%
"Oct. 11, 2019",26.43%
"Oct. 10, 2019",24.95%
"Oct. 9, 2019",25.41%
"Oct. 8, 2019",25.49%
"Oct. 7, 2019",26.58%
"Oct. 4, 2019",25.45%
"Oct. 3, 2019",20.24%
"Oct. 2, 2019",18.33%
"Oct. 1, 2019",20.18%
"Sept. 30, 2019",19.77%
"Sept. 27, 2019",18.21%
"Sept. 26, 2019",17.10%
"Sept. 25, 2019",16.34%
"Sept. 24, 2019",16.67%
"Sept. 23, 2019",15.61%
"Sept. 20, 2019",18.84%
"Sept. 19, 2019",17.44%
"Sept. 18, 2019",18.40%
"Sept. 17, 2019",17.91%
"Sept. 16, 2019",16.97%
"Sept. 13, 2019",19.18%
"Sept. 12, 2019",19.78%
"Sept. 11, 2019",21.22%
"Sept. 10, 2019",20.51%
"Sept. 9, 2019",20.23%
"Sept. 6, 2019",15.84%
"Sept. 5, 2019",16.41%
"Sept. 4, 2019",17.11%
"Sept. 3, 2019",16.74%
"Aug. 30, 2019",16.62%
"Aug. 29, 2019",15.32%
"Aug. 28, 2019",15.49%
"Aug. 27, 2019",15.30%
"Aug. 26, 2019",14.30%
"Aug. 23, 2019",11.41%
"Aug. 22, 2019",11.52%
"Aug. 21, 2019",11.75%
"Aug. 20, 2019",11.67%
"Aug. 19, 2019",11.05%
"Aug. 16, 2019",11.58%
"Aug. 15, 2019",9.33%
"Aug. 14, 2019",6.37%
"Aug. 13, 2019",7.58%
"Aug. 12, 2019",7.20%
"Aug. 9, 2019",5.92%
"Aug. 8, 2019",5.39%
"Aug. 7, 2019",5.47%
"Aug. 6, 2019",5.57%
"Aug. 5, 2019",3.24%
"Aug. 2, 2019",2.99%
"Aug. 1, 2019",2.16%
"July 31, 2019",1.32%
"July 30, 2019",2.51%
"July 29, 2019",2.57%
"July 26, 2019",1.35%
"July 25, 2019",-0.23%
"July 24, 2019",0.79%
"July 23, 2019",1.36%
"July 22, 2019",1.91%
"July 19, 2019",3.60%
"July 18, 2019",5.33%
"July 17, 2019",4.97%
"July 16, 2019",4.84%
"July 15, 2019",5.25%
"July 12, 2019",5.04%
"July 11, 2019",4.00%
"July 10, 2019",4.21%
"July 9, 2019",3.94%
"July 8, 2019",4.24%
"July 5, 2019",3.16%
"July 3, 2019",5.22%
"July 2, 2019",4.10%
"July 1, 2019",2.78%
"June 28, 2019",5.12%
"June 27, 2019",5.43%
"June 26, 2019",6.73%
"June 25, 2019",9.33%
"June 24, 2019",9.07%
"June 21, 2019",9.18%
"June 20, 2019",8.02%
"June 19, 2019",5.63%
"June 18, 2019",5.13%
"June 17, 2019",5.99%
"June 14, 2019",6.63%
"June 13, 2019",6.32%
"June 12, 2019",6.66%
"June 11, 2019",5.42%
"June 10, 2019",6.22%
"June 7, 2019",8.81%
"June 6, 2019",9.86%
"June 5, 2019",8.92%
"June 4, 2019",7.27%
"June 3, 2019",7.42%
"May 31, 2019",9.43%
"May 30, 2019",9.68%
"May 29, 2019",10.04%
"May 28, 2019",11.72%
"May 24, 2019",15.35%
"May 23, 2019",16.74%
"May 22, 2019",14.04%
"May 21, 2019",13.09%
"May 20, 2019",12.94%
"May 17, 2019",9.67%
"May 16, 2019",6.47%
"May 15, 2019",7.45%
"May 14, 2019",7.73%
"May 13, 2019",9.01%
"May 10, 2019",9.91%
"May 9, 2019",8.46%
"May 8, 2019",10.61%
"May 7, 2019",12.45%
"May 6, 2019",12.72%
"May 3, 2019",14.36%
"May 2, 2019",13.77%
"May 1, 2019",14.76%
"April 30, 2019",15.66%
"April 29, 2019",13.71%
"April 26, 2019",17.37%
"April 25, 2019",17.83%
"April 24, 2019",16.45%
"April 23, 2019",15.58%
"April 22, 2019",15.22%
"April 18, 2019",10.87%
"April 17, 2019",11.32%
"April 16, 2019",11.36%
"April 15, 2019",13.05%
"April 12, 2019",12.75%
"April 11, 2019",13.62%
"April 10, 2019",12.75%
"April 9, 2019",13.14%
"April 8, 2019",12.96%
"April 5, 2019",13.30%
"April 4, 2019",10.19%
"April 3, 2019",9.52%
"April 2, 2019",9.86%
"April 1, 2019",10.05%
