date,revenues_ttm
"Dec. 31, 2019",25.08B
"Sept. 30, 2019",25.09B
"June 30, 2019",24.78B
"March 31, 2019",24.55B
"Dec. 31, 2018",24.52B
"Sept. 30, 2018",24.20B
"June 30, 2018",24.06B
"March 31, 2018",23.97B
"Dec. 31, 2017",23.56B
"Sept. 30, 2017",23.34B
"June 30, 2017",23.44B
"March 31, 2017",23.10B
"Dec. 31, 2016",22.74B
"Sept. 30, 2016",21.40B
"June 30, 2016",21.31B
"March 31, 2016",21.68B
"Dec. 31, 2015",22.37B
"Sept. 30, 2015",22.28B
"June 30, 2015",22.19B
"March 31, 2015",22.31B
"Dec. 31, 2014",22.51B
"Sept. 30, 2014",23.99B
"June 30, 2014",23.81B
"March 31, 2014",23.98B
"Dec. 31, 2013",23.62B
"Sept. 30, 2013",21.98B
"June 30, 2013",22.48B
"March 31, 2013",20.18B
"Dec. 31, 2012",17.91B
"Sept. 30, 2012",17.30B
"June 30, 2012",14.54B
"March 31, 2012",14.50B
"Dec. 31, 2011",14.53B
"Sept. 30, 2011",14.61B
"June 30, 2011",14.59B
"March 31, 2011",14.34B
"Dec. 31, 2010",14.27B
"Sept. 30, 2010",13.94B
"June 30, 2010",13.39B
"March 31, 2010",13.01B
"Dec. 31, 2009",12.73B
"Sept. 30, 2009",12.75B
"June 30, 2009",12.87B
"March 31, 2009",13.18B
"Dec. 31, 2008",13.21B
"Sept. 30, 2008",13.10B
"June 30, 2008",13.28B
"March 31, 2008",13.02B
"Dec. 31, 2007",12.72B
"Sept. 30, 2007",12.49B
"June 30, 2007",12.08B
"March 31, 2007",12.02B
"Dec. 31, 2006",10.61B
"Sept. 30, 2006",1.078B
"June 30, 2006",827.00M
"March 31, 2006",3.198B
"Dec. 31, 2005",6.906B
"Sept. 30, 2005",19.17B
"June 30, 2005",21.22B
"March 31, 2005",21.27B
"Dec. 31, 2004",21.58B
"Sept. 30, 2004",21.27B
"June 30, 2004",21.74B
"March 31, 2004",21.58B
"Dec. 31, 2003",22.11B
"Sept. 30, 2003",21.83B
"June 30, 2003",20.26B
"March 31, 2003",18.72B
"Dec. 31, 2002",15.86B
"Sept. 30, 2002",14.65B
"June 30, 2002",15.39B
"March 31, 2002",27.36B
"Dec. 31, 2001",40.54B
"Sept. 30, 2001",18.64B
"June 30, 2001",29.20B
"March 31, 2001",24.54B
"Dec. 31, 2000",15.29B
"Sept. 30, 2000",39.67B
"June 30, 2000",31.08B
"March 31, 2000",24.84B
"Dec. 31, 1999",21.78B
"Sept. 30, 1999",19.80B
"June 30, 1999",18.40B
"March 31, 1999",17.73B
"Dec. 31, 1998",17.66B
"Sept. 30, 1998",18.02B
"June 30, 1998",17.54B
"March 31, 1998",16.64B
"Dec. 31, 1997",16.31B
"Sept. 30, 1997",15.47B
"June 30, 1997",13.78B
"March 31, 1997",13.23B
"Dec. 31, 1996",10.61B
"Sept. 30, 1996",13.01B
"June 30, 1996",11.25B
"March 31, 1996",9.746B
"Dec. 31, 1995",9.695B
"Sept. 30, 1995",4.578B
"June 30, 1995",4.470B
"March 31, 1995",4.501B
"Dec. 31, 1994",4.489B
"Sept. 30, 1994",4.452B
"June 30, 1994",4.469B
"March 31, 1994",4.373B
"Dec. 31, 1993",4.282B
"Sept. 30, 1993",4.226B
"June 30, 1993",4.076B
"March 31, 1993",3.988B
"Dec. 31, 1992",3.962B
"Sept. 30, 1992",3.960B
"June 30, 1992",3.917B
"March 31, 1992",3.912B
"Dec. 31, 1991",3.817B
"Sept. 30, 1991",3.727B
"June 30, 1991",3.736B
"March 31, 1991",3.713B
"Dec. 31, 1990",3.682B
"Sept. 30, 1990",3.718B
"June 30, 1990",3.624B
"March 31, 1990",3.632B
"Dec. 31, 1989",3.639B
"Sept. 30, 1989",3.602B
"June 30, 1989",3.620B
"March 31, 1989",3.573B
"Dec. 31, 1988",3.627B
"Sept. 30, 1988",3.676B
"June 30, 1988",3.683B
"March 31, 1988",3.711B
"Dec. 31, 1987",3.706B
"Sept. 30, 1987",3.65B
"June 30, 1987",3.554B
"March 31, 1987",3.480B
"Dec. 31, 1986",3.401B
"Sept. 30, 1986",3.276B
"June 30, 1986",3.087B
"March 31, 1986",2.981B
"Dec. 31, 1985",2.899B
"Sept. 30, 1985",2.861B
"June 30, 1985",2.839B
"March 31, 1985",2.790B
"Dec. 31, 1984",2.71B
