date,kz_index
"Dec. 31, 2019",0.8795
"Dec. 31, 2018",0.9078
"Dec. 31, 2017",0.8662
"Dec. 31, 2016",0.6645
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",0.4415
"Dec. 31, 2012",0.0252
"Dec. 31, 2011",0.3073
"Dec. 31, 2010",0.1402
"Dec. 31, 2009",
"Dec. 31, 2008",-0.1254
"Dec. 31, 2007",0.3019
"Dec. 31, 2006",-0.5319
"Dec. 31, 2005",
"Dec. 31, 2004",
"Dec. 31, 2003",0.9386
"Dec. 31, 2002",
"Dec. 31, 2001",0.4388
"Dec. 31, 2000",
"Dec. 31, 1999",-0.2064
"Dec. 31, 1998",-0.3509
"Dec. 31, 1997",-0.2227
"Dec. 31, 1996",-1.143
"Dec. 31, 1995",-0.5044
