date,shares_outstanding
"Jan. 31, 2020",733.32M
"Dec. 31, 2019",733.00M
"Oct. 31, 2019",729.03M
"Sept. 30, 2019",728.60M
"July 31, 2019",728.60M
"June 30, 2019",728.00M
"April 30, 2019",728.05M
"March 31, 2019",728.00M
"March 4, 2019",727.65M
"Jan. 31, 2019",727.01M
"Dec. 31, 2018",727.00M
"Oct. 31, 2018",712.88M
"Sept. 30, 2018",713.00M
"July 31, 2018",712.35M
"June 30, 2018",712.00M
"March 31, 2018",701.01M
"March 9, 2018",700.61M
"March 5, 2018",700.61M
"Feb. 26, 2018",700.30M
"Jan. 31, 2018",700.09M
"Dec. 31, 2017",700.00M
"Sept. 30, 2017",699.98M
"June 30, 2017",699.95M
"March 31, 2017",699.88M
"March 6, 2017",699.88M
"Feb. 26, 2017",699.61M
"Jan. 31, 2017",699.61M
"Dec. 31, 2016",700.00M
"Sept. 30, 2016",688.94M
"June 30, 2016",688.93M
"April 30, 2016",688.90M
"March 31, 2016",688.90M
"March 7, 2016",688.79M
"Jan. 31, 2016",688.38M
"Dec. 31, 2015",688.00M
"Nov. 3, 2015",688.33M
"Sept. 30, 2015",688.00M
"Aug. 4, 2015",688.33M
"June 30, 2015",688.00M
"May 5, 2015",691.54M
"March 31, 2015",708.00M
"March 9, 2015",708.02M
"Feb. 24, 2015",707.55M
"Dec. 31, 2014",707.00M
"Nov. 4, 2014",707.29M
"Sept. 30, 2014",707.00M
"Aug. 4, 2014",707.27M
"June 30, 2014",707.00M
"May 6, 2014",707.24M
"March 31, 2014",707.00M
"March 3, 2014",706.95M
"Feb. 25, 2014",706.46M
"Dec. 31, 2013",706.00M
"Nov. 5, 2013",705.99M
"Sept. 30, 2013",706.00M
"Aug. 5, 2013",705.91M
"June 30, 2013",706.00M
"May 6, 2013",705.74M
"March 31, 2013",706.00M
"March 5, 2013",705.47M
"Feb. 25, 2013",704.65M
"Dec. 31, 2012",704.00M
"Nov. 5, 2012",704.24M
"Sept. 30, 2012",704.00M
"Aug. 3, 2012",704.13M
"June 30, 2012",446.00M
"April 30, 2012",446.03M
"March 31, 2012",446.00M
"March 5, 2012",445.99M
"Feb. 21, 2012",445.28M
"Dec. 31, 2011",445.33M
"Nov. 8, 2011",444.24M
"Sept. 30, 2011",444.00M
"July 29, 2011",443.93M
"June 30, 2011",444.00M
"April 29, 2011",443.78M
"March 31, 2011",443.67M
"March 10, 2011",443.70M
"Feb. 18, 2011",443.05M
"Dec. 31, 2010",443.00M
"Oct. 29, 2010",441.52M
"Sept. 30, 2010",441.33M
"July 30, 2010",439.57M
"June 30, 2010",439.33M
"May 3, 2010",437.71M
"March 31, 2010",437.33M
"March 11, 2010",436.84M
"Feb. 22, 2010",436.44M
"Dec. 31, 2009",436.33M
"Nov. 2, 2009",434.87M
"Sept. 30, 2009",434.33M
"Aug. 3, 2009",432.24M
"June 30, 2009",431.33M
"March 31, 2009",429.04M
"Dec. 31, 2008",427.05M
"Nov. 3, 2008",421.76M
"Sept. 30, 2008",421.67M
"June 30, 2008",421.63M
"March 31, 2008",421.54M
"Dec. 31, 2007",420.95M
"Sept. 30, 2007",420.34M
"June 30, 2007",420.08M
"March 31, 2007",419.82M
"Feb. 23, 2007",419.04M
"Dec. 31, 2006",419.00M
"Nov. 3, 2006",418.42M
"Sept. 30, 2006",418.33M
"Aug. 4, 2006",417.67M
"June 30, 2006",417.33M
"May 4, 2006",411.66M
"March 31, 2006",309.00M
"Feb. 28, 2006",309.39M
"Dec. 31, 2005",309.33M
"Nov. 4, 2005",309.19M
"Sept. 30, 2005",308.67M
"Aug. 3, 2005",308.79M
"June 30, 2005",308.79M
"May 4, 2005",308.90M
"March 31, 2005",309.33M
"March 4, 2005",319.23M
"Dec. 31, 2004",319.00M
"Oct. 29, 2004",312.65M
"Sept. 30, 2004",312.67M
"July 30, 2004",312.59M
"June 30, 2004",312.67M
"April 30, 2004",304.96M
"March 31, 2004",304.67M
"March 2, 2004",304.30M
"Dec. 31, 2003",303.67M
"Oct. 31, 2003",302.51M
"Sept. 30, 2003",302.33M
"July 31, 2003",301.47M
"June 30, 2003",298.33M
"April 30, 2003",300.38M
"March 31, 2003",300.00M
"March 3, 2003",299.09M
"Dec. 31, 2002",298.33M
"Oct. 31, 2002",297.20M
"Sept. 30, 2002",278.67M
"July 31, 2002",277.73M
"June 30, 2002",277.33M
"April 30, 2002",276.60M
"March 31, 2002",276.33M
"Feb. 28, 2002",259.40M
"Dec. 31, 2001",259.00M
"Oct. 31, 2001",258.71M
"Sept. 30, 2001",258.67M
"July 31, 2001",258.32M
"June 30, 2001",258.33M
"April 27, 2001",257.31M
"March 31, 2001",257.00M
"Dec. 31, 2000",247.33M
"Oct. 31, 2000",245.87M
"Sept. 30, 2000",246.00M
"June 30, 2000",245.38M
"April 28, 2000",244.97M
"March 31, 2000",244.67M
"Dec. 31, 1999",244.46M
"Sept. 30, 1999",243.33M
"June 30, 1999",243.33M
"March 31, 1999",242.67M
"Dec. 31, 1998",242.31M
"Sept. 30, 1998",241.13M
"June 30, 1998",240.60M
"March 31, 1998",240.20M
"Dec. 31, 1997",240.10M
"Sept. 30, 1997",239.93M
"June 30, 1997",239.90M
"March 31, 1997",134.39M
"Feb. 28, 1997",134.39M
"Dec. 31, 1996",134.39M
"Sept. 30, 1996",134.39M
"June 30, 1996",135.19M
"March 31, 1996",136.57M
"March 8, 1996",136.57M
"Dec. 31, 1995",136.57M
"Sept. 30, 1995",136.57M
"June 30, 1995",136.57M
"March 31, 1995",136.57M
"March 27, 1995",136.57M
"Dec. 31, 1994",136.57M
"Sept. 30, 1994",136.57M
"June 30, 1994",136.57M
"March 31, 1994",136.57M
"Dec. 31, 1993",136.57M
"Sept. 30, 1993",136.57M
"June 30, 1993",136.57M
"March 31, 1993",136.57M
"Dec. 31, 1992",136.57M
"Sept. 30, 1992",136.57M
"June 30, 1992",136.57M
"March 31, 1992",136.54M
"Dec. 31, 1991",136.47M
"Sept. 30, 1991",136.25M
"June 30, 1991",135.06M
"March 31, 1991",135.06M
"Dec. 31, 1990",135.06M
"Sept. 30, 1990",135.04M
"June 30, 1990",135.04M
"March 31, 1990",135.04M
"Dec. 31, 1989",135.04M
"Sept. 30, 1989",135.04M
"June 30, 1989",135.03M
"March 31, 1989",135.03M
"Dec. 31, 1988",135.03M
"Sept. 30, 1988",135.03M
"June 30, 1988",135.02M
"March 31, 1988",135.01M
"Dec. 31, 1987",135.01M
"Sept. 30, 1987",135.00M
"June 30, 1987",134.98M
"March 31, 1987",134.98M
"Dec. 31, 1986",134.98M
"Sept. 30, 1986",134.97M
"June 30, 1986",134.93M
"March 31, 1986",134.93M
"Dec. 31, 1985",134.93M
"Sept. 30, 1985",134.90M
"June 30, 1985",134.90M
"March 31, 1985",134.87M
"Dec. 31, 1984",134.87M
"Sept. 30, 1984",134.00M
"June 30, 1984",133.46M
"March 31, 1984",133.46M
