date,ps_ratio
"March 19, 2020",2.182
"March 18, 2020",2.304
"March 17, 2020",2.500
"March 16, 2020",2.226
"March 13, 2020",2.493
"March 12, 2020",2.339
"March 11, 2020",2.644
"March 10, 2020",2.763
"March 9, 2020",2.749
"March 6, 2020",2.879
"March 5, 2020",2.911
"March 4, 2020",2.955
"March 3, 2020",2.779
"March 2, 2020",2.81
"Feb. 28, 2020",2.666
"Feb. 27, 2020",2.761
"Feb. 26, 2020",2.876
"Feb. 25, 2020",2.886
"Feb. 24, 2020",2.974
"Feb. 21, 2020",2.977
"Feb. 20, 2020",2.948
"Feb. 19, 2020",2.948
"Feb. 18, 2020",2.966
"Feb. 14, 2020",2.944
"Feb. 13, 2020",2.91
"Feb. 12, 2020",2.846
"Feb. 11, 2020",2.819
"Feb. 10, 2020",2.797
"Feb. 7, 2020",2.798
"Feb. 6, 2020",2.818
"Feb. 5, 2020",2.824
"Feb. 4, 2020",2.808
"Feb. 3, 2020",2.839
"Jan. 31, 2020",2.838
"Jan. 30, 2020",2.833
"Jan. 29, 2020",2.812
"Jan. 28, 2020",2.797
"Jan. 27, 2020",2.793
"Jan. 24, 2020",2.799
"Jan. 23, 2020",2.793
"Jan. 22, 2020",2.770
"Jan. 21, 2020",2.755
"Jan. 17, 2020",2.724
"Jan. 16, 2020",2.709
"Jan. 15, 2020",2.688
"Jan. 14, 2020",2.654
"Jan. 13, 2020",2.652
"Jan. 10, 2020",2.629
"Jan. 9, 2020",2.634
"Jan. 8, 2020",2.628
"Jan. 7, 2020",2.624
"Jan. 6, 2020",2.641
"Jan. 3, 2020",2.628
"Jan. 2, 2020",2.626
"Dec. 31, 2019",2.651
"Dec. 30, 2019",2.624
"Dec. 27, 2019",2.630
"Dec. 26, 2019",2.613
"Dec. 24, 2019",2.608
"Dec. 23, 2019",2.606
"Dec. 20, 2019",2.619
"Dec. 19, 2019",2.60
"Dec. 18, 2019",2.619
"Dec. 17, 2019",2.617
"Dec. 16, 2019",2.616
"Dec. 13, 2019",2.604
"Dec. 12, 2019",2.589
"Dec. 11, 2019",2.572
"Dec. 10, 2019",2.574
"Dec. 9, 2019",2.581
"Dec. 6, 2019",2.594
"Dec. 5, 2019",2.581
"Dec. 4, 2019",2.571
"Dec. 3, 2019",2.540
"Dec. 2, 2019",2.523
"Nov. 29, 2019",2.548
"Nov. 27, 2019",2.560
"Nov. 26, 2019",2.549
"Nov. 25, 2019",2.532
"Nov. 22, 2019",2.519
"Nov. 21, 2019",2.505
"Nov. 20, 2019",2.518
"Nov. 19, 2019",2.516
"Nov. 18, 2019",2.562
"Nov. 15, 2019",2.560
"Nov. 14, 2019",2.551
"Nov. 13, 2019",2.559
"Nov. 12, 2019",2.532
"Nov. 11, 2019",2.532
"Nov. 8, 2019",2.60
"Nov. 7, 2019",2.676
"Nov. 6, 2019",2.699
"Nov. 5, 2019",2.692
"Nov. 4, 2019",2.707
"Nov. 1, 2019",2.728
"Oct. 31, 2019",2.725
"Oct. 30, 2019",2.717
"Oct. 29, 2019",2.704
"Oct. 28, 2019",2.720
"Oct. 25, 2019",2.758
"Oct. 24, 2019",2.777
"Oct. 23, 2019",2.780
"Oct. 22, 2019",2.755
"Oct. 21, 2019",2.756
"Oct. 18, 2019",2.756
"Oct. 17, 2019",2.751
"Oct. 16, 2019",2.750
"Oct. 15, 2019",2.746
"Oct. 14, 2019",2.750
"Oct. 11, 2019",2.774
"Oct. 10, 2019",2.783
"Oct. 9, 2019",2.776
"Oct. 8, 2019",2.778
"Oct. 7, 2019",2.802
"Oct. 4, 2019",2.809
"Oct. 3, 2019",2.749
"Oct. 2, 2019",2.738
"Oct. 1, 2019",2.780
"Sept. 30, 2019",2.771
"Sept. 27, 2019",2.803
"Sept. 26, 2019",2.801
"Sept. 25, 2019",2.795
"Sept. 24, 2019",2.803
"Sept. 23, 2019",2.778
"Sept. 20, 2019",2.774
"Sept. 19, 2019",2.751
"Sept. 18, 2019",2.745
"Sept. 17, 2019",2.733
"Sept. 16, 2019",2.711
"Sept. 13, 2019",2.734
"Sept. 12, 2019",2.765
"Sept. 11, 2019",2.751
"Sept. 10, 2019",2.735
"Sept. 9, 2019",2.729
"Sept. 6, 2019",2.73
"Sept. 5, 2019",2.720
"Sept. 4, 2019",2.736
"Sept. 3, 2019",2.727
"Aug. 30, 2019",2.700
"Aug. 29, 2019",2.701
"Aug. 28, 2019",2.688
"Aug. 27, 2019",2.683
"Aug. 26, 2019",2.660
"Aug. 23, 2019",2.642
"Aug. 22, 2019",2.659
"Aug. 21, 2019",2.657
"Aug. 20, 2019",2.655
"Aug. 19, 2019",2.640
"Aug. 16, 2019",2.614
"Aug. 15, 2019",2.600
