date,net_income_annual_cs_rev
"Dec. 31, 2019",14.94%
"Dec. 31, 2018",10.87%
"Dec. 31, 2017",12.98%
"Dec. 31, 2016",9.46%
"Dec. 31, 2015",12.59%
"Dec. 31, 2014",8.37%
"Dec. 31, 2013",11.71%
"Dec. 31, 2012",9.87%
"Dec. 31, 2011",11.74%
"Dec. 31, 2010",9.25%
"Dec. 31, 2009",8.44%
"Dec. 31, 2008",10.31%
"Dec. 31, 2007",11.79%
"Dec. 31, 2006",17.56%
"Dec. 31, 2005",26.41%
"Dec. 31, 2004",7.25%
"Dec. 31, 2003",-5.98%
"Dec. 31, 2002",6.52%
"Dec. 31, 2001",10.31%
"Dec. 31, 2000",11.58%
"Dec. 31, 1999",6.92%
"Dec. 31, 1998",7.09%
"Dec. 31, 1997",5.97%
"Dec. 31, 1996",9.00%
"Dec. 31, 1995",10.50%
"Dec. 31, 1994",14.23%
"Dec. 31, 1993",14.63%
"Dec. 31, 1992",12.83%
"Dec. 31, 1991",15.29%
"Dec. 31, 1990",14.62%
"Dec. 31, 1989",15.71%
"Dec. 31, 1988",12.35%
"Dec. 31, 1987",13.50%
"Dec. 31, 1986",13.76%
"Dec. 31, 1985",15.10%
"Dec. 31, 1984",17.02%
