date,times_interest_earned
"Dec. 31, 2019",2.900
"Sept. 30, 2019",2.761
"June 30, 2019",2.674
"March 31, 2019",2.560
"Dec. 31, 2018",2.491
"Sept. 30, 2018",2.718
"June 30, 2018",2.779
"March 31, 2018",3.014
"Dec. 31, 2017",3.169
"Sept. 30, 2017",3.028
"June 30, 2017",3.167
"March 31, 2017",3.102
"Dec. 31, 2016",2.982
"Sept. 30, 2016",3.147
"June 30, 2016",3.133
"March 31, 2016",3.272
"Dec. 31, 2015",3.608
"Sept. 30, 2015",3.498
"June 30, 2015",3.487
"March 31, 2015",3.533
"Dec. 31, 2014",3.498
"Sept. 30, 2014",3.779
"June 30, 2014",3.838
"March 31, 2014",3.558
"Dec. 31, 2013",3.538
"Sept. 30, 2013",3.202
"June 30, 2013",2.814
"March 31, 2013",3.130
"Dec. 31, 2012",2.913
"Sept. 30, 2012",3.302
"June 30, 2012",3.621
"March 31, 2012",3.678
"Dec. 31, 2011",4.124
"Sept. 30, 2011",4.568
"June 30, 2011",4.994
"March 31, 2011",4.008
"Dec. 31, 2010",3.946
"Sept. 30, 2010",3.491
"June 30, 2010",2.761
"March 31, 2010",3.544
"Dec. 31, 2009",3.438
"Sept. 30, 2009",3.945
"June 30, 2009",4.005
"March 31, 2009",4.034
"Dec. 31, 2008",4.308
"Sept. 30, 2008",4.649
"June 30, 2008",7.910
"March 31, 2008",15.20
