date,ni_per_employee_annual
"Dec. 31, 2019",127318.4
"Dec. 31, 2018",90154.37
"Dec. 31, 2017",105741.6
"Dec. 31, 2016",74224.81
"Dec. 31, 2015",97893.35
"Dec. 31, 2014",66901.16
"Dec. 31, 2013",95463.26
"Dec. 31, 2012",76646.29
"Dec. 31, 2011",92997.90
"Dec. 31, 2010",71120.69
"Dec. 31, 2009",58218.25
"Dec. 31, 2008",75561.72
"Dec. 31, 2007",69124.42
"Dec. 31, 2006",81000.00
"Dec. 31, 2005",87064.44
"Dec. 31, 2004",65783.66
"Dec. 31, 2003",-57685.59
"Dec. 31, 2002",44956.52
"Dec. 31, 2001",80765.96
"Dec. 31, 2000",80727.27
"Dec. 31, 1999",70093.02
"Dec. 31, 1998",55644.44
"Dec. 31, 1997",47851.50
"Dec. 31, 1996",63575.06
"Dec. 31, 1995",59585.05
"Dec. 31, 1994",36171.66
"Dec. 31, 1993",34567.63
"Dec. 31, 1992",28106.76
"Dec. 31, 1991",30864.43
"Dec. 31, 1990",27417.22
