date,liabilities
"Dec. 31, 2019",110.89B
"Sept. 30, 2019",108.51B
"June 30, 2019",108.12B
"March 31, 2019",106.09B
"Dec. 31, 2018",101.56B
"Sept. 30, 2018",100.15B
"June 30, 2018",97.74B
"March 31, 2018",96.74B
"Dec. 31, 2017",96.18B
"Sept. 30, 2017",94.68B
"June 30, 2017",93.71B
"March 31, 2017",92.92B
"Dec. 31, 2016",91.72B
"Sept. 30, 2016",89.14B
"June 30, 2016",82.71B
"March 31, 2016",81.77B
"Dec. 31, 2015",81.38B
"Sept. 30, 2015",81.16B
"June 30, 2015",78.96B
"March 31, 2015",81.06B
"Dec. 31, 2014",79.66B
"Sept. 30, 2014",78.20B
"June 30, 2014",74.29B
"March 31, 2014",73.00B
"Dec. 31, 2013",73.37B
"Sept. 30, 2013",73.35B
"June 30, 2013",73.90B
"March 31, 2013",72.64B
"Dec. 31, 2012",72.82B
"Sept. 30, 2012",71.01B
"June 30, 2012",40.52B
"March 31, 2012",38.92B
"Dec. 31, 2011",39.66B
"Sept. 30, 2011",37.88B
"June 30, 2011",37.09B
"March 31, 2011",36.13B
"Dec. 31, 2010",36.44B
"June 30, 2010",35.14B
"March 31, 2010",35.58B
"Dec. 31, 2009",35.15B
"Sept. 30, 2009",34.03B
"June 30, 2009",33.35B
"March 31, 2009",32.20B
"Dec. 31, 2008",31.93B
"Sept. 30, 2008",31.26B
"June 30, 2008",30.11B
"March 31, 2008",28.05B
"Dec. 31, 2007",28.31B
"Sept. 30, 2007",27.76B
"June 30, 2007",27.84B
"March 31, 2007",27.39B
"Dec. 31, 2006",41.79B
"Sept. 30, 2006",42.98B
"June 30, 2006",43.95B
"March 31, 2006",34.14B
"Dec. 31, 2005",37.54B
"Sept. 30, 2005",36.64B
"June 30, 2005",37.66B
"March 31, 2005",37.39B
"Dec. 31, 2004",37.71B
"Sept. 30, 2004",37.73B
"June 30, 2004",38.46B
"March 31, 2004",39.52B
"Dec. 31, 2003",41.64B
"Sept. 30, 2003",42.27B
"June 30, 2003",46.43B
"March 31, 2003",46.17B
"Dec. 31, 2002",43.12B
"Sept. 30, 2002",45.25B
"June 30, 2002",45.67B
"March 31, 2002",43.37B
"Dec. 31, 2001",31.96B
"Sept. 30, 2001",35.19B
"June 30, 2001",35.42B
"March 31, 2001",36.68B
"Dec. 31, 2000",44.09B
"Sept. 30, 2000",37.78B
"June 30, 2000",32.29B
"March 31, 2000",24.50B
"Dec. 31, 1999",21.53B
"Sept. 30, 1999",20.15B
"June 30, 1999",18.93B
"March 31, 1999",18.31B
"Dec. 31, 1998",17.17B
"Sept. 30, 1998",16.65B
"June 30, 1998",16.73B
"March 31, 1998",15.48B
"Dec. 31, 1997",15.49B
"Sept. 30, 1997",15.38B
"June 30, 1997",14.06B
"March 31, 1997",7.846B
"Dec. 31, 1996",14.26B
"Sept. 30, 1996",7.791B
"June 30, 1996",7.716B
"March 31, 1996",7.732B
"Dec. 31, 1995",7.889B
"Sept. 30, 1995",7.683B
"June 30, 1995",7.610B
"March 31, 1995",7.583B
"Dec. 31, 1994",7.550B
"Sept. 30, 1994",7.286B
"June 30, 1994",7.252B
"March 31, 1994",7.042B
