date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",34.87
"Sept. 30, 2019",34.55
"June 30, 2019",34.25
"March 31, 2019",34.00
"Dec. 31, 2018",33.72
"Sept. 30, 2018",33.23
"June 30, 2018",32.46
"March 31, 2018",31.95
"Dec. 31, 2017",31.92
"Sept. 30, 2017",31.73
"June 30, 2017",31.23
"March 31, 2017",31.08
"Dec. 31, 2016",30.87
"Sept. 30, 2016",35.03
"June 30, 2016",34.17
"March 31, 2016",34.17
"Dec. 31, 2015",34.38
"Sept. 30, 2015",34.19
"June 30, 2015",33.80
"March 31, 2015",34.92
"Dec. 31, 2014",34.73
"Sept. 30, 2014",35.48
"June 30, 2014",34.60
"March 31, 2014",34.47
"Dec. 31, 2013",35.40
"Sept. 30, 2013",34.66
"June 30, 2013",33.20
"March 31, 2013",34.31
"Dec. 31, 2012",34.80
"Sept. 30, 2012",34.61
"June 30, 2012",40.85
"March 31, 2012",41.64
"Dec. 31, 2011",41.68
"Sept. 30, 2011",41.84
"June 30, 2011",41.10
"March 31, 2011",41.49
"Dec. 31, 2010",41.08
"Sept. 30, 2010",
"June 30, 2010",38.18
"March 31, 2010",38.86
"Dec. 31, 2009",38.52
"Sept. 30, 2009",38.26
"June 30, 2009",36.78
"March 31, 2009",36.95
"Dec. 31, 2008",36.50
"Sept. 30, 2008",37.83
"June 30, 2008",37.84
"March 31, 2008",38.09
"Dec. 31, 2007",37.62
"Sept. 30, 2007",37.27
"June 30, 2007",35.61
"March 31, 2007",36.08
"Dec. 31, 2006",40.63
"Sept. 30, 2006",41.36
"June 30, 2006",39.73
"March 31, 2006",41.33
"Dec. 31, 2005",40.94
"Sept. 30, 2005",39.33
"June 30, 2005",39.43
"March 31, 2005",39.90
"Dec. 31, 2004",38.54
"Sept. 30, 2004",36.10
"June 30, 2004",34.22
"March 31, 2004",32.97
"Dec. 31, 2003",32.23
"Sept. 30, 2003",39.90
"June 30, 2003",40.09
"March 31, 2003",38.51
"Dec. 31, 2002",37.53
"Sept. 30, 2002",36.56
"June 30, 2002",38.81
"March 31, 2002",39.01
"Dec. 31, 2001",42.31
"Sept. 30, 2001",42.05
"June 30, 2001",40.63
"March 31, 2001",33.82
"Dec. 31, 2000",34.33
"Sept. 30, 2000",35.54
"June 30, 2000",33.14
"March 31, 2000",33.43
"Dec. 31, 1999",33.36
"Sept. 30, 1999",35.25
"June 30, 1999",33.88
"March 31, 1999",34.31
"Dec. 31, 1998",31.59
"Sept. 30, 1998",31.27
"June 30, 1998",29.40
"March 31, 1998",29.76
"Dec. 31, 1997",29.30
"Sept. 30, 1997",29.64
"June 30, 1997",29.24
"March 31, 1997",36.80
"Dec. 31, 1996",52.97
"Sept. 30, 1996",36.39
"June 30, 1996",36.27
"March 31, 1996",35.59
"Dec. 31, 1995",35.04
"Sept. 30, 1995",35.22
"June 30, 1995",34.01
"March 31, 1995",33.83
"Dec. 31, 1994",33.19
"Sept. 30, 1994",33.33
"June 30, 1994",32.37
"March 31, 1994",32.24
