date,assets
"Dec. 31, 2019",158.84B
"Sept. 30, 2019",155.92B
"June 30, 2019",153.45B
"March 31, 2019",151.14B
"Dec. 31, 2018",145.39B
"Sept. 30, 2018",143.16B
"June 30, 2018",140.26B
"March 31, 2018",138.54B
"Dec. 31, 2017",137.91B
"Sept. 30, 2017",136.32B
"June 30, 2017",135.00B
"March 31, 2017",134.11B
"Dec. 31, 2016",132.76B
"Sept. 30, 2016",129.69B
"June 30, 2016",122.65B
"March 31, 2016",121.71B
"Dec. 31, 2015",121.16B
"Sept. 30, 2015",121.03B
"June 30, 2015",118.58B
"March 31, 2015",122.14B
"Dec. 31, 2014",120.56B
"Sept. 30, 2014",119.66B
"June 30, 2014",115.17B
"March 31, 2014",113.79B
"Dec. 31, 2013",114.78B
"Sept. 30, 2013",114.59B
"June 30, 2013",114.10B
"March 31, 2013",113.67B
"Dec. 31, 2012",113.86B
"Sept. 30, 2012",112.01B
"June 30, 2012",63.03B
"March 31, 2012",61.80B
"Dec. 31, 2011",62.53B
"Sept. 30, 2011",60.78B
"June 30, 2011",59.79B
"March 31, 2011",58.99B
"Dec. 31, 2010",59.09B
"June 30, 2010",56.40B
"March 31, 2010",57.63B
"Dec. 31, 2009",57.04B
"Sept. 30, 2009",55.77B
"June 30, 2009",54.71B
"March 31, 2009",53.58B
"Dec. 31, 2008",53.08B
"Sept. 30, 2008",52.77B
"June 30, 2008",51.60B
"March 31, 2008",49.65B
"Dec. 31, 2007",49.69B
"Sept. 30, 2007",49.03B
"June 30, 2007",48.45B
"March 31, 2007",48.23B
"Dec. 31, 2006",68.70B
"Sept. 30, 2006",70.28B
"June 30, 2006",70.37B
"March 31, 2006",51.42B
"Dec. 31, 2005",54.72B
"Sept. 30, 2005",53.33B
"June 30, 2005",56.00B
"March 31, 2005",55.91B
"Dec. 31, 2004",55.77B
"Sept. 30, 2004",54.74B
"June 30, 2004",54.83B
"March 31, 2004",55.35B
"Dec. 31, 2003",57.22B
"Sept. 30, 2003",60.05B
"June 30, 2003",64.18B
"March 31, 2003",63.24B
"Dec. 31, 2002",60.12B
"Sept. 30, 2002",62.85B
"June 30, 2002",65.19B
"March 31, 2002",62.55B
"Dec. 31, 2001",48.53B
"Sept. 30, 2001",50.46B
"June 30, 2001",50.22B
"March 31, 2001",50.96B
"Dec. 31, 2000",58.23B
"Sept. 30, 2000",49.82B
"June 30, 2000",44.44B
"March 31, 2000",36.48B
"Dec. 31, 1999",33.41B
"Sept. 30, 1999",32.35B
"June 30, 1999",29.56B
"March 31, 1999",28.71B
"Dec. 31, 1998",26.81B
"Sept. 30, 1998",26.18B
"June 30, 1998",25.43B
"March 31, 1998",23.97B
"Dec. 31, 1997",24.03B
"Sept. 30, 1997",23.78B
"June 30, 1997",22.31B
"March 31, 1997",13.48B
"Dec. 31, 1996",22.37B
"Sept. 30, 1996",13.36B
"June 30, 1996",13.30B
"March 31, 1996",13.28B
"Dec. 31, 1995",13.36B
"Sept. 30, 1995",13.18B
"June 30, 1995",13.03B
"March 31, 1995",12.98B
"Dec. 31, 1994",12.86B
"Sept. 30, 1994",12.62B
"June 30, 1994",12.45B
"March 31, 1994",12.22B
