date,sales_est_0y
"March 14, 2020",26.06B
"March 12, 2020",26.06B
"March 9, 2020",26.06B
"March 6, 2020",26.06B
"March 2, 2020",26.06B
"March 1, 2020",26.43B
"Feb. 24, 2020",26.43B
"Feb. 21, 2020",26.45B
"Feb. 20, 2020",26.39B
"Feb. 18, 2020",26.44B
"Feb. 14, 2020",26.30B
"Feb. 13, 2020",26.27B
"Feb. 11, 2020",25.96B
"Feb. 10, 2020",25.96B
"Jan. 22, 2020",25.96B
"Jan. 21, 2020",25.95B
"Jan. 17, 2020",25.95B
"Jan. 15, 2020",25.95B
"Jan. 13, 2020",25.95B
"Jan. 8, 2020",25.95B
"Jan. 7, 2020",25.95B
"Dec. 31, 2019",25.53B
"Dec. 30, 2019",25.47B
"Dec. 11, 2019",25.46B
"Nov. 22, 2019",25.45B
"Nov. 21, 2019",25.44B
"Nov. 20, 2019",25.43B
"Nov. 19, 2019",25.38B
"Nov. 18, 2019",25.20B
"Nov. 11, 2019",25.13B
"Nov. 9, 2019",24.93B
"Nov. 8, 2019",25.24B
"Nov. 6, 2019",25.42B
"Oct. 21, 2019",25.40B
"Oct. 17, 2019",25.40B
"Oct. 14, 2019",25.39B
"Oct. 11, 2019",25.39B
"Oct. 4, 2019",25.39B
"Oct. 2, 2019",25.39B
"Sept. 17, 2019",25.39B
"Sept. 9, 2019",25.39B
"Sept. 6, 2019",25.38B
"Aug. 21, 2019",25.38B
"Aug. 16, 2019",25.47B
"Aug. 12, 2019",25.47B
"Aug. 9, 2019",25.26B
"Aug. 7, 2019",25.25B
"Aug. 6, 2019",25.33B
"July 23, 2019",25.22B
"July 22, 2019",25.29B
"July 18, 2019",25.29B
"July 16, 2019",25.37B
"July 15, 2019",25.41B
"July 12, 2019",25.40B
"June 20, 2019",25.34B
"June 4, 2019",25.28B
"June 3, 2019",25.23B
"May 31, 2019",25.23B
"May 20, 2019",25.23B
"May 16, 2019",25.23B
"May 15, 2019",25.23B
"May 13, 2019",25.25B
"May 10, 2019",25.02B
"May 9, 2019",24.96B
"April 29, 2019",25.29B
"April 22, 2019",25.24B
"April 19, 2019",25.18B
"April 18, 2019",25.33B
"April 17, 2019",25.29B
"April 15, 2019",25.29B
"April 12, 2019",25.30B
"April 8, 2019",25.30B
"March 16, 2019",25.30B
"March 11, 2019",25.38B
"March 8, 2019",25.39B
"March 4, 2019",25.36B
"Feb. 20, 2019",25.37B
"Feb. 19, 2019",25.37B
"Feb. 15, 2019",25.30B
"Feb. 14, 2019",25.18B
"Jan. 29, 2019",25.04B
"Jan. 23, 2019",25.04B
"Jan. 22, 2019",25.04B
"Jan. 18, 2019",25.05B
"Jan. 14, 2019",25.05B
"Jan. 11, 2019",25.04B
"Jan. 9, 2019",25.02B
"Jan. 7, 2019",25.02B
"Jan. 4, 2019",25.16B
"Dec. 31, 2018",24.27B
"Dec. 4, 2018",24.27B
"Nov. 8, 2018",24.28B
"Nov. 7, 2018",24.28B
"Nov. 6, 2018",24.25B
"Nov. 5, 2018",24.21B
"Nov. 4, 2018",23.90B
"Nov. 3, 2018",23.72B
"Nov. 2, 2018",23.84B
"Oct. 17, 2018",24.12B
"Oct. 12, 2018",24.12B
"Oct. 11, 2018",24.12B
"Oct. 9, 2018",24.12B
"Sept. 10, 2018",24.11B
"Aug. 27, 2018",24.14B
"Aug. 8, 2018",24.09B
"Aug. 6, 2018",24.10B
"Aug. 3, 2018",24.10B
"Aug. 2, 2018",24.16B
"July 23, 2018",24.16B
"July 16, 2018",24.14B
"July 13, 2018",24.11B
"July 11, 2018",24.09B
"June 25, 2018",24.09B
"June 22, 2018",24.09B
"June 20, 2018",24.09B
"May 29, 2018",24.09B
"May 18, 2018",24.09B
"May 16, 2018",24.07B
"May 15, 2018",24.07B
"May 14, 2018",23.98B
"May 12, 2018",24.09B
"May 11, 2018",24.13B
"May 10, 2018",24.19B
"April 27, 2018",24.10B
"April 19, 2018",24.05B
"April 18, 2018",24.02B
"April 13, 2018",24.09B
"April 10, 2018",24.07B
"March 28, 2018",24.07B
"March 27, 2018",24.07B
"March 14, 2018",24.07B
"March 9, 2018",24.09B
"March 8, 2018",24.08B
"March 7, 2018",24.18B
"March 6, 2018",24.05B
"Feb. 27, 2018",24.18B
"Feb. 26, 2018",24.39B
"Feb. 23, 2018",24.39B
"Feb. 22, 2018",24.39B
"Feb. 21, 2018",24.38B
"Feb. 20, 2018",24.72B
"Feb. 14, 2018",24.61B
"Feb. 2, 2018",24.67B
"Feb. 1, 2018",24.71B
"Jan. 23, 2018",25.18B
"Jan. 18, 2018",25.12B
"Jan. 17, 2018",25.25B
"Jan. 11, 2018",25.28B
"Jan. 10, 2018",25.29B
"Jan. 9, 2018",25.30B
"Jan. 2, 2018",25.30B
