date,free_cash_flow
"Dec. 31, 2019",-466.00M
"Sept. 30, 2019",-38.00M
"June 30, 2019",-1.112B
"March 31, 2019",-1.297B
"Dec. 31, 2018",-1.118B
"Sept. 30, 2018",-12.00M
"June 30, 2018",-377.00M
"March 31, 2018",-696.00M
"Dec. 31, 2017",-565.00M
"Sept. 30, 2017",268.00M
"June 30, 2017",-217.00M
"March 31, 2017",-914.00M
"Dec. 31, 2016",-1.397B
"Sept. 30, 2016",527.00M
"June 30, 2016",-205.00M
"March 31, 2016",37.00M
"Dec. 31, 2015",-820.00M
"Sept. 30, 2015",937.00M
"June 30, 2015",-212.00M
"March 31, 2015",29.00M
"Dec. 31, 2014",-210.00M
"Sept. 30, 2014",1.193B
"June 30, 2014",78.00M
"March 31, 2014",141.00M
"Dec. 31, 2013",-280.00M
"Sept. 30, 2013",1.008B
"June 30, 2013",412.00M
"March 31, 2013",-284.00M
"Dec. 31, 2012",-391.00M
"Sept. 30, 2012",384.00M
"June 30, 2012",-134.00M
"March 31, 2012",-116.00M
"Dec. 31, 2011",-728.00M
"Sept. 30, 2011",258.00M
"June 30, 2011",-176.00M
"March 31, 2011",-45.00M
"Dec. 31, 2010",-461.00M
"Sept. 30, 2010",379.00M
"June 30, 2010",-152.00M
"March 31, 2010",-58.00M
"Dec. 31, 2009",-388.00M
"Sept. 30, 2009",383.00M
"June 30, 2009",-241.00M
"March 31, 2009",-680.00M
"Dec. 31, 2008",-350.00M
"Sept. 30, 2008",-300.00M
"June 30, 2008",-406.00M
"March 31, 2008",-64.00M
"Dec. 31, 2007",-167.00M
"Sept. 30, 2007",405.00M
"June 30, 2007",-268.00M
"March 31, 2007",113.00M
"Dec. 31, 2006",-61.00M
"Sept. 30, 2006",377.00M
"June 30, 2006",-120.00M
"March 31, 2006",171.00M
"Dec. 31, 2005",-351.00M
"Sept. 30, 2005",-121.00M
"June 30, 2005",597.00M
"March 31, 2005",369.00M
"Dec. 31, 2004",330.00M
"Sept. 30, 2004",460.00M
"June 30, 2004",809.00M
"March 31, 2004",447.00M
"Dec. 31, 2003",549.00M
"Sept. 30, 2003",139.00M
"June 30, 2003",-288.00M
"March 31, 2003",699.00M
"Dec. 31, 2002",744.00M
"Sept. 30, 2002",633.00M
"June 30, 2002",-1.30B
"March 31, 2002",-454.00M
"Dec. 31, 2001",-1.447B
"Sept. 30, 2001",27.00M
"June 30, 2001",551.00M
"March 31, 2001",-704.00M
"Dec. 31, 2000",467.00M
"Sept. 30, 2000",-597.00M
"June 30, 2000",-753.00M
"March 31, 2000",-1.46B
"Dec. 31, 1999",-566.00M
"Sept. 30, 1999",-969.00M
"June 30, 1999",-129.00M
"March 31, 1999",-1.539B
"Dec. 31, 1998",18.20M
"Sept. 30, 1998",-238.20M
"June 30, 1998",170.00M
"March 31, 1998",260.00M
"Dec. 31, 1997",168.20M
"Sept. 30, 1997",330.80M
"June 30, 1997",-82.30M
"March 31, 1997",400.20M
"Dec. 31, 1996",134.70M
"Sept. 30, 1996",340.70M
"June 30, 1996",194.30M
"March 31, 1996",271.60M
"Dec. 31, 1995",103.70M
"Sept. 30, 1995",317.70M
"June 30, 1995",78.50M
"March 31, 1995",98.50M
"Dec. 31, 1994",-39.00M
"Sept. 30, 1994",240.90M
"June 30, 1994",-34.90M
"March 31, 1994",96.20M
