date,return_on_assets
"Dec. 31, 2019",2.45%
"Sept. 30, 2019",2.36%
"June 30, 2019",2.23%
"March 31, 2019",2.05%
"Dec. 31, 2018",1.89%
"Sept. 30, 2018",2.09%
"June 30, 2018",2.02%
"March 31, 2018",2.17%
"Dec. 31, 2017",2.26%
"Sept. 30, 2017",1.59%
"June 30, 2017",1.80%
"March 31, 2017",1.70%
"Dec. 31, 2016",1.71%
"Sept. 30, 2016",2.32%
"June 30, 2016",2.16%
"March 31, 2016",2.19%
"Dec. 31, 2015",2.33%
"Sept. 30, 2015",2.02%
"June 30, 2015",2.33%
"March 31, 2015",2.40%
"Dec. 31, 2014",1.61%
"Sept. 30, 2014",2.14%
"June 30, 2014",1.93%
"March 31, 2014",1.69%
"Dec. 31, 2013",2.33%
"Sept. 30, 2013",2.12%
"June 30, 2013",1.94%
"March 31, 2013",2.27%
"Dec. 31, 2012",2.14%
"Sept. 30, 2012",2.25%
"June 30, 2012",2.43%
"March 31, 2012",2.45%
"Dec. 31, 2011",2.83%
"Sept. 30, 2011",3.09%
"June 30, 2011",3.49%
"March 31, 2011",2.39%
"Dec. 31, 2010",2.29%
"Sept. 30, 2010",2.18%
"June 30, 2010",1.20%
"March 31, 2010",2.11%
"Dec. 31, 2009",1.96%
"Sept. 30, 2009",1.96%
"June 30, 2009",2.19%
"March 31, 2009",2.38%
"Dec. 31, 2008",2.65%
"Sept. 30, 2008",2.52%
"June 30, 2008",3.35%
"March 31, 2008",3.28%
"Dec. 31, 2007",2.84%
"Sept. 30, 2007",2.89%
"June 30, 2007",2.94%
"March 31, 2007",3.01%
"Dec. 31, 2006",2.95%
"Sept. 30, 2006",3.47%
"June 30, 2006",2.38%
"March 31, 2006",2.42%
"Dec. 31, 2005",3.31%
"Sept. 30, 2005",2.86%
"June 30, 2005",3.47%
"March 31, 2005",3.70%
"Dec. 31, 2004",2.68%
"Sept. 30, 2004",-1.57%
"June 30, 2004",-2.10%
"March 31, 2004",-2.06%
"Dec. 31, 2003",-2.17%
"Sept. 30, 2003",1.04%
"June 30, 2003",1.31%
"March 31, 2003",1.40%
"Dec. 31, 2002",1.73%
"Sept. 30, 2002",2.26%
"June 30, 2002",3.39%
"March 31, 2002",3.47%
"Dec. 31, 2001",3.67%
"Sept. 30, 2001",3.77%
"June 30, 2001",3.81%
"March 31, 2001",3.84%
"Dec. 31, 2000",3.99%
"Sept. 30, 2000",3.32%
"June 30, 2000",2.76%
"March 31, 2000",2.91%
"Dec. 31, 1999",5.00%
"Sept. 30, 1999",6.68%
"June 30, 1999",6.98%
"March 31, 1999",7.24%
"Dec. 31, 1998",4.95%
"Sept. 30, 1998",4.91%
"June 30, 1998",4.58%
"March 31, 1998",4.57%
"Dec. 31, 1997",4.60%
"Sept. 30, 1997",5.33%
"June 30, 1997",6.24%
"March 31, 1997",7.43%
"Dec. 31, 1996",6.65%
"Sept. 30, 1996",8.83%
"June 30, 1996",8.37%
"March 31, 1996",7.66%
"Dec. 31, 1995",7.78%
"Sept. 30, 1995",5.55%
"June 30, 1995",5.29%
"March 31, 1995",5.28%
"Dec. 31, 1994",5.10%
"Sept. 30, 1994",5.36%
