date,one_year_return
"March 19, 2020",-15.79%
"March 18, 2020",-11.97%
"March 17, 2020",-5.13%
"March 16, 2020",-15.52%
"March 13, 2020",-5.29%
"March 12, 2020",-11.08%
"March 11, 2020",0.64%
"March 10, 2020",5.38%
"March 9, 2020",4.86%
"March 6, 2020",10.58%
"March 5, 2020",11.84%
"March 4, 2020",13.10%
"March 3, 2020",6.79%
"March 2, 2020",7.98%
"Feb. 28, 2020",2.28%
"Feb. 27, 2020",6.40%
"Feb. 26, 2020",11.32%
"Feb. 25, 2020",10.94%
"Feb. 24, 2020",13.78%
"Feb. 21, 2020",14.33%
"Feb. 20, 2020",14.16%
"Feb. 19, 2020",15.33%
"Feb. 18, 2020",16.58%
"Feb. 14, 2020",15.33%
"Feb. 13, 2020",11.74%
"Feb. 12, 2020",8.52%
"Feb. 11, 2020",7.56%
"Feb. 10, 2020",6.57%
"Feb. 7, 2020",7.59%
"Feb. 6, 2020",9.57%
"Feb. 5, 2020",9.76%
"Feb. 4, 2020",10.00%
"Feb. 3, 2020",11.27%
"Jan. 31, 2020",11.22%
"Jan. 30, 2020",13.27%
"Jan. 29, 2020",12.99%
"Jan. 28, 2020",12.33%
"Jan. 27, 2020",11.94%
"Jan. 24, 2020",11.05%
"Jan. 23, 2020",11.55%
"Jan. 22, 2020",11.33%
"Jan. 21, 2020",10.74%
"Jan. 17, 2020",9.43%
"Jan. 16, 2020",9.28%
"Jan. 15, 2020",8.63%
"Jan. 14, 2020",9.13%
"Jan. 13, 2020",7.84%
"Jan. 10, 2020",6.06%
"Jan. 9, 2020",6.85%
"Jan. 8, 2020",5.02%
"Jan. 7, 2020",6.19%
"Jan. 6, 2020",6.41%
"Jan. 3, 2020",6.77%
"Jan. 2, 2020",6.66%
"Dec. 31, 2019",5.69%
"Dec. 30, 2019",5.42%
"Dec. 27, 2019",5.83%
"Dec. 26, 2019",6.03%
"Dec. 24, 2019",7.53%
"Dec. 23, 2019",2.83%
"Dec. 20, 2019",2.81%
"Dec. 19, 2019",3.12%
"Dec. 18, 2019",3.37%
"Dec. 17, 2019",2.79%
"Dec. 16, 2019",-0.29%
"Dec. 13, 2019",-0.88%
"Dec. 12, 2019",-0.04%
"Dec. 11, 2019",-1.97%
"Dec. 10, 2019",-1.61%
"Dec. 9, 2019",-0.79%
"Dec. 6, 2019",-0.08%
"Dec. 5, 2019",-0.84%
"Dec. 4, 2019",-1.22%
"Dec. 3, 2019",-1.96%
"Dec. 2, 2019",-1.45%
"Nov. 29, 2019",0.65%
"Nov. 27, 2019",0.83%
"Nov. 26, 2019",1.40%
"Nov. 25, 2019",0.98%
"Nov. 22, 2019",0.80%
"Nov. 21, 2019",0.24%
"Nov. 20, 2019",-1.57%
"Nov. 19, 2019",-0.70%
"Nov. 18, 2019",2.27%
"Nov. 15, 2019",2.83%
"Nov. 14, 2019",2.12%
"Nov. 13, 2019",2.52%
"Nov. 12, 2019",1.94%
"Nov. 11, 2019",2.36%
"Nov. 8, 2019",6.66%
"Nov. 7, 2019",9.30%
"Nov. 6, 2019",10.71%
"Nov. 5, 2019",11.45%
"Nov. 4, 2019",13.38%
"Nov. 1, 2019",15.58%
"Oct. 31, 2019",14.07%
"Oct. 30, 2019",12.14%
"Oct. 29, 2019",12.07%
"Oct. 28, 2019",14.91%
"Oct. 25, 2019",14.10%
"Oct. 24, 2019",13.36%
"Oct. 23, 2019",16.85%
"Oct. 22, 2019",15.34%
"Oct. 21, 2019",15.20%
"Oct. 18, 2019",17.34%
"Oct. 17, 2019",17.83%
"Oct. 16, 2019",17.53%
"Oct. 15, 2019",18.56%
"Oct. 14, 2019",18.93%
"Oct. 11, 2019",19.99%
"Oct. 10, 2019",17.60%
"Oct. 9, 2019",16.75%
"Oct. 8, 2019",16.98%
"Oct. 7, 2019",19.07%
"Oct. 4, 2019",21.55%
"Oct. 3, 2019",20.09%
"Oct. 2, 2019",17.77%
"Oct. 1, 2019",20.92%
"Sept. 30, 2019",19.80%
"Sept. 27, 2019",21.94%
"Sept. 26, 2019",23.19%
"Sept. 25, 2019",21.81%
"Sept. 24, 2019",20.94%
"Sept. 23, 2019",19.52%
"Sept. 20, 2019",18.17%
"Sept. 19, 2019",17.98%
"Sept. 18, 2019",15.06%
"Sept. 17, 2019",14.36%
"Sept. 16, 2019",13.98%
"Sept. 13, 2019",14.30%
"Sept. 12, 2019",17.39%
"Sept. 11, 2019",16.11%
"Sept. 10, 2019",14.13%
"Sept. 9, 2019",13.64%
"Sept. 6, 2019",12.33%
"Sept. 5, 2019",12.29%
"Sept. 4, 2019",15.41%
"Sept. 3, 2019",15.30%
"Aug. 30, 2019",14.04%
"Aug. 29, 2019",14.90%
"Aug. 28, 2019",14.87%
"Aug. 27, 2019",14.34%
"Aug. 26, 2019",12.21%
"Aug. 23, 2019",12.19%
"Aug. 22, 2019",12.98%
"Aug. 21, 2019",12.25%
"Aug. 20, 2019",11.45%
"Aug. 19, 2019",10.20%
"Aug. 16, 2019",9.76%
"Aug. 15, 2019",9.06%
"Aug. 14, 2019",9.34%
"Aug. 13, 2019",10.97%
"Aug. 12, 2019",10.64%
"Aug. 9, 2019",11.06%
"Aug. 8, 2019",11.04%
"Aug. 7, 2019",9.84%
"Aug. 6, 2019",9.62%
"Aug. 5, 2019",6.63%
"Aug. 2, 2019",9.53%
"Aug. 1, 2019",7.96%
"July 31, 2019",6.25%
"July 30, 2019",8.63%
"July 29, 2019",8.26%
"July 26, 2019",7.11%
"July 25, 2019",7.87%
"July 24, 2019",9.12%
"July 23, 2019",9.64%
"July 22, 2019",9.30%
"July 19, 2019",8.93%
"July 18, 2019",11.62%
"July 17, 2019",10.53%
"July 16, 2019",10.21%
"July 15, 2019",10.87%
"July 12, 2019",10.19%
"July 11, 2019",11.28%
"July 10, 2019",12.71%
"July 9, 2019",13.68%
"July 8, 2019",9.85%
"July 5, 2019",11.25%
"July 3, 2019",12.89%
"July 2, 2019",11.76%
"July 1, 2019",11.29%
"June 28, 2019",11.37%
"June 27, 2019",11.36%
"June 26, 2019",11.66%
"June 25, 2019",13.96%
