date,cash_operations_ttm
"Dec. 31, 2019",8.209B
"Sept. 30, 2019",7.156B
"June 30, 2019",6.94B
"March 31, 2019",7.034B
"Dec. 31, 2018",7.186B
"Sept. 30, 2018",7.313B
"June 30, 2018",7.126B
"March 31, 2018",6.769B
"Dec. 31, 2017",6.624B
"Sept. 30, 2017",6.23B
"June 30, 2017",6.438B
"March 31, 2017",6.427B
"Dec. 31, 2016",6.863B
"Sept. 30, 2016",6.915B
"June 30, 2016",7.046B
"March 31, 2016",6.942B
"Dec. 31, 2015",6.70B
"Sept. 30, 2015",6.815B
"June 30, 2015",6.846B
"March 31, 2015",6.653B
"Dec. 31, 2014",6.586B
"Sept. 30, 2014",6.559B
"June 30, 2014",6.158B
"March 31, 2014",6.664B
"Dec. 31, 2013",6.382B
"Sept. 30, 2013",6.255B
"June 30, 2013",6.085B
"March 31, 2013",5.463B
"Dec. 31, 2012",5.244B
"Sept. 30, 2012",4.624B
"June 30, 2012",3.957B
"March 31, 2012",3.583B
"Dec. 31, 2011",3.672B
"Sept. 30, 2011",3.877B
"June 30, 2011",4.104B
"March 31, 2011",4.351B
"Dec. 31, 2010",4.511B
"Sept. 30, 2010",4.582B
"June 30, 2010",4.57B
"March 31, 2010",4.394B
"Dec. 31, 2009",3.463B
"Sept. 30, 2009",3.393B
"June 30, 2009",2.65B
"March 31, 2009",2.506B
"Dec. 31, 2008",3.328B
"Sept. 30, 2008",3.22B
"June 30, 2008",3.471B
"March 31, 2008",3.304B
"Dec. 31, 2007",3.208B
"Sept. 30, 2007",3.50B
"June 30, 2007",3.736B
"March 31, 2007",3.933B
"Dec. 31, 2006",3.748B
"Sept. 30, 2006",3.027B
"June 30, 2006",2.237B
"March 31, 2006",2.675B
"Dec. 31, 2005",2.821B
"Sept. 30, 2005",3.253B
"June 30, 2005",3.864B
"March 31, 2005",4.045B
"Dec. 31, 2004",4.207B
"Sept. 30, 2004",4.312B
"June 30, 2004",3.888B
"March 31, 2004",2.876B
"Dec. 31, 2003",3.341B
"Sept. 30, 2003",3.772B
"June 30, 2003",4.825B
"March 31, 2003",5.231B
"Dec. 31, 2002",4.547B
"Sept. 30, 2002",3.699B
"June 30, 2002",3.692B
"March 31, 2002",5.158B
"Dec. 31, 2001",4.357B
"Sept. 30, 2001",4.261B
"June 30, 2001",3.74B
"March 31, 2001",2.056B
"Dec. 31, 2000",2.225B
"Sept. 30, 2000",2.824B
"June 30, 2000",2.307B
"March 31, 2000",2.374B
"Dec. 31, 1999",2.733B
"Sept. 30, 1999",2.371B
"June 30, 1999",2.488B
"March 31, 1999",2.367B
"Dec. 31, 1998",2.369B
"Sept. 30, 1998",2.381B
"June 30, 1998",2.267B
"March 31, 1998",2.032B
"Dec. 31, 1997",2.140B
"Sept. 30, 1997",2.107B
"June 30, 1997",2.236B
"March 31, 1997",2.512B
"Dec. 31, 1996",2.335B
"Sept. 30, 1996",2.053B
"June 30, 1996",1.733B
"March 31, 1996",1.479B
"Dec. 31, 1995",1.312B
"Sept. 30, 1995",1.220B
"June 30, 1995",1.173B
"March 31, 1995",1.079B
"Dec. 31, 1994",1.036B
