date,revenue_per_employee_annual
"Dec. 31, 2019",851926.1
"Dec. 31, 2018",829210.6
"Dec. 31, 2017",814580.5
"Dec. 31, 2016",784430.7
"Dec. 31, 2015",777688.9
"Dec. 31, 2014",799722.9
"Dec. 31, 2013",815145.2
"Dec. 31, 2012",776520.6
"Dec. 31, 2011",792008.5
"Dec. 31, 2010",768965.5
"Dec. 31, 2009",689466.6
"Dec. 31, 2008",732704.6
"Dec. 31, 2007",586175.1
"Dec. 31, 2006",461173.9
"Dec. 31, 2005",329642.0
"Dec. 31, 2004",907240.6
"Dec. 31, 2003",964192.1
"Dec. 31, 2002",689565.2
"Dec. 31, 2001",783617.0
"Dec. 31, 2000",697363.6
"Dec. 31, 1999",1.012M
"Dec. 31, 1998",784977.8
"Dec. 31, 1997",800913.4
"Dec. 31, 1996",706080.9
"Dec. 31, 1995",567389.5
"Dec. 31, 1994",254141.4
"Dec. 31, 1993",236294.9
"Dec. 31, 1992",219139.8
"Dec. 31, 1991",201866.9
"Dec. 31, 1990",187544.6
