date,gross_profit_margin
"Dec. 31, 2019",42.60%
"Sept. 30, 2019",49.42%
"June 30, 2019",46.35%
"March 31, 2019",45.56%
"Dec. 31, 2018",38.54%
"Sept. 30, 2018",46.09%
"June 30, 2018",43.17%
"March 31, 2018",43.72%
"Dec. 31, 2017",43.34%
"Sept. 30, 2017",47.44%
"June 30, 2017",44.95%
"March 31, 2017",44.58%
"Dec. 31, 2016",33.96%
"Sept. 30, 2016",46.82%
"June 30, 2016",44.73%
"March 31, 2016",43.22%
"Dec. 31, 2015",39.89%
"Sept. 30, 2015",44.15%
"June 30, 2015",41.19%
"March 31, 2015",40.94%
"Dec. 31, 2014",36.33%
"Sept. 30, 2014",41.89%
"June 30, 2014",41.00%
"March 31, 2014",40.91%
"Dec. 31, 2013",40.02%
"Sept. 30, 2013",42.69%
"June 30, 2013",37.54%
"March 31, 2013",37.57%
"Dec. 31, 2012",34.40%
"Sept. 30, 2012",34.54%
"June 30, 2012",39.92%
"March 31, 2012",42.89%
"Dec. 31, 2011",-45.58%
"Sept. 30, 2011",64.98%
"June 30, 2011",63.64%
"March 31, 2011",63.45%
"Dec. 31, 2010",-44.70%
"Sept. 30, 2010",65.51%
"June 30, 2010",66.02%
"March 31, 2010",64.19%
"Dec. 31, 2009",64.50%
"Sept. 30, 2009",66.49%
"June 30, 2009",66.25%
"March 31, 2009",63.19%
"Dec. 31, 2008",60.04%
"Sept. 30, 2008",59.78%
"June 30, 2008",65.13%
"March 31, 2008",63.11%
"Dec. 31, 2007",65.59%
"Sept. 30, 2007",63.96%
"June 30, 2007",64.57%
"March 31, 2007",64.42%
"Dec. 31, 2006",61.64%
"Sept. 30, 2006",64.50%
"June 30, 2006",62.69%
"March 31, 2006",76.05%
"Dec. 31, 2005",20.88%
"Sept. 30, 2005",73.45%
"June 30, 2005",43.02%
"March 31, 2005",41.84%
"Dec. 31, 2004",43.36%
"Sept. 30, 2004",44.68%
"June 30, 2004",40.50%
"March 31, 2004",36.96%
"Dec. 31, 2003",42.67%
"Sept. 30, 2003",37.93%
"June 30, 2003",41.13%
"March 31, 2003",34.54%
"Dec. 31, 2002",38.97%
"Sept. 30, 2002",55.10%
"June 30, 2002",60.66%
"March 31, 2002",60.19%
"Dec. 31, 2001",39.58%
"Sept. 30, 2001",66.95%
"June 30, 2001",14.60%
"March 31, 2001",15.10%
"Dec. 31, 2000",-9.79%
"Sept. 30, 2000",15.79%
"June 30, 2000",19.33%
"March 31, 2000",24.70%
"Dec. 31, 1999",28.24%
"Sept. 30, 1999",29.98%
"June 30, 1999",32.49%
"March 31, 1999",38.03%
"Dec. 31, 1998",38.75%
"Sept. 30, 1998",34.34%
"June 30, 1998",38.36%
"March 31, 1998",36.01%
"Dec. 31, 1997",32.59%
"Sept. 30, 1997",32.95%
"June 30, 1997",42.79%
"March 31, 1997",39.21%
"Dec. 31, 1996",39.01%
"Sept. 30, 1996",47.61%
"June 30, 1996",50.85%
"March 31, 1996",75.41%
"Dec. 31, 1995",44.31%
"Sept. 30, 1995",75.00%
"June 30, 1995",72.51%
"March 31, 1995",74.47%
"Dec. 31, 1994",72.42%
"Sept. 30, 1994",72.92%
"June 30, 1994",70.18%
"March 31, 1994",72.20%
