date,book_value_of_equity_per_share
"Dec. 31, 2019",61.20
"Sept. 30, 2019",61.04
"June 30, 2019",60.77
"March 31, 2019",60.52
"Dec. 31, 2018",60.27
"Sept. 30, 2018",60.30
"June 30, 2018",59.70
"March 31, 2018",59.62
"Dec. 31, 2017",59.63
"Sept. 30, 2017",59.47
"June 30, 2017",58.98
"March 31, 2017",58.84
"Dec. 31, 2016",58.62
"Sept. 30, 2016",58.77
"June 30, 2016",57.91
"March 31, 2016",57.91
"Dec. 31, 2015",57.74
"Sept. 30, 2015",57.90
"June 30, 2015",57.53
"March 31, 2015",57.98
"Dec. 31, 2014",57.81
"Sept. 30, 2014",58.57
"June 30, 2014",57.71
"March 31, 2014",57.58
"Dec. 31, 2013",58.54
"Sept. 30, 2013",58.31
"June 30, 2013",56.84
"March 31, 2013",58.01
"Dec. 31, 2012",58.04
"Sept. 30, 2012",58.10
"June 30, 2012",50.27
"March 31, 2012",51.08
"Dec. 31, 2011",51.13
"Sept. 30, 2011",51.34
"June 30, 2011",50.86
"March 31, 2011",51.24
"Dec. 31, 2010",50.84
"Sept. 30, 2010",
"June 30, 2010",48.09
"March 31, 2010",50.11
"Dec. 31, 2009",49.85
"Sept. 30, 2009",49.75
"June 30, 2009",49.21
"March 31, 2009",49.45
"Dec. 31, 2008",49.15
"Sept. 30, 2008",50.58
"June 30, 2008",50.52
"March 31, 2008",50.79
"Dec. 31, 2007",50.36
"Sept. 30, 2007",50.13
"June 30, 2007",48.61
"March 31, 2007",49.15
"Dec. 31, 2006",62.30
"Sept. 30, 2006",63.34
"June 30, 2006",61.51
"March 31, 2006",53.57
"Dec. 31, 2005",53.14
"Sept. 30, 2005",51.56
"June 30, 2005",52.72
"March 31, 2005",53.29
"Dec. 31, 2004",51.54
"Sept. 30, 2004",48.90
"June 30, 2004",46.55
"March 31, 2004",45.88
"Dec. 31, 2003",45.27
"Sept. 30, 2003",52.70
"June 30, 2003",52.65
"March 31, 2003",50.94
"Dec. 31, 2002",50.09
"Sept. 30, 2002",50.70
"June 30, 2002",53.68
"March 31, 2002",53.80
"Dec. 31, 2001",48.99
"Sept. 30, 2001",48.33
"June 30, 2001",46.81
"March 31, 2001",39.72
"Dec. 31, 2000",40.66
"Sept. 30, 2000",40.40
"June 30, 2000",38.08
"March 31, 2000",37.78
"Dec. 31, 1999",36.81
"Sept. 30, 1999",38.24
"June 30, 1999",36.46
"March 31, 1999",36.95
"Dec. 31, 1998",33.63
"Sept. 30, 1998",33.36
"June 30, 1998",31.50
"March 31, 1998",31.91
"Dec. 31, 1997",31.40
"Sept. 30, 1997",31.67
"June 30, 1997",31.29
"March 31, 1997",36.80
"Dec. 31, 1996",54.62
"Sept. 30, 1996",36.39
"June 30, 1996",36.27
"March 31, 1996",35.59
"Dec. 31, 1995",35.04
"Sept. 30, 1995",35.22
"June 30, 1995",34.01
"March 31, 1995",33.83
"Dec. 31, 1994",33.19
"Sept. 30, 1994",33.33
"June 30, 1994",32.37
"March 31, 1994",32.24
