date,days_payables_outstanding
"Dec. 31, 2019",80.90
"Sept. 30, 2019",72.64
"June 30, 2019",71.16
"March 31, 2019",81.50
"Dec. 31, 2018",82.83
"Sept. 30, 2018",76.39
"June 30, 2018",71.60
"March 31, 2018",73.96
"Dec. 31, 2017",79.34
"Sept. 30, 2017",66.61
"June 30, 2017",65.28
"March 31, 2017",78.54
"Dec. 31, 2016",60.75
"Sept. 30, 2016",61.74
"June 30, 2016",70.51
"March 31, 2016",66.84
"Dec. 31, 2015",73.36
"Sept. 30, 2015",49.45
"June 30, 2015",52.41
"March 31, 2015",54.08
"Dec. 31, 2014",64.13
"Sept. 30, 2014",42.35
"June 30, 2014",47.68
"March 31, 2014",58.18
"Dec. 31, 2013",54.52
"Sept. 30, 2013",48.49
"June 30, 2013",48.27
"March 31, 2013",56.84
"Dec. 31, 2012",71.11
"Sept. 30, 2012",24.68
"June 30, 2012",46.75
"March 31, 2012",50.60
"Dec. 31, 2011",22.61
"Sept. 30, 2011",74.26
"June 30, 2011",84.10
"March 31, 2011",89.78
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",106.81
"March 31, 2010",110.63
"Dec. 31, 2009",94.56
"Sept. 30, 2009",80.90
"June 30, 2009",89.23
"March 31, 2009",90.39
"Dec. 31, 2008",95.52
"Sept. 30, 2008",73.70
"June 30, 2008",97.61
"March 31, 2008",113.22
"Dec. 31, 2007",119.09
"Sept. 30, 2007",75.31
"June 30, 2007",90.40
"March 31, 2007",191.26
"Dec. 31, 2006",111.52
"Sept. 30, 2006",101.96
"June 30, 2006",85.57
"March 31, 2006",527.50
"Dec. 31, 2005",-31.96
"Sept. 30, 2005",221.90
"June 30, 2005",64.26
"March 31, 2005",74.12
"Dec. 31, 2004",59.50
"Sept. 30, 2004",61.31
"June 30, 2004",60.09
"March 31, 2004",56.62
"Dec. 31, 2003",79.78
"Sept. 30, 2003",97.71
"June 30, 2003",165.09
"March 31, 2003",120.77
"Dec. 31, 2002",123.22
"Sept. 30, 2002",248.50
"June 30, 2002",298.96
"March 31, 2002",266.54
"Dec. 31, 2001",214.38
"Sept. 30, 2001",419.95
"June 30, 2001",50.25
"March 31, 2001",49.09
"Dec. 31, 2000",-34.91
"Sept. 30, 2000",45.20
"June 30, 2000",39.26
"March 31, 2000",42.85
"Dec. 31, 1999",49.47
"Sept. 30, 1999",41.71
"June 30, 1999",47.44
"March 31, 1999",58.68
"Dec. 31, 1998",59.89
"Sept. 30, 1998",37.15
"June 30, 1998",41.52
"March 31, 1998",43.24
"Dec. 31, 1997",43.00
"Sept. 30, 1997",35.73
"June 30, 1997",27.94
"March 31, 1997",30.49
"Dec. 31, 1996",28.85
"Sept. 30, 1996",12.76
"June 30, 1996",16.39
"March 31, 1996",92.26
"Dec. 31, 1995",7.875
"Sept. 30, 1995",71.13
"June 30, 1995",70.57
"March 31, 1995",84.76
"Dec. 31, 1994",101.22
"Sept. 30, 1994",81.57
"June 30, 1994",72.25
