date,shareholders_equity
"Dec. 31, 2019",46.82B
"Sept. 30, 2019",46.44B
"June 30, 2019",45.21B
"March 31, 2019",45.03B
"Dec. 31, 2018",43.82B
"Sept. 30, 2018",43.00B
"June 30, 2018",42.51B
"March 31, 2018",41.79B
"Dec. 31, 2017",41.74B
"Sept. 30, 2017",41.63B
"June 30, 2017",41.28B
"March 31, 2017",41.18B
"Dec. 31, 2016",41.03B
"Sept. 30, 2016",40.49B
"June 30, 2016",39.90B
"March 31, 2016",39.89B
"Dec. 31, 2015",39.73B
"Sept. 30, 2015",39.83B
"June 30, 2015",39.58B
"March 31, 2015",41.05B
"Dec. 31, 2014",40.88B
"Sept. 30, 2014",41.41B
"June 30, 2014",40.80B
"March 31, 2014",40.71B
"Dec. 31, 2013",41.33B
"Sept. 30, 2013",41.16B
"June 30, 2013",40.13B
"March 31, 2013",40.95B
"Dec. 31, 2012",40.96B
"Sept. 30, 2012",40.90B
"June 30, 2012",22.42B
"March 31, 2012",22.78B
"Dec. 31, 2011",22.77B
"Sept. 30, 2011",22.79B
"June 30, 2011",22.58B
"March 31, 2011",22.73B
"Dec. 31, 2010",22.52B
"June 30, 2010",21.13B
"March 31, 2010",21.91B
"Dec. 31, 2009",21.75B
"Sept. 30, 2009",21.61B
"June 30, 2009",21.23B
"March 31, 2009",21.21B
"Dec. 31, 2008",20.99B
"Sept. 30, 2008",21.33B
"June 30, 2008",21.30B
"March 31, 2008",21.41B
"Dec. 31, 2007",21.20B
"Sept. 30, 2007",21.07B
"June 30, 2007",20.42B
"March 31, 2007",20.63B
"Dec. 31, 2006",26.10B
"Sept. 30, 2006",26.50B
"June 30, 2006",25.67B
"March 31, 2006",16.55B
"Dec. 31, 2005",16.44B
"Sept. 30, 2005",16.05B
"June 30, 2005",16.42B
"March 31, 2005",16.62B
"Dec. 31, 2004",16.58B
"Sept. 30, 2004",15.42B
"June 30, 2004",14.69B
"March 31, 2004",14.11B
"Dec. 31, 2003",13.88B
"Sept. 30, 2003",16.07B
"June 30, 2003",15.86B
"March 31, 2003",15.44B
"Dec. 31, 2002",15.10B
"Sept. 30, 2002",14.29B
"June 30, 2002",15.12B
"March 31, 2002",15.10B
"Dec. 31, 2001",12.92B
"Sept. 30, 2001",12.75B
"June 30, 2001",12.34B
"March 31, 2001",10.45B
"Dec. 31, 2000",10.30B
"Sept. 30, 2000",10.20B
"June 30, 2000",9.625B
"March 31, 2000",9.523B
"Dec. 31, 1999",9.278B
"Sept. 30, 1999",9.598B
"June 30, 1999",9.184B
"March 31, 1999",9.28B
"Dec. 31, 1998",8.463B
"Sept. 30, 1998",8.358B
"June 30, 1998",7.912B
"March 31, 1998",7.997B
"Dec. 31, 1997",8.029B
"Sept. 30, 1997",8.278B
"June 30, 1997",8.186B
"March 31, 1997",5.629B
"Dec. 31, 1996",8.025B
"Sept. 30, 1996",5.574B
"June 30, 1996",5.587B
"March 31, 1996",5.545B
"Dec. 31, 1995",5.469B
"Sept. 30, 1995",5.494B
"June 30, 1995",5.423B
"March 31, 1995",5.399B
"Dec. 31, 1994",5.312B
"Sept. 30, 1994",5.332B
"June 30, 1994",5.201B
"March 31, 1994",5.182B
