date,ca_score
"Dec. 31, 2019",-1.147
"Sept. 30, 2019",-1.145
"June 30, 2019",-1.146
"March 31, 2019",-1.144
"Dec. 31, 2018",-1.142
"Sept. 30, 2018",-1.124
"June 30, 2018",-1.114
"March 31, 2018",-1.096
"Dec. 31, 2017",-1.080
"Sept. 30, 2017",-1.081
"June 30, 2017",-1.052
"March 31, 2017",-1.033
"Dec. 31, 2016",-1.018
"Sept. 30, 2016",-1.005
"June 30, 2016",-0.9883
"March 31, 2016",-0.9773
"Dec. 31, 2015",-0.9558
"Sept. 30, 2015",-0.9447
"June 30, 2015",-0.9199
"March 31, 2015",-0.8932
"Dec. 31, 2014",-0.8687
"Sept. 30, 2014",-0.8118
"June 30, 2014",-0.8041
"March 31, 2014",-0.8176
"Dec. 31, 2013",-0.8235
"Sept. 30, 2013",-0.8504
"June 30, 2013",-0.8463
"March 31, 2013",-0.8117
"Dec. 31, 2012",-0.8218
"Sept. 30, 2012",-0.776
"June 30, 2012",-0.7559
"March 31, 2012",-0.7291
"Dec. 31, 2011",-0.689
"Sept. 30, 2011",-0.651
"June 30, 2011",-0.6229
"March 31, 2011",-0.6743
"Dec. 31, 2010",-0.6833
"Sept. 30, 2010",-0.69
"June 30, 2010",-0.7355
"March 31, 2010",-0.6728
"Dec. 31, 2009",-0.6698
"Sept. 30, 2009",-0.6554
"June 30, 2009",-0.6284
"March 31, 2009",-0.577
"Dec. 31, 2008",-0.5299
"Sept. 30, 2008",-0.4994
"June 30, 2008",-0.4384
"March 31, 2008",-0.4401
"Dec. 31, 2007",-0.5512
"Sept. 30, 2007",-0.6494
"June 30, 2007",-0.7528
"March 31, 2007",-0.85
"Dec. 31, 2006",-0.9779
"Sept. 30, 2006",-1.193
"June 30, 2006",-1.257
"March 31, 2006",-1.268
"Dec. 31, 2005",-1.237
"Sept. 30, 2005",-1.025
"June 30, 2005",-1.046
"March 31, 2005",-1.079
"Dec. 31, 2004",-1.126
"Sept. 30, 2004",-1.426
"June 30, 2004",-1.502
"March 31, 2004",-1.536
"Dec. 31, 2003",-1.523
"Sept. 30, 2003",-1.315
"June 30, 2003",-1.344
"March 31, 2003",-1.345
"Dec. 31, 2002",-1.350
"Sept. 30, 2002",-1.380
"June 30, 2002",-1.266
"March 31, 2002",-1.174
"Dec. 31, 2001",-1.087
"Sept. 30, 2001",-1.287
"June 30, 2001",-1.262
"March 31, 2001",-1.277
"Dec. 31, 2000",-1.308
"Sept. 30, 2000",-0.9596
"June 30, 2000",-0.9016
"March 31, 2000",-0.8426
"Dec. 31, 1999",-0.8086
"Sept. 30, 1999",-0.6532
"June 30, 1999",-0.6328
"March 31, 1999",-0.5908
"Dec. 31, 1998",-0.5634
"Sept. 30, 1998",-0.5289
"June 30, 1998",-0.5125
"March 31, 1998",-0.4177
"Dec. 31, 1997",-0.3867
"Sept. 30, 1997",-0.245
"June 30, 1997",-0.1066
"March 31, 1997",0.0734
"Dec. 31, 1996",-0.0754
"Sept. 30, 1996",0.3549
"June 30, 1996",0.2573
"March 31, 1996",0.1401
"Dec. 31, 1995",0.1448
"Sept. 30, 1995",-0.2491
"June 30, 1995",-0.2709
"March 31, 1995",-0.2632
"Dec. 31, 1994",-0.2718
"Sept. 30, 1994",0.0381
