date,total_employee_number
"Dec. 31, 2019",28793
"Dec. 31, 2018",30083
"Dec. 31, 2017",29060
"Dec. 31, 2016",28798
"Dec. 31, 2015",29188
"Dec. 31, 2014",28344
"Dec. 31, 2013",27948
"Dec. 31, 2012",27885
"Dec. 31, 2011",18249
"Dec. 31, 2010",18440
"Dec. 31, 2009",18680
"Dec. 31, 2008",18250
"Dec. 31, 2007",17800
"Dec. 31, 2006",25600
"Dec. 31, 2005",20400
"Dec. 31, 2004",21500
"Dec. 31, 2003",23800
"Dec. 31, 2002",22000
"Dec. 31, 2001",24000
"Dec. 31, 2000",23000
"Dec. 31, 1999",21000
"Dec. 31, 1998",22000
"Dec. 31, 1997",23000
"Dec. 31, 1996",17726
"Dec. 31, 1995",17121
"Dec. 31, 1994",17052
"Dec. 31, 1993",18274
"Dec. 31, 1992",17968
"Dec. 31, 1991",18187
"Dec. 31, 1990",19630
"Dec. 31, 1989",19630
