date,cash_on_hand
"Dec. 31, 2019",311.00M
"Sept. 30, 2019",379.00M
"June 30, 2019",336.00M
"March 31, 2019",377.00M
"Dec. 31, 2018",442.00M
"Sept. 30, 2018",303.00M
"June 30, 2018",304.00M
"March 31, 2018",421.00M
"Dec. 31, 2017",358.00M
"Sept. 30, 2017",282.00M
"June 30, 2017",298.00M
"March 31, 2017",878.00M
"Dec. 31, 2016",392.00M
"Sept. 30, 2016",6.179B
"June 30, 2016",676.00M
"March 31, 2016",778.00M
"Dec. 31, 2015",383.00M
"Sept. 30, 2015",1.37B
"June 30, 2015",960.00M
"March 31, 2015",2.821B
"Dec. 31, 2014",2.036B
"Sept. 30, 2014",1.931B
"June 30, 2014",2.008B
"March 31, 2014",1.537B
"Dec. 31, 2013",1.545B
"Sept. 30, 2013",2.284B
"June 30, 2013",1.851B
"March 31, 2013",1.584B
"Dec. 31, 2012",1.757B
"Sept. 30, 2012",2.096B
"June 30, 2012",1.76B
"March 31, 2012",1.309B
"Dec. 31, 2011",2.30B
"Sept. 30, 2011",2.178B
"June 30, 2011",1.371B
"March 31, 2011",1.428B
"Dec. 31, 2010",1.67B
"June 30, 2010",1.01B
"March 31, 2010",1.08B
"Dec. 31, 2009",1.542B
"Sept. 30, 2009",1.607B
"June 30, 2009",710.00M
"March 31, 2009",1.252B
"Dec. 31, 2008",1.037B
"Sept. 30, 2008",1.876B
"June 30, 2008",717.00M
"March 31, 2008",642.00M
"Dec. 31, 2007",678.00M
"Sept. 30, 2007",675.00M
"June 30, 2007",611.00M
"March 31, 2007",570.00M
"Dec. 31, 2006",948.00M
"Sept. 30, 2006",820.00M
"June 30, 2006",752.00M
"March 31, 2006",785.00M
"Dec. 31, 2005",511.00M
"Sept. 30, 2005",377.00M
"June 30, 2005",1.009B
"March 31, 2005",1.001B
"Dec. 31, 2004",533.00M
"Sept. 30, 2004",2.858B
"June 30, 2004",2.696B
"March 31, 2004",1.50B
"Dec. 31, 2003",1.16B
"Sept. 30, 2003",1.751B
"June 30, 2003",1.482B
"March 31, 2003",1.109B
"Dec. 31, 2002",874.00M
"Sept. 30, 2002",473.00M
"June 30, 2002",87.00M
"March 31, 2002",151.00M
"Dec. 31, 2001",290.00M
"Sept. 30, 2001",617.00M
"June 30, 2001",1.241B
"March 31, 2001",489.00M
"Dec. 31, 2000",622.00M
"Sept. 30, 2000",761.00M
"June 30, 2000",415.00M
"March 31, 2000",375.00M
"Dec. 31, 1999",613.00M
"Sept. 30, 1999",1.06B
"June 30, 1999",300.00M
"March 31, 1999",583.00M
"Dec. 31, 1998",80.00M
"Sept. 30, 1998",448.20M
"June 30, 1998",63.70M
"March 31, 1998",56.90M
"Dec. 31, 1997",109.40M
"Sept. 30, 1997",52.10M
"June 30, 1997",113.90M
"March 31, 1997",23.10M
"Dec. 31, 1996",166.00M
"Sept. 30, 1996",38.20M
"June 30, 1996",32.70M
"March 31, 1996",36.30M
"Dec. 31, 1995",45.40M
"Sept. 30, 1995",35.70M
"June 30, 1995",29.90M
"March 31, 1995",33.00M
"Dec. 31, 1994",37.40M
"Sept. 30, 1994",10.00M
"June 30, 1994",9.70M
"March 31, 1994",20.70M
