date,capex_ttm
"Dec. 31, 2019",11.12B
"Sept. 30, 2019",10.72B
"June 30, 2019",10.48B
"March 31, 2019",9.838B
"Dec. 31, 2018",9.389B
"Sept. 30, 2018",8.963B
"June 30, 2018",8.496B
"March 31, 2018",7.979B
"Dec. 31, 2017",8.052B
"Sept. 30, 2017",8.49B
"June 30, 2017",8.439B
"March 31, 2017",8.416B
"Dec. 31, 2016",7.901B
"Sept. 30, 2016",7.376B
"June 30, 2016",7.097B
"March 31, 2016",7.00B
"Dec. 31, 2015",6.766B
"Sept. 30, 2015",6.271B
"June 30, 2015",6.046B
"March 31, 2015",5.563B
"Dec. 31, 2014",5.384B
"Sept. 30, 2014",5.427B
"June 30, 2014",5.211B
"March 31, 2014",5.383B
"Dec. 31, 2013",5.526B
"Sept. 30, 2013",5.51B
"June 30, 2013",5.964B
"March 31, 2013",5.888B
"Dec. 31, 2012",5.501B
"Sept. 30, 2012",5.218B
"June 30, 2012",4.677B
"March 31, 2012",4.345B
"Dec. 31, 2011",4.363B
"Sept. 30, 2011",4.301B
"June 30, 2011",4.407B
"March 31, 2011",4.63B
"Dec. 31, 2010",4.803B
"Sept. 30, 2010",4.801B
"June 30, 2010",4.785B
"March 31, 2010",4.698B
"Dec. 31, 2009",4.389B
"Sept. 30, 2009",4.281B
"June 30, 2009",4.221B
"March 31, 2009",4.242B
"Dec. 31, 2008",4.448B
"Sept. 30, 2008",4.157B
"June 30, 2008",3.703B
"March 31, 2008",3.398B
"Dec. 31, 2007",3.125B
"Sept. 30, 2007",3.311B
"June 30, 2007",3.575B
"March 31, 2007",3.624B
"Dec. 31, 2006",3.381B
"Sept. 30, 2006",2.95B
"June 30, 2006",2.658B
"March 31, 2006",2.379B
"Dec. 31, 2005",2.327B
"Sept. 30, 2005",2.078B
"June 30, 2005",2.108B
"March 31, 2005",2.077B
"Dec. 31, 2004",2.161B
"Sept. 30, 2004",2.047B
"June 30, 2004",1.944B
"March 31, 2004",2.029B
"Dec. 31, 2003",2.242B
"Sept. 30, 2003",2.478B
"June 30, 2003",3.037B
"March 31, 2003",4.455B
"Dec. 31, 2002",4.924B
"Sept. 30, 2002",6.267B
"June 30, 2002",6.866B
"March 31, 2002",6.481B
"Dec. 31, 2001",5.93B
"Sept. 30, 2001",3.92B
"June 30, 2001",4.023B
"March 31, 2001",3.643B
"Dec. 31, 2000",4.568B
"Sept. 30, 2000",6.20B
"June 30, 2000",6.055B
"March 31, 2000",5.498B
"Dec. 31, 1999",5.936B
"Sept. 30, 1999",4.990B
"June 30, 1999",4.376B
"March 31, 1999",3.956B
"Dec. 31, 1998",2.159B
"Sept. 30, 1998",2.021B
"June 30, 1998",1.338B
"March 31, 1998",1.355B
"Dec. 31, 1997",1.323B
"Sept. 30, 1997",1.324B
"June 30, 1997",1.443B
"March 31, 1997",1.442B
"Dec. 31, 1996",1.394B
"Sept. 30, 1996",1.143B
"June 30, 1996",845.80M
"March 31, 1996",707.30M
"Dec. 31, 1995",713.30M
"Sept. 30, 1995",763.90M
"June 30, 1995",794.50M
"March 31, 1995",813.10M
"Dec. 31, 1994",772.50M
"Sept. 30, 1994",554.00M
"June 30, 1994",353.90M
"March 31, 1994",174.50M
