date,tangible_common_equity_ratio
"Dec. 31, 2019",18.32%
"Sept. 30, 2019",18.43%
"June 30, 2019",18.59%
"March 31, 2019",18.78%
"Dec. 31, 2018",19.44%
"Sept. 30, 2018",19.13%
"June 30, 2018",19.12%
"March 31, 2018",18.80%
"Dec. 31, 2017",18.85%
"Sept. 30, 2017",19.00%
"June 30, 2017",18.91%
"March 31, 2017",18.97%
"Dec. 31, 2016",19.07%
"Sept. 30, 2016",21.30%
"June 30, 2016",22.14%
"March 31, 2016",22.35%
"Dec. 31, 2015",22.51%
"Sept. 30, 2015",22.46%
"June 30, 2015",22.74%
"March 31, 2015",23.36%
"Dec. 31, 2014",23.56%
"Sept. 30, 2014",24.27%
"June 30, 2014",24.75%
"March 31, 2014",25.00%
"Dec. 31, 2013",25.39%
"Sept. 30, 2013",25.00%
"June 30, 2013",24.06%
"March 31, 2013",24.99%
"Dec. 31, 2012",25.13%
"Sept. 30, 2012",25.52%
"June 30, 2012",30.97%
"March 31, 2012",32.25%
"Dec. 31, 2011",31.83%
"Sept. 30, 2011",32.84%
"June 30, 2011",32.90%
"March 31, 2011",33.68%
"Dec. 31, 2010",33.23%
"Sept. 30, 2010",
"June 30, 2010",32.23%
"March 31, 2010",32.24%
"Dec. 31, 2009",32.26%
"Sept. 30, 2009",32.72%
"June 30, 2009",32.15%
"March 31, 2009",32.88%
"Dec. 31, 2008",32.70%
"Sept. 30, 2008",33.66%
"June 30, 2008",34.49%
"March 31, 2008",36.25%
"Dec. 31, 2007",35.73%
"Sept. 30, 2007",35.92%
"June 30, 2007",34.80%
"March 31, 2007",35.44%
"Dec. 31, 2006",28.55%
"Sept. 30, 2006",28.32%
"June 30, 2006",27.06%
"March 31, 2006",26.81%
"Dec. 31, 2005",24.86%
"Sept. 30, 2005",24.50%
"June 30, 2005",23.46%
"March 31, 2005",23.84%
"Dec. 31, 2004",23.81%
"Sept. 30, 2004",22.24%
"June 30, 2004",20.99%
"March 31, 2004",19.54%
"Dec. 31, 2003",18.37%
"Sept. 30, 2003",21.47%
"June 30, 2003",19.79%
"March 31, 2003",19.41%
"Dec. 31, 2002",19.86%
"Sept. 30, 2002",17.29%
"June 30, 2002",17.62%
"March 31, 2002",18.44%
"Dec. 31, 2001",23.42%
"Sept. 30, 2001",22.27%
"June 30, 2001",21.59%
"March 31, 2001",17.58%
"Dec. 31, 2000",14.98%
"Sept. 30, 2000",17.98%
"June 30, 2000",18.81%
"March 31, 2000",23.09%
"Dec. 31, 1999",25.04%
"Sept. 30, 1999",27.13%
"June 30, 1999",28.49%
"March 31, 1999",29.66%
"Dec. 31, 1998",29.09%
"Sept. 30, 1998",29.36%
"June 30, 1998",28.38%
"March 31, 1998",30.47%
"Dec. 31, 1997",29.91%
"Sept. 30, 1997",30.54%
"June 30, 1997",32.14%
"March 31, 1997",36.70%
"Dec. 31, 1996",32.15%
"Sept. 30, 1996",36.59%
"June 30, 1996",36.86%
"March 31, 1996",36.61%
"Dec. 31, 1995",35.82%
"Sept. 30, 1995",36.50%
"June 30, 1995",35.64%
"March 31, 1995",35.60%
"Dec. 31, 1994",35.24%
"Sept. 30, 1994",36.08%
"June 30, 1994",35.51%
"March 31, 1994",36.02%
