date,cash_investing_ttm
"Dec. 31, 2019",-11.96B
"Sept. 30, 2019",-11.42B
"June 30, 2019",-11.20B
"March 31, 2019",-10.51B
"Dec. 31, 2018",-10.06B
"Sept. 30, 2018",-9.381B
"June 30, 2018",-8.743B
"March 31, 2018",-8.345B
"Dec. 31, 2017",-8.442B
"Sept. 30, 2017",-12.30B
"June 30, 2017",-12.26B
"March 31, 2017",-12.13B
"Dec. 31, 2016",-11.53B
"Sept. 30, 2016",-7.541B
"June 30, 2016",-8.591B
"March 31, 2016",-5.579B
"Dec. 31, 2015",-5.277B
"Sept. 30, 2015",-4.93B
"June 30, 2015",-3.30B
"March 31, 2015",-5.543B
"Dec. 31, 2014",-5.373B
"Sept. 30, 2014",-5.146B
"June 30, 2014",-4.783B
"March 31, 2014",-4.799B
"Dec. 31, 2013",-4.978B
"Sept. 30, 2013",-5.774B
"June 30, 2013",-6.368B
"March 31, 2013",-6.482B
"Dec. 31, 2012",-6.197B
"Sept. 30, 2012",-5.353B
"June 30, 2012",-4.987B
"March 31, 2012",-4.696B
"Dec. 31, 2011",-4.434B
"Sept. 30, 2011",-3.968B
"June 30, 2011",-3.753B
"March 31, 2011",-4.105B
"Dec. 31, 2010",-4.423B
"Sept. 30, 2010",-4.796B
"June 30, 2010",-4.867B
"March 31, 2010",-4.834B
"Dec. 31, 2009",-4.492B
"Sept. 30, 2009",-4.348B
"June 30, 2009",-4.217B
"March 31, 2009",-4.43B
"Dec. 31, 2008",-4.611B
"Sept. 30, 2008",-3.932B
"June 30, 2008",-3.497B
"March 31, 2008",-2.632B
"Dec. 31, 2007",-2.151B
"Sept. 30, 2007",-1.301B
"June 30, 2007",-2.976B
"March 31, 2007",-1.784B
"Dec. 31, 2006",-1.328B
"Sept. 30, 2006",-1.501B
"June 30, 2006",-21.00M
"March 31, 2006",-1.176B
"Dec. 31, 2005",-126.00M
"Sept. 30, 2005",-928.00M
"June 30, 2005",918.00M
"March 31, 2005",445.00M
"Dec. 31, 2004",-793.00M
"Sept. 30, 2004",-449.00M
"June 30, 2004",-1.879B
"March 31, 2004",-519.00M
"Dec. 31, 2003",-668.00M
"Sept. 30, 2003",-1.459B
"June 30, 2003",-2.30B
"March 31, 2003",-4.008B
"Dec. 31, 2002",-6.809B
"Sept. 30, 2002",-7.177B
"June 30, 2002",-8.417B
"March 31, 2002",-8.389B
"Dec. 31, 2001",-6.043B
"Sept. 30, 2001",-5.598B
"June 30, 2001",-4.349B
"March 31, 2001",-4.313B
"Dec. 31, 2000",-4.93B
"Sept. 30, 2000",-5.492B
"June 30, 2000",-5.814B
"March 31, 2000",-5.161B
"Dec. 31, 1999",-3.80B
"Sept. 30, 1999",-2.976B
"June 30, 1999",-2.614B
"March 31, 1999",-2.274B
"Dec. 31, 1998",-2.476B
"Sept. 30, 1998",-2.547B
"June 30, 1998",-2.097B
"March 31, 1998",-2.080B
"Dec. 31, 1997",-1.994B
"Sept. 30, 1997",-1.728B
"June 30, 1997",-1.607B
"March 31, 1997",-1.614B
"Dec. 31, 1996",-1.568B
"Sept. 30, 1996",-1.292B
"June 30, 1996",-966.00M
"March 31, 1996",-866.60M
"Dec. 31, 1995",-846.90M
"Sept. 30, 1995",-931.30M
"June 30, 1995",-995.10M
"March 31, 1995",-1.008B
"Dec. 31, 1994",-952.50M
