date,price_target_upside
"March 19, 2020",38.24%
"March 18, 2020",30.87%
"March 17, 2020",20.64%
"March 16, 2020",35.48%
"March 13, 2020",21.76%
"March 12, 2020",29.77%
"March 11, 2020",15.05%
"March 10, 2020",10.07%
"March 9, 2020",10.62%
"March 6, 2020",5.06%
"March 5, 2020",3.93%
"March 4, 2020",2.37%
"March 3, 2020",8.84%
"March 2, 2020",6.97%
"Feb. 28, 2020",12.77%
"Feb. 27, 2020",8.87%
"Feb. 26, 2020",4.52%
"Feb. 25, 2020",4.17%
"Feb. 24, 2020",1.09%
"Feb. 21, 2020",0.33%
"Feb. 20, 2020",1.00%
"Feb. 19, 2020",0.96%
"Feb. 18, 2020",0.36%
"Feb. 14, 2020",-0.50%
"Feb. 13, 2020",-0.33%
"Feb. 12, 2020",0.48%
"Feb. 11, 2020",1.44%
"Feb. 10, 2020",2.24%
"Feb. 7, 2020",2.20%
"Feb. 6, 2020",1.51%
"Feb. 5, 2020",1.29%
"Feb. 4, 2020",1.85%
"Feb. 3, 2020",0.74%
"Jan. 31, 2020",0.78%
"Jan. 30, 2020",0.94%
"Jan. 29, 2020",1.69%
"Jan. 28, 2020",1.86%
"Jan. 27, 2020",1.98%
"Jan. 24, 2020",0.46%
"Jan. 23, 2020",0.67%
"Jan. 22, 2020",1.48%
"Jan. 21, 2020",1.80%
"Jan. 17, 2020",2.79%
"Jan. 16, 2020",3.26%
"Jan. 15, 2020",3.37%
"Jan. 14, 2020",4.72%
"Jan. 13, 2020",4.79%
"Jan. 10, 2020",5.66%
"Jan. 9, 2020",5.45%
"Jan. 8, 2020",5.70%
"Jan. 7, 2020",5.86%
"Jan. 6, 2020",5.13%
"Jan. 3, 2020",5.64%
"Jan. 2, 2020",5.65%
"Dec. 31, 2019",4.64%
"Dec. 30, 2019",5.13%
"Dec. 27, 2019",5.04%
"Dec. 26, 2019",5.71%
"Dec. 24, 2019",5.90%
"Dec. 23, 2019",6.00%
"Dec. 20, 2019",5.20%
"Dec. 19, 2019",5.92%
"Dec. 18, 2019",5.15%
"Dec. 17, 2019",5.22%
"Dec. 16, 2019",5.29%
"Dec. 13, 2019",5.81%
"Dec. 12, 2019",6.45%
"Dec. 11, 2019",7.12%
"Dec. 10, 2019",7.37%
"Dec. 9, 2019",7.09%
"Dec. 6, 2019",6.52%
"Dec. 5, 2019",7.08%
"Dec. 4, 2019",7.49%
"Dec. 3, 2019",8.82%
"Dec. 2, 2019",9.72%
"Nov. 29, 2019",8.63%
"Nov. 27, 2019",8.15%
"Nov. 26, 2019",8.59%
"Nov. 25, 2019",9.34%
"Nov. 22, 2019",9.91%
"Nov. 21, 2019",10.91%
"Nov. 20, 2019",10.65%
"Nov. 19, 2019",10.77%
"Nov. 18, 2019",8.71%
"Nov. 15, 2019",8.97%
"Nov. 14, 2019",9.38%
"Nov. 13, 2019",9.04%
"Nov. 12, 2019",10.21%
"Nov. 11, 2019",10.19%
"Nov. 8, 2019",7.97%
"Nov. 7, 2019",5.85%
"Nov. 6, 2019",4.97%
"Nov. 5, 2019",5.03%
"Nov. 4, 2019",4.48%
"Nov. 1, 2019",3.66%
"Oct. 31, 2019",3.79%
"Oct. 30, 2019",4.07%
"Oct. 29, 2019",4.60%
"Oct. 28, 2019",3.97%
"Oct. 25, 2019",1.91%
"Oct. 24, 2019",1.23%
"Oct. 23, 2019",0.83%
"Oct. 22, 2019",1.73%
