date,ebitda_ttm
"Dec. 31, 2019",11.48B
"Sept. 30, 2019",11.10B
"June 30, 2019",10.62B
"March 31, 2019",10.22B
"Dec. 31, 2018",9.863B
"Sept. 30, 2018",10.07B
"June 30, 2018",9.982B
"March 31, 2018",10.16B
"Dec. 31, 2017",10.30B
"Sept. 30, 2017",9.895B
"June 30, 2017",9.998B
"March 31, 2017",9.824B
"Dec. 31, 2016",9.53B
"Sept. 30, 2016",9.224B
"June 30, 2016",8.923B
"March 31, 2016",8.873B
"Dec. 31, 2015",9.05B
"Sept. 30, 2015",8.824B
"June 30, 2015",8.815B
"March 31, 2015",8.848B
"Dec. 31, 2014",8.799B
"Sept. 30, 2014",9.567B
"June 30, 2014",9.486B
"March 31, 2014",8.884B
"Dec. 31, 2013",8.60B
"Sept. 30, 2013",7.837B
"June 30, 2013",7.30B
"March 31, 2013",7.055B
"Dec. 31, 2012",6.13B
"Sept. 30, 2012",5.778B
"June 30, 2012",5.154B
"March 31, 2012",5.049B
"Dec. 31, 2011",5.35B
"Sept. 30, 2011",5.602B
"June 30, 2011",5.866B
"March 31, 2011",5.126B
"Dec. 31, 2010",5.044B
"Sept. 30, 2010",4.777B
"June 30, 2010",4.125B
"March 31, 2010",4.643B
"Dec. 31, 2009",4.428B
"Sept. 30, 2009",4.284B
"June 30, 2009",4.266B
"March 31, 2009",4.318B
"Dec. 31, 2008",4.466B
"Sept. 30, 2008",4.353B
"June 30, 2008",4.828B
"March 31, 2008",4.652B
"Dec. 31, 2007",4.392B
"Sept. 30, 2007",4.275B
"June 30, 2007",4.034B
"March 31, 2007",3.876B
"Dec. 31, 2006",3.592B
"Sept. 30, 2006",2.249B
"June 30, 2006",2.31B
"March 31, 2006",2.788B
"Dec. 31, 2005",3.228B
"Sept. 30, 2005",5.055B
"June 30, 2005",5.185B
"March 31, 2005",5.137B
"Dec. 31, 2004",5.108B
"Sept. 30, 2004",1.778B
"June 30, 2004",1.16B
"March 31, 2004",1.065B
"Dec. 31, 2003",1.249B
"Sept. 30, 2003",4.293B
"June 30, 2003",4.505B
"March 31, 2003",4.603B
"Dec. 31, 2002",4.279B
"Sept. 30, 2002",3.753B
"June 30, 2002",4.60B
"March 31, 2002",4.554B
"Dec. 31, 2001",5.046B
"Sept. 30, 2001",5.352B
"June 30, 2001",4.922B
"March 31, 2001",4.861B
"Dec. 31, 2000",4.383B
"Sept. 30, 2000",3.552B
"June 30, 2000",3.293B
"March 31, 2000",2.951B
"Dec. 31, 1999",2.805B
"Sept. 30, 1999",3.498B
"June 30, 1999",3.426B
"March 31, 1999",3.438B
"Dec. 31, 1998",3.394B
"Sept. 30, 1998",3.445B
"June 30, 1998",3.201B
"March 31, 1998",3.059B
"Dec. 31, 1997",3.031B
"Sept. 30, 1997",3.058B
"June 30, 1997",3.096B
"March 31, 1997",3.256B
"Dec. 31, 1996",2.948B
"Sept. 30, 1996",3.652B
"June 30, 1996",3.424B
"March 31, 1996",3.018B
"Dec. 31, 1995",3.022B
"Sept. 30, 1995",1.984B
"June 30, 1995",1.909B
"March 31, 1995",1.879B
"Dec. 31, 1994",1.827B
"Sept. 30, 1994",2.477B
"June 30, 1994",3.171B
"March 31, 1994",3.760B
"Dec. 31, 1993",4.282B
"Sept. 30, 1993",4.226B
"June 30, 1993",4.076B
"March 31, 1993",3.988B
"Dec. 31, 1992",3.962B
"Sept. 30, 1992",3.960B
"June 30, 1992",3.917B
"March 31, 1992",3.912B
"Dec. 31, 1991",3.817B
"Sept. 30, 1991",3.727B
"June 30, 1991",3.736B
"March 31, 1991",3.713B
"Dec. 31, 1990",3.682B
"Sept. 30, 1990",3.718B
"June 30, 1990",3.624B
"March 31, 1990",3.632B
"Dec. 31, 1989",3.639B
"Sept. 30, 1989",3.602B
"June 30, 1989",3.620B
"March 31, 1989",3.573B
"Dec. 31, 1988",3.627B
"Sept. 30, 1988",3.676B
"June 30, 1988",3.683B
"March 31, 1988",3.711B
"Dec. 31, 1987",3.706B
"Sept. 30, 1987",3.65B
"June 30, 1987",3.554B
"March 31, 1987",3.480B
"Dec. 31, 1986",3.401B
"Sept. 30, 1986",3.276B
"June 30, 1986",3.087B
"March 31, 1986",2.981B
"Dec. 31, 1985",2.899B
"Sept. 30, 1985",2.861B
"June 30, 1985",2.839B
"March 31, 1985",2.790B
"Dec. 31, 1984",2.71B
