date,shareholders_equity
"Dec. 31, 2019",-8.617B
"Sept. 30, 2019",-4.116B
"June 30, 2019",-5.322B
"March 31, 2019",125.00M
"Dec. 31, 2018",339.00M
"Sept. 30, 2018",-1.289B
"June 30, 2018",-1.441B
"March 31, 2018",1.222B
"Dec. 31, 2017",1.656B
"Sept. 30, 2017",1.086B
"June 30, 2017",-2.037B
"March 31, 2017",95.00M
"Dec. 31, 2016",817.00M
"Sept. 30, 2016",2.089B
"June 30, 2016",585.00M
"March 31, 2016",4.043B
"Dec. 31, 2015",6.335B
"Sept. 30, 2015",6.74B
"June 30, 2015",6.264B
"March 31, 2015",7.906B
"Dec. 31, 2014",8.665B
"Sept. 30, 2014",14.51B
"June 30, 2014",14.06B
"March 31, 2014",14.52B
"Dec. 31, 2013",14.88B
"Sept. 30, 2013",8.951B
"June 30, 2013",7.526B
"March 31, 2013",7.462B
"Dec. 31, 2012",5.867B
"Sept. 30, 2012",7.588B
"June 30, 2012",5.804B
"March 31, 2012",5.027B
"Dec. 31, 2011",3.515B
"Sept. 30, 2011",5.967B
"June 30, 2011",4.733B
"March 31, 2011",3.912B
"Dec. 31, 2010",2.766B
"June 30, 2010",3.077B
"March 31, 2010",2.942B
"Dec. 31, 2009",2.128B
"Sept. 30, 2009",-1.028B
"June 30, 2009",180.00M
"March 31, 2009",-662.00M
"Dec. 31, 2008",-1.294B
"Sept. 30, 2008",8.714B
"June 30, 2008",8.594B
"March 31, 2008",9.066B
"Dec. 31, 2007",9.004B
"Sept. 30, 2007",6.406B
"June 30, 2007",5.857B
"March 31, 2007",5.611B
"Dec. 31, 2006",4.739B
"Sept. 30, 2006",11.03B
"June 30, 2006",10.37B
"March 31, 2006",11.52B
"Dec. 31, 2005",11.06B
"Sept. 30, 2005",9.423B
"June 30, 2005",11.13B
"March 31, 2005",11.48B
"Dec. 31, 2004",11.29B
"Sept. 30, 2004",9.542B
"June 30, 2004",8.949B
"March 31, 2004",8.859B
"Dec. 31, 2003",8.139B
"Sept. 30, 2003",7.35B
"June 30, 2003",6.966B
"March 31, 2003",7.284B
"Dec. 31, 2002",7.696B
"Sept. 30, 2002",10.90B
"June 30, 2002",10.40B
"March 31, 2002",9.753B
"Dec. 31, 2001",10.82B
"Sept. 30, 2001",11.30B
"June 30, 2001",11.50B
"March 31, 2001",12.22B
"Dec. 31, 2000",11.02B
"Sept. 30, 2000",12.15B
"June 30, 2000",12.05B
"March 31, 2000",11.86B
"Dec. 31, 1999",11.46B
"Sept. 30, 1999",12.22B
"June 30, 1999",12.68B
"March 31, 1999",12.75B
"Dec. 31, 1998",12.32B
"Sept. 30, 1998",12.97B
"June 30, 1998",12.96B
"March 31, 1998",13.03B
"Dec. 31, 1997",12.95B
"Sept. 30, 1997",13.87B
"June 30, 1997",11.44B
"March 31, 1997",11.19B
"Dec. 31, 1996",13.50B
"Sept. 30, 1996",9.873B
"June 30, 1996",10.35B
"March 31, 1996",10.12B
"Dec. 31, 1995",9.898B
"Sept. 30, 1995",9.802B
"June 30, 1995",9.531B
"March 31, 1995",9.895B
"Dec. 31, 1994",9.70B
"Sept. 30, 1994",9.604B
"June 30, 1994",9.342B
"March 31, 1994",9.285B
"Dec. 31, 1993",8.983B
"Sept. 30, 1993",8.842B
"June 30, 1993",8.645B
"March 31, 1993",8.385B
"Dec. 31, 1992",8.056B
"Sept. 30, 1992",9.087B
"June 30, 1992",8.72B
"March 31, 1992",8.544B
"Dec. 31, 1991",8.093B
"Sept. 30, 1991",7.942B
"June 30, 1991",7.574B
"March 31, 1991",7.289B
"Dec. 31, 1990",6.973B
"Sept. 30, 1990",6.828B
"June 30, 1990",6.679B
"March 31, 1990",6.373B
"Dec. 31, 1989",6.131B
"Sept. 30, 1989",5.822B
"June 30, 1989",5.644B
"Dec. 31, 1988",5.404B
"Dec. 31, 1987",4.987B
"Dec. 31, 1986",4.826B
"Dec. 31, 1985",4.364B
"Dec. 31, 1984",3.695B
