date,shares_outstanding
"Feb. 27, 2020",564.23M
"Jan. 24, 2020",563.15M
"Dec. 31, 2019",562.91M
"Oct. 16, 2019",562.79M
"Sept. 30, 2019",562.79M
"July 17, 2019",562.71M
"June 30, 2019",562.70M
"April 17, 2019",562.63M
"March 31, 2019",563.41M
"Feb. 28, 2019",564.48M
"Feb. 1, 2019",564.99M
"Dec. 31, 2018",567.64M
"Oct. 17, 2018",567.89M
"Sept. 30, 2018",569.00M
"July 18, 2018",574.51M
"June 30, 2018",575.88M
"April 18, 2018",582.58M
"March 31, 2018",584.22M
"March 1, 2018",587.22M
"Feb. 5, 2018",588.49M
"Dec. 31, 2017",591.04M
"Oct. 18, 2017",595.58M
"Sept. 30, 2017",597.35M
"July 19, 2017",591.08M
"June 30, 2017",593.20M
"April 19, 2017",603.58M
"March 31, 2017",605.79M
"March 2, 2017",608.08M
"Feb. 1, 2017",612.48M
"Dec. 31, 2016",617.15M
"Oct. 19, 2016",617.17M
"Sept. 30, 2016",618.96M
"July 20, 2016",623.83M
"June 30, 2016",625.86M
"April 20, 2016",637.01M
"March 31, 2016",639.82M
"March 3, 2016",651.06M
"Feb. 4, 2016",662.50M
"Dec. 31, 2015",666.62M
"Oct. 14, 2015",669.98M
"Sept. 30, 2015",670.96M
"July 15, 2015",679.50M
"June 30, 2015",681.07M
"April 15, 2015",691.52M
"March 31, 2015",694.00M
"Feb. 26, 2015",699.84M
"Feb. 5, 2015",704.39M
"Dec. 31, 2014",706.73M
"Oct. 15, 2014",712.93M
"Sept. 30, 2014",713.84M
"July 16, 2014",720.61M
"June 30, 2014",721.36M
"April 16, 2014",729.22M
"March 31, 2014",730.75M
"Feb. 27, 2014",737.08M
"Feb. 7, 2014",743.40M
"Dec. 31, 2013",747.38M
"Oct. 16, 2013",751.45M
"Sept. 30, 2013",751.91M
"July 17, 2013",754.44M
"June 30, 2013",754.03M
"April 17, 2013",758.68M
"March 31, 2013",758.32M
"March 1, 2013",757.31M
"Feb. 1, 2013",756.17M
"Dec. 31, 2012",755.63M
"Oct. 17, 2012",754.08M
"Sept. 30, 2012",753.73M
"July 18, 2012",751.80M
"June 30, 2012",751.35M
"April 18, 2012",749.05M
"March 31, 2012",748.73M
"March 1, 2012",747.83M
"Feb. 1, 2012",745.72M
"Dec. 31, 2011",744.70M
"Oct. 19, 2011",743.23M
"Sept. 30, 2011",742.88M
"July 20, 2011",741.09M
"June 30, 2011",740.57M
"April 20, 2011",738.27M
"March 31, 2011",737.96M
"March 3, 2011",737.07M
"Feb. 1, 2011",736.30M
"Dec. 31, 2010",735.26M
"Oct. 13, 2010",733.58M
"Sept. 30, 2010",733.39M
"July 21, 2010",731.68M
"June 30, 2010",761.14M
"April 16, 2010",759.04M
"March 31, 2010",758.51M
"Feb. 26, 2010",757.66M
"Feb. 1, 2010",756.98M
"Oct. 16, 2009",726.60M
"Sept. 30, 2009",726.50M
"July 17, 2009",726.43M
"June 30, 2009",726.38M
"April 17, 2009",726.20M
"Feb. 6, 2009",726.13M
"Dec. 31, 2008",726.60M
"Oct. 17, 2008",732.83M
"July 18, 2008",740.25M
"June 30, 2008",743.42M
"April 18, 2008",751.45M
"March 31, 2008",753.94M
"Feb. 8, 2008",764.83M
"Dec. 31, 2007",768.04M
"Sept. 30, 2007",775.06M
"June 30, 2007",783.71M
"March 31, 2007",787.40M
"Jan. 31, 2007",789.27M
"Dec. 31, 2006",788.74M
"Oct. 20, 2006",790.74M
"Sept. 30, 2006",791.38M
"July 21, 2006",794.91M
"June 30, 2006",798.81M
"April 20, 2006",799.58M
"March 31, 2006",800.30M
"Jan. 31, 2006",800.39M
"Dec. 31, 2005",800.17M
"Oct. 21, 2005",807.27M
"Sept. 30, 2005",810.05M
"July 22, 2005",820.60M
"June 30, 2005",819.64M
"April 22, 2005",826.33M
"March 31, 2005",826.16M
"Jan. 31, 2005",832.43M
"Dec. 31, 2004",832.18M
"Oct. 25, 2004",839.60M
"Sept. 30, 2004",839.59M
"July 26, 2004",839.43M
"June 30, 2004",840.53M
"April 23, 2004",843.13M
"March 31, 2004",843.04M
"Jan. 31, 2004",801.24M
"Oct. 24, 2003",800.22M
"July 31, 2003",800.16M
"April 24, 2003",800.14M
"Jan. 31, 2003",799.98M
"Oct. 31, 2002",799.34M
"July 31, 2002",799.28M
"April 30, 2002",799.02M
"Jan. 31, 2002",798.29M
"Oct. 19, 2001",797.97M
"July 31, 2001",806.09M
"June 30, 2001",852.99M
"April 30, 2001",872.38M
"March 31, 2001",874.27M
"Jan. 31, 2001",834.38M
"Dec. 31, 2000",875.48M
"Oct. 31, 2000",888.45M
"Sept. 30, 2000",894.19M
"July 31, 2000",897.27M
"June 30, 2000",907.67M
"May 1, 2000",907.15M
"March 31, 2000",907.67M
"Jan. 31, 2000",868.72M
"Dec. 31, 1999",909.51M
"Sept. 30, 1999",939.38M
"Feb. 1, 1999",937.96M
"Dec. 31, 1998",976.02M
"Jan. 30, 1998",973.47M
"June 30, 1997",721.76M
"March 31, 1997",720.89M
"Jan. 31, 1997",721.07M
"Dec. 31, 1996",720.84M
"Sept. 30, 1996",697.93M
"June 30, 1996",691.46M
"March 31, 1996",691.90M
"Jan. 31, 1996",688.92M
"Dec. 31, 1995",687.91M
"Sept. 30, 1995",686.14M
"June 30, 1995",684.12M
"March 31, 1995",682.50M
"Jan. 31, 1995",681.95M
"Dec. 31, 1994",681.76M
"Sept. 30, 1994",681.56M
"June 30, 1994",681.26M
"March 31, 1994",680.93M
"Dec. 31, 1993",680.28M
"Sept. 30, 1993",679.91M
"June 30, 1993",679.37M
"March 31, 1993",679.15M
"Dec. 31, 1992",678.84M
"Sept. 30, 1992",678.58M
"June 30, 1992",678.42M
"March 31, 1992",683.12M
"Dec. 31, 1991",682.58M
"Sept. 30, 1991",686.29M
"June 30, 1991",687.76M
"March 31, 1991",687.55M
"Dec. 31, 1990",687.15M
"Sept. 30, 1990",687.19M
"June 30, 1990",692.87M
"March 31, 1990",692.32M
"Dec. 31, 1989",691.32M
"Sept. 30, 1989",690.99M
"June 30, 1989",690.49M
"March 31, 1989",688.67M
"Dec. 31, 1988",688.86M
"Sept. 30, 1988",687.59M
"June 30, 1988",684.84M
"March 31, 1988",684.84M
"Dec. 31, 1987",684.58M
"Sept. 30, 1987",697.78M
"June 30, 1987",697.49M
"March 31, 1987",697.23M
"Dec. 31, 1986",697.23M
"Sept. 30, 1986",697.44M
"June 30, 1986",697.65M
