date,beneish_m_score
"Dec. 31, 2019",-1.365
"Dec. 31, 2018",-2.380
"Dec. 31, 2017",-3.497
"Dec. 31, 2016",-2.803
"Dec. 31, 2015",-2.527
"Dec. 31, 2014",-2.495
"Dec. 31, 2013",-2.607
"Dec. 31, 2012",-2.551
"Dec. 31, 2011",-2.516
"Dec. 31, 2010",-2.598
"Dec. 31, 2009",-2.848
"Dec. 31, 2008",-2.165
"Dec. 31, 2007",-2.805
"Dec. 31, 2006",-3.142
"Dec. 31, 2005",-2.843
"Dec. 31, 2004",-2.664
"Dec. 31, 2003",-2.686
"Dec. 31, 2002",-2.603
"Dec. 31, 2001",-2.608
"Dec. 31, 2000",-2.380
"Dec. 31, 1999",-2.997
"Dec. 31, 1998",-2.578
"Dec. 31, 1997",-2.022
"Dec. 31, 1996",-1.449
