date,cash_operations_ttm
"Dec. 31, 2019",-2.446B
"Sept. 30, 2019",2.721B
"June 30, 2019",9.704B
"March 31, 2019",14.97B
"Dec. 31, 2018",15.32B
"Sept. 30, 2018",15.28B
"June 30, 2018",14.12B
"March 31, 2018",14.38B
"Dec. 31, 2017",13.35B
"Sept. 30, 2017",13.27B
"June 30, 2017",13.08B
"March 31, 2017",11.32B
"Dec. 31, 2016",10.50B
"Sept. 30, 2016",10.79B
"June 30, 2016",10.44B
"March 31, 2016",10.55B
"Dec. 31, 2015",9.363B
"Sept. 30, 2015",11.24B
"June 30, 2015",9.322B
"March 31, 2015",7.834B
"Dec. 31, 2014",8.858B
"Sept. 30, 2014",5.24B
"June 30, 2014",7.109B
"March 31, 2014",8.767B
"Dec. 31, 2013",8.179B
"Sept. 30, 2013",10.97B
"June 30, 2013",9.754B
"March 31, 2013",7.195B
"Dec. 31, 2012",7.508B
"Sept. 30, 2012",6.272B
"June 30, 2012",5.125B
"March 31, 2012",5.813B
"Dec. 31, 2011",4.023B
"Sept. 30, 2011",2.208B
"June 30, 2011",3.614B
"March 31, 2011",2.284B
"Dec. 31, 2010",2.952B
"Sept. 30, 2010",5.048B
"June 30, 2010",4.39B
"March 31, 2010",5.125B
"Dec. 31, 2009",5.603B
"Sept. 30, 2009",750.00M
"June 30, 2009",-889.00M
"March 31, 2009",-2.141B
"Dec. 31, 2008",-401.00M
"Sept. 30, 2008",3.133B
"June 30, 2008",6.904B
"March 31, 2008",10.79B
"Dec. 31, 2007",9.584B
"Sept. 30, 2007",10.13B
"June 30, 2007",7.363B
"March 31, 2007",6.172B
"Dec. 31, 2006",7.499B
"Sept. 30, 2006",7.445B
"June 30, 2006",7.448B
"March 31, 2006",7.65B
"Dec. 31, 2005",7.00B
"Sept. 30, 2005",5.98B
"June 30, 2005",6.364B
"March 31, 2005",4.973B
"Dec. 31, 2004",3.504B
"Sept. 30, 2004",4.597B
"June 30, 2004",3.482B
"March 31, 2004",3.073B
"Dec. 31, 2003",2.709B
"Sept. 30, 2003",1.822B
"June 30, 2003",3.263B
"March 31, 2003",3.309B
"Dec. 31, 2002",4.236B
"Sept. 30, 2002",2.889B
"June 30, 2002",3.058B
"March 31, 2002",3.303B
"Dec. 31, 2001",3.894B
"Sept. 30, 2001",5.766B
"June 30, 2001",6.029B
"March 31, 2001",7.993B
"Dec. 31, 2000",5.942B
"Sept. 30, 2000",6.542B
"June 30, 2000",6.096B
"March 31, 2000",4.482B
"Dec. 31, 1999",6.224B
"Sept. 30, 1999",5.779B
"June 30, 1999",4.606B
"March 31, 1999",2.808B
"Dec. 31, 1998",2.415B
"Sept. 30, 1998",1.081B
"June 30, 1998",536.00M
"March 31, 1998",2.136B
"Dec. 31, 1997",2.105B
"Sept. 30, 1997",2.343B
"June 30, 1997",3.999B
"March 31, 1997",3.557B
"Dec. 31, 1996",3.611B
"Sept. 30, 1996",2.965B
"June 30, 1996",2.118B
"March 31, 1996",1.607B
"Dec. 31, 1995",2.135B
"Sept. 30, 1995",2.217B
"June 30, 1995",1.46B
"March 31, 1995",1.071B
"Dec. 31, 1994",1.077B
"Sept. 30, 1994",531.00M
"June 30, 1994",631.00M
"March 31, 1994",1.46B
"Dec. 31, 1993",1.354B
"Sept. 30, 1993",1.965B
"June 30, 1993",2.706B
"March 31, 1993",2.953B
"Dec. 31, 1992",3.362B
"Sept. 30, 1992",3.104B
"June 30, 1992",3.038B
"March 31, 1992",2.472B
"Dec. 31, 1991",1.434B
"Sept. 30, 1991",1.066B
"June 30, 1991",1.536B
"March 31, 1991",2.092B
"Dec. 31, 1990",3.336B
