date,kz_index
"Dec. 31, 2018",140.10
"Dec. 31, 2017",19.75
"Dec. 31, 2016",
"Dec. 31, 2015",-4.882
"Dec. 31, 2014",-6.032
"Dec. 31, 2013",-5.562
"Dec. 31, 2012",-3.379
"Dec. 31, 2011",-0.9543
"Dec. 31, 2010",
"Dec. 31, 2009",0.3008
"Dec. 31, 2008",
"Dec. 31, 2007",-4.371
"Dec. 31, 2006",0.3631
"Dec. 31, 2005",-2.306
"Dec. 31, 2004",-1.212
"Dec. 31, 2003",
"Dec. 31, 2002",
"Dec. 31, 2001",-0.7425
"Dec. 31, 2000",
"Dec. 31, 1999",-1.362
"Dec. 31, 1998",-1.494
"Dec. 31, 1997",-1.770
"Dec. 31, 1996",-2.776
"Dec. 31, 1995",-1.994
"Dec. 31, 1994",
"Dec. 31, 1993",
"Dec. 31, 1992",-2.471
"Dec. 31, 1991",-3.438
"Dec. 31, 1990",-4.798
"Dec. 31, 1989",-4.547
"Dec. 31, 1988",-1.663
"Dec. 31, 1987",
"Dec. 31, 1986",-2.675
"Dec. 31, 1985",-2.337
