date,revenue_per_employee_annual
"Dec. 31, 2019",487481.7
"Dec. 31, 2018",688407.1
"Dec. 31, 2017",645417.1
"Dec. 31, 2016",599525.5
"Dec. 31, 2015",588033.0
"Dec. 31, 2014",543647.8
"Dec. 31, 2013",505385.1
"Dec. 31, 2012",472106.3
"Dec. 31, 2011",413817.0
"Dec. 31, 2010",404949.6
"Dec. 31, 2009",427691.8
"Dec. 31, 2008",378905.1
"Dec. 31, 2007",423791.9
"Dec. 31, 2006",400846.9
"Dec. 31, 2005",343724.4
"Dec. 31, 2004",332006.3
"Dec. 31, 2003",311182.7
"Dec. 31, 2002",305429.4
"Dec. 31, 2001",301544.0
"Dec. 31, 2000",261175.6
"Dec. 31, 1999",274848.3
"Dec. 31, 1998",241004.3
"Dec. 31, 1997",239790.6
"Dec. 31, 1996",285911.3
"Dec. 31, 1995",299636.4
"Dec. 31, 1994",182320.2
"Dec. 31, 1993",185611.1
"Dec. 31, 1992",198383.2
"Dec. 31, 1991",184713.3
"Dec. 31, 1990",169502.5
