date,net_income_annual_cs_rev
"Dec. 31, 2019",-0.83%
"Dec. 31, 2018",10.34%
"Dec. 31, 2017",9.00%
"Dec. 31, 2016",5.38%
"Dec. 31, 2015",5.39%
"Dec. 31, 2014",6.00%
"Dec. 31, 2013",5.29%
"Dec. 31, 2012",4.77%
"Dec. 31, 2011",5.85%
"Dec. 31, 2010",5.14%
"Dec. 31, 2009",1.92%
"Dec. 31, 2008",4.39%
"Dec. 31, 2007",6.14%
"Dec. 31, 2006",3.60%
"Dec. 31, 2005",4.80%
"Dec. 31, 2004",3.57%
"Dec. 31, 2003",1.43%
"Dec. 31, 2002",0.91%
"Dec. 31, 2001",4.86%
"Dec. 31, 2000",4.15%
"Dec. 31, 1999",3.98%
"Dec. 31, 1998",1.99%
"Dec. 31, 1997",-0.39%
"Dec. 31, 1996",5.13%
"Dec. 31, 1995",-0.11%
"Dec. 31, 1994",3.90%
"Dec. 31, 1993",4.89%
"Dec. 31, 1992",1.83%
"Dec. 31, 1991",5.35%
"Dec. 31, 1990",5.02%
"Dec. 31, 1989",3.33%
"Dec. 31, 1988",3.62%
"Dec. 31, 1987",3.13%
"Dec. 31, 1986",4.07%
"Dec. 31, 1985",4.15%
"Dec. 31, 1984",7.60%
