date,long_term_debt
"Dec. 31, 2019",19.80B
"Sept. 30, 2019",20.30B
"June 30, 2019",14.86B
"March 31, 2019",11.36B
"Dec. 31, 2018",10.56B
"Sept. 30, 2018",10.49B
"June 30, 2018",10.51B
"March 31, 2018",10.47B
"Dec. 31, 2017",9.696B
"Sept. 30, 2017",9.78B
"June 30, 2017",10.06B
"March 31, 2017",10.43B
"Dec. 31, 2016",9.487B
"Sept. 30, 2016",9.824B
"June 30, 2016",9.847B
"March 31, 2016",8.721B
"Dec. 31, 2015",8.633B
"Sept. 30, 2015",8.402B
"June 30, 2015",8.904B
"March 31, 2015",8.905B
"Dec. 31, 2014",8.044B
"Sept. 30, 2014",7.301B
"June 30, 2014",7.292B
"March 31, 2014",7.275B
"Dec. 31, 2013",7.989B
"Sept. 30, 2013",8.677B
"June 30, 2013",8.695B
"March 31, 2013",8.254B
"Dec. 31, 2012",8.89B
"Sept. 30, 2012",9.014B
"June 30, 2012",8.735B
"March 31, 2012",8.817B
"Dec. 31, 2011",9.88B
"Sept. 30, 2011",10.78B
"June 30, 2011",10.32B
"March 31, 2011",10.72B
"Dec. 31, 2010",11.47B
"June 30, 2010",11.44B
"March 31, 2010",11.46B
"Dec. 31, 2009",12.22B
"Sept. 30, 2009",10.06B
"June 30, 2009",8.70B
"March 31, 2009",8.742B
"Dec. 31, 2008",6.952B
"Sept. 30, 2008",7.217B
"June 30, 2008",7.24B
"March 31, 2008",7.428B
"Dec. 31, 2007",7.455B
"Sept. 30, 2007",7.555B
"June 30, 2007",8.094B
"March 31, 2007",8.149B
"Dec. 31, 2006",8.157B
"Sept. 30, 2006",8.549B
"June 30, 2006",8.962B
"March 31, 2006",9.057B
"Dec. 31, 2005",9.538B
"Sept. 30, 2005",10.14B
"June 30, 2005",10.22B
"March 31, 2005",10.78B
"Dec. 31, 2004",10.88B
"Sept. 30, 2004",11.05B
"June 30, 2004",11.08B
"March 31, 2004",13.11B
"Dec. 31, 2003",13.30B
"Sept. 30, 2003",13.32B
"June 30, 2003",13.08B
"March 31, 2003",13.21B
"Dec. 31, 2002",12.59B
"Sept. 30, 2002",11.99B
"June 30, 2002",11.31B
"March 31, 2002",11.32B
"Dec. 31, 2001",10.87B
"Sept. 30, 2001",9.306B
"June 30, 2001",9.81B
"March 31, 2001",8.238B
"Dec. 31, 2000",7.567B
"Sept. 30, 2000",7.081B
"June 30, 2000",5.657B
"March 31, 2000",5.709B
"Dec. 31, 1999",5.98B
"Sept. 30, 1999",5.909B
"June 30, 1999",6.097B
"March 31, 1999",6.162B
"Dec. 31, 1998",6.103B
"Sept. 30, 1998",6.261B
"June 30, 1998",6.438B
"March 31, 1998",6.43B
"Dec. 31, 1997",6.123B
"Sept. 30, 1997",6.353B
"June 30, 1997",3.619B
"March 31, 1997",3.652B
"Dec. 31, 1996",6.852B
"Sept. 30, 1996",2.332B
"June 30, 1996",2.337B
"March 31, 1996",2.338B
"Dec. 31, 1995",2.344B
"Sept. 30, 1995",2.355B
"June 30, 1995",2.361B
"March 31, 1995",2.348B
"Dec. 31, 1994",2.603B
"Sept. 30, 1994",2.605B
"June 30, 1994",2.608B
"March 31, 1994",2.606B
"Dec. 31, 1993",2.613B
"Sept. 30, 1993",2.491B
"June 30, 1993",2.243B
"March 31, 1993",1.771B
"Dec. 31, 1992",1.772B
"Sept. 30, 1992",1.721B
"June 30, 1992",1.307B
"March 31, 1992",1.306B
"Dec. 31, 1991",1.313B
"Sept. 30, 1991",948.00M
"June 30, 1991",308.00M
"March 31, 1991",309.00M
"Dec. 31, 1990",311.00M
"Sept. 30, 1990",310.00M
"June 30, 1990",287.00M
"March 31, 1990",286.00M
"Dec. 31, 1989",275.00M
"Sept. 30, 1989",273.00M
"June 30, 1989",249.00M
"Dec. 31, 1988",251.00M
"Dec. 31, 1987",256.00M
"Dec. 31, 1986",263.00M
"Dec. 31, 1985",16.00M
"Dec. 31, 1984",284.00M
