date,accruals
"Dec. 31, 2019",1.21B
"Sept. 30, 2019",3.591B
"June 30, 2019",-2.352B
"March 31, 2019",-639.00M
"Dec. 31, 2018",477.00M
"Sept. 30, 2018",-2.196B
"June 30, 2018",-2.484B
"March 31, 2018",-659.00M
"Dec. 31, 2017",417.00M
"Sept. 30, 2017",-1.586B
"June 30, 2017",-3.20B
"March 31, 2017",-519.00M
"Dec. 31, 2016",-1.059B
"Sept. 30, 2016",-923.00M
"June 30, 2016",-3.424B
"March 31, 2016",-56.00M
"Dec. 31, 2015",-2.093B
"Sept. 30, 2015",-1.155B
"June 30, 2015",-2.187B
"March 31, 2015",1.248B
"Dec. 31, 2014",-3.532B
"Sept. 30, 2014",423.00M
"June 30, 2014",-156.00M
"March 31, 2014",-147.00M
"Dec. 31, 2013",-147.00M
"Sept. 30, 2013",-1.65B
"June 30, 2013",-2.379B
"March 31, 2013",582.00M
"Dec. 31, 2012",-3.189B
"Sept. 30, 2012",-564.00M
"June 30, 2012",59.00M
"March 31, 2012",86.00M
"Dec. 31, 2011",-1.538B
"Sept. 30, 2011",649.00M
"June 30, 2011",-655.00M
"March 31, 2011",1.539B
"Dec. 31, 2010",48.00M
"Sept. 30, 2010",-1.018B
"June 30, 2010",521.00M
"March 31, 2010",804.00M
"Dec. 31, 2009",-1.944B
"Sept. 30, 2009",-2.761B
"June 30, 2009",-3.00M
"March 31, 2009",417.00M
"Dec. 31, 2008",1.555B
"Sept. 30, 2008",1.137B
"June 30, 2008",1.103B
"March 31, 2008",-722.00M
"Dec. 31, 2007",-860.00M
"Sept. 30, 2007",-2.215B
"June 30, 2007",-2.584B
"March 31, 2007",149.00M
"Dec. 31, 2006",-1.452B
"Sept. 30, 2006",134.00M
"June 30, 2006",-2.603B
"March 31, 2006",-1.363B
"Dec. 31, 2005",-1.927B
"Sept. 30, 2005",448.00M
"June 30, 2005",-2.124B
"March 31, 2005",-870.00M
"Dec. 31, 2004",-1.181B
"Sept. 30, 2004",-491.00M
"June 30, 2004",-647.00M
"March 31, 2004",687.00M
"Dec. 31, 2003",-1.328B
"Sept. 30, 2003",424.00M
"June 30, 2003",-1.037B
"March 31, 2003",-50.00M
"Dec. 31, 2002",-983.00M
"Sept. 30, 2002",-901.00M
"June 30, 2002",-112.00M
"March 31, 2002",-1.748B
"Dec. 31, 2001",-126.00M
"Sept. 30, 2001",-792.00M
"June 30, 2001",-296.00M
"March 31, 2001",147.00M
"Dec. 31, 2000",-1.617B
"Sept. 30, 2000",-1.096B
"June 30, 2000",-2.48B
"March 31, 2000",1.379B
"Dec. 31, 1999",-2.036B
"Sept. 30, 1999",-782.00M
"June 30, 1999",-785.00M
"March 31, 1999",-312.00M
"Dec. 31, 1998",-1.788B
"Sept. 30, 1998",261.00M
"June 30, 1998",570.00M
"March 31, 1998",-338.00M
"Dec. 31, 1997",-1.417B
"Sept. 30, 1997",-237.00M
"June 30, 1997",-812.00M
"March 31, 1997",183.00M
"Dec. 31, 1996",-713.00M
"Sept. 30, 1996",-731.00M
"June 30, 1996",-378.00M
"March 31, 1996",-292.00M
"Dec. 31, 1995",-722.00M
"Sept. 30, 1995",-125.00M
"June 30, 1995",-566.00M
"March 31, 1995",-758.00M
"Dec. 31, 1994",-436.00M
"Sept. 30, 1994",592.00M
"June 30, 1994",276.00M
"March 31, 1994",-653.00M
"Dec. 31, 1993",257.00M
"Sept. 30, 1993",496.00M
"June 30, 1993",-349.00M
"March 31, 1993",-514.00M
"Dec. 31, 1992",-1.364B
"Sept. 30, 1992",-70.00M
"June 30, 1992",-569.00M
"March 31, 1992",-807.00M
"Dec. 31, 1991",3.00M
"Sept. 30, 1991",33.00M
"June 30, 1991",-2.00M
"March 31, 1991",99.00M
"Dec. 31, 1990",286.00M
"Sept. 30, 1990",-460.00M
"June 30, 1990",-625.00M
"March 31, 1990",-1.152B
