date,total_employee_number
"Dec. 31, 2019",161100
"Dec. 31, 2018",153000
"Dec. 31, 2017",140800
"Dec. 31, 2016",150500
"Dec. 31, 2015",161400
"Dec. 31, 2014",165500
"Dec. 31, 2013",168400
"Dec. 31, 2012",174400
"Dec. 31, 2011",171700
"Dec. 31, 2010",160500
"Dec. 31, 2009",157100
"Dec. 31, 2008",162200
"Dec. 31, 2007",159300
"Dec. 31, 2006",154000
"Dec. 31, 2005",153000
"Dec. 31, 2004",159000
"Dec. 31, 2003",157000
"Dec. 31, 2002",166000
"Dec. 31, 2001",188000
"Dec. 31, 2000",198000
"Dec. 31, 1999",195000
"Dec. 31, 1998",227000
"Dec. 31, 1997",239000
"Dec. 31, 1996",143000
"Dec. 31, 1995",105000
"Dec. 31, 1994",115000
"Dec. 31, 1993",125500
"Dec. 31, 1992",148600
"Dec. 31, 1991",155700
"Dec. 31, 1990",161700
"Dec. 31, 1989",163900
