date,cash_dividend_payout_ratio
"Dec. 31, 2019",-105.1%
"Sept. 30, 2019",551.2%
"June 30, 2019",54.71%
"March 31, 2019",31.31%
"Dec. 31, 2018",29.16%
"Sept. 30, 2018",28.16%
"June 30, 2018",29.66%
"March 31, 2018",28.29%
"Dec. 31, 2017",29.78%
"Sept. 30, 2017",28.89%
"June 30, 2017",28.28%
"March 31, 2017",32.34%
"Dec. 31, 2016",34.96%
"Sept. 30, 2016",33.03%
"June 30, 2016",33.60%
"March 31, 2016",32.40%
"Dec. 31, 2015",36.02%
"Sept. 30, 2015",27.45%
"June 30, 2015",34.11%
"March 31, 2015",40.10%
"Dec. 31, 2014",31.94%
"Sept. 30, 2014",67.76%
"June 30, 2014",36.79%
"March 31, 2014",25.03%
"Dec. 31, 2013",24.69%
"Sept. 30, 2013",15.92%
"June 30, 2013",17.81%
"March 31, 2013",25.26%
"Dec. 31, 2012",22.80%
"Sept. 30, 2012",29.02%
"June 30, 2012",37.84%
"March 31, 2012",30.86%
"Dec. 31, 2011",53.85%
"Sept. 30, 2011",186.2%
"June 30, 2011",57.01%
"March 31, 2011",134.3%
"Dec. 31, 2010",68.66%
"Sept. 30, 2010",30.49%
"June 30, 2010",35.66%
"March 31, 2010",29.39%
"Dec. 31, 2009",27.62%
"Sept. 30, 2009",-175.5%
"June 30, 2009",-47.42%
"March 31, 2009",-29.58%
"Dec. 31, 2008",-52.91%
"Sept. 30, 2008",91.92%
"June 30, 2008",23.46%
"March 31, 2008",12.63%
"Dec. 31, 2007",14.29%
"Sept. 30, 2007",13.11%
"June 30, 2007",18.46%
"March 31, 2007",22.28%
"Dec. 31, 2006",16.43%
"Sept. 30, 2006",15.63%
"June 30, 2006",14.91%
"March 31, 2006",14.20%
"Dec. 31, 2005",15.04%
"Sept. 30, 2005",18.08%
"June 30, 2005",16.07%
"March 31, 2005",19.72%
"Dec. 31, 2004",28.70%
"Sept. 30, 2004",17.14%
"June 30, 2004",22.13%
"March 31, 2004",25.23%
"Dec. 31, 2003",29.06%
"Sept. 30, 2003",61.57%
"June 30, 2003",23.62%
"March 31, 2003",23.82%
"Dec. 31, 2002",17.65%
"Sept. 30, 2002",31.27%
"June 30, 2002",30.38%
"March 31, 2002",27.03%
"Dec. 31, 2001",21.52%
"Sept. 30, 2001",11.90%
"June 30, 2001",10.77%
"March 31, 2001",7.47%
"Dec. 31, 2000",10.06%
"Sept. 30, 2000",8.88%
"June 30, 2000",10.19%
"March 31, 2000",15.68%
"Dec. 31, 1999",10.77%
"Sept. 30, 1999",12.70%
"June 30, 1999",17.85%
"March 31, 1999",42.57%
"Dec. 31, 1998",75.20%
"Sept. 30, 1998",-106.2%
"June 30, 1998",-57.70%
"March 31, 1998",94.55%
"Dec. 31, 1997",78.01%
"Sept. 30, 1997",51.52%
"June 30, 1997",20.19%
"March 31, 1997",21.71%
"Dec. 31, 1996",18.18%
"Sept. 30, 1996",25.77%
"June 30, 1996",32.11%
"March 31, 1996",47.08%
"Dec. 31, 1995",31.27%
"Sept. 30, 1995",24.22%
"June 30, 1995",52.87%
"March 31, 1995",147.8%
"Dec. 31, 1994",120.6%
"Sept. 30, 1994",-121.9%
"June 30, 1994",-123.6%
"March 31, 1994",90.91%
"Dec. 31, 1993",918.9%
"Sept. 30, 1993",67.86%
"June 30, 1993",35.46%
"March 31, 1993",33.63%
"Dec. 31, 1992",28.29%
"Sept. 30, 1992",43.93%
"June 30, 1992",44.30%
"March 31, 1992",99.13%
"Dec. 31, 1991",-82.45%
"Sept. 30, 1991",-52.44%
"June 30, 1991",-563.9%
"March 31, 1991",65.46%
"Dec. 31, 1990",18.74%
