date,ni_per_employee_annual
"Dec. 31, 2019",-4049.67
"Dec. 31, 2018",71204.90
"Dec. 31, 2017",58070.72
"Dec. 31, 2016",32279.58
"Dec. 31, 2015",31667.18
"Dec. 31, 2014",32620.55
"Dec. 31, 2013",26750.29
"Dec. 31, 2012",22536.84
"Dec. 31, 2011",24190.25
"Dec. 31, 2010",20824.94
"Dec. 31, 2009",8217.98
"Dec. 31, 2008",16622.08
"Dec. 31, 2007",26007.02
"Dec. 31, 2006",14429.97
"Dec. 31, 2005",16487.18
"Dec. 31, 2004",11848.10
"Dec. 31, 2003",4445.82
"Dec. 31, 2002",2779.66
"Dec. 31, 2001",14647.67
"Dec. 31, 2000",10829.52
"Dec. 31, 1999",10943.13
"Dec. 31, 1998",4806.87
"Dec. 31, 1997",-931.94
"Dec. 31, 1996",14661.29
"Dec. 31, 1995",-327.27
"Dec. 31, 1994",7118.50
"Dec. 31, 1993",9076.98
"Dec. 31, 1992",3628.00
"Dec. 31, 1991",9873.98
"Dec. 31, 1990",8507.37
