date,assets
"Dec. 31, 2019",133.62B
"Sept. 30, 2019",132.60B
"June 30, 2019",126.26B
"March 31, 2019",120.21B
"Dec. 31, 2018",117.36B
"Sept. 30, 2018",114.66B
"June 30, 2018",113.20B
"March 31, 2018",113.55B
"Dec. 31, 2017",112.36B
"Sept. 30, 2017",91.01B
"June 30, 2017",90.04B
"March 31, 2017",89.67B
"Dec. 31, 2016",90.00B
"Sept. 30, 2016",88.95B
"June 30, 2016",89.61B
"March 31, 2016",91.55B
"Dec. 31, 2015",94.41B
"Sept. 30, 2015",99.00B
"June 30, 2015",98.10B
"March 31, 2015",97.78B
"Dec. 31, 2014",92.92B
"Sept. 30, 2014",92.65B
"June 30, 2014",92.74B
"March 31, 2014",91.58B
"Dec. 31, 2013",92.66B
"Sept. 30, 2013",94.63B
"June 30, 2013",92.09B
"March 31, 2013",90.45B
"Dec. 31, 2012",88.90B
"Sept. 30, 2012",83.65B
"June 30, 2012",81.60B
"March 31, 2012",80.20B
"Dec. 31, 2011",79.99B
"Sept. 30, 2011",74.16B
"June 30, 2011",72.12B
"March 31, 2011",68.76B
"Dec. 31, 2010",68.56B
"June 30, 2010",63.76B
"March 31, 2010",62.97B
"Dec. 31, 2009",62.05B
"Sept. 30, 2009",58.67B
"June 30, 2009",57.71B
"March 31, 2009",55.34B
"Dec. 31, 2008",53.78B
"Sept. 30, 2008",56.52B
"June 30, 2008",58.51B
"March 31, 2008",60.36B
"Dec. 31, 2007",58.99B
"Sept. 30, 2007",54.79B
"June 30, 2007",53.89B
"March 31, 2007",51.56B
"Dec. 31, 2006",51.79B
"Sept. 30, 2006",61.46B
"June 30, 2006",61.27B
"March 31, 2006",61.41B
"Dec. 31, 2005",60.00B
"Sept. 30, 2005",58.32B
"June 30, 2005",56.49B
"March 31, 2005",56.71B
"Dec. 31, 2004",56.22B
"Sept. 30, 2004",55.39B
"June 30, 2004",54.28B
"March 31, 2004",53.80B
"Dec. 31, 2003",52.99B
"Sept. 30, 2003",52.26B
"June 30, 2003",51.65B
"March 31, 2003",51.23B
"Dec. 31, 2002",52.34B
"Sept. 30, 2002",48.32B
"June 30, 2002",47.23B
"March 31, 2002",46.55B
"Dec. 31, 2001",48.98B
"Sept. 30, 2001",47.90B
"June 30, 2001",44.70B
"March 31, 2001",43.80B
"Dec. 31, 2000",42.68B
"Sept. 30, 2000",39.45B
"June 30, 2000",37.48B
"March 31, 2000",36.56B
"Dec. 31, 1999",36.15B
"Sept. 30, 1999",37.19B
"June 30, 1999",38.06B
"March 31, 1999",37.70B
"Dec. 31, 1998",37.02B
"Sept. 30, 1998",37.62B
"June 30, 1998",37.94B
"March 31, 1998",38.23B
"Dec. 31, 1997",38.02B
"Sept. 30, 1997",39.37B
"June 30, 1997",28.86B
"March 31, 1997",28.29B
"Dec. 31, 1996",37.88B
"Sept. 30, 1996",22.00B
"June 30, 1996",22.64B
"March 31, 1996",22.67B
"Dec. 31, 1995",22.10B
"Sept. 30, 1995",21.72B
"June 30, 1995",21.75B
"March 31, 1995",22.16B
"Dec. 31, 1994",21.46B
"Sept. 30, 1994",21.34B
"June 30, 1994",21.60B
"March 31, 1994",21.20B
"Dec. 31, 1993",20.45B
"Sept. 30, 1993",20.39B
"June 30, 1993",19.86B
"March 31, 1993",19.00B
"Dec. 31, 1992",18.15B
"Sept. 30, 1992",18.19B
"June 30, 1992",17.02B
"March 31, 1992",16.71B
"Dec. 31, 1991",15.78B
"Sept. 30, 1991",16.12B
"June 30, 1991",15.20B
"March 31, 1991",15.07B
"Dec. 31, 1990",14.59B
"Sept. 30, 1990",14.01B
"June 30, 1990",13.89B
"March 31, 1990",13.79B
"Dec. 31, 1989",13.28B
"Sept. 30, 1989",12.90B
"June 30, 1989",12.90B
"Dec. 31, 1988",12.61B
"Dec. 31, 1987",12.57B
"Dec. 31, 1986",11.07B
"Dec. 31, 1985",9.246B
"Dec. 31, 1984",8.485B
