date,ebitda_margin_ttm
"Dec. 31, 2019",0.96%
"Sept. 30, 2019",8.04%
"June 30, 2019",8.46%
"March 31, 2019",13.64%
"Dec. 31, 2018",14.03%
"Sept. 30, 2018",13.32%
"June 30, 2018",13.88%
"March 31, 2018",13.89%
"Dec. 31, 2017",13.31%
"Sept. 30, 2017",12.96%
"June 30, 2017",12.54%
"March 31, 2017",9.07%
"Dec. 31, 2016",8.53%
"Sept. 30, 2016",7.07%
"June 30, 2016",7.17%
"March 31, 2016",9.37%
"Dec. 31, 2015",9.64%
"Sept. 30, 2015",10.46%
"June 30, 2015",10.26%
"March 31, 2015",10.65%
"Dec. 31, 2014",10.33%
"Sept. 30, 2014",9.87%
"June 30, 2014",9.70%
"March 31, 2014",9.63%
"Dec. 31, 2013",9.77%
"Sept. 30, 2013",10.05%
"June 30, 2013",10.02%
"March 31, 2013",10.01%
"Dec. 31, 2012",9.99%
"Sept. 30, 2012",10.14%
"June 30, 2012",10.62%
"March 31, 2012",11.14%
"Dec. 31, 2011",10.98%
"Sept. 30, 2011",10.91%
"June 30, 2011",10.43%
"March 31, 2011",10.30%
"Dec. 31, 2010",10.53%
"Sept. 30, 2010",11.09%
"June 30, 2010",5.77%
"March 31, 2010",5.88%
"Dec. 31, 2009",5.47%
"Sept. 30, 2009",2.81%
"June 30, 2009",8.19%
"March 31, 2009",7.81%
"Dec. 31, 2008",9.34%
"Sept. 30, 2008",11.17%
"June 30, 2008",11.70%
"March 31, 2008",11.97%
"Dec. 31, 2007",11.20%
"Sept. 30, 2007",11.03%
"June 30, 2007",10.64%
"March 31, 2007",8.49%
"Dec. 31, 2006",8.09%
"Sept. 30, 2006",7.71%
"June 30, 2006",7.23%
"March 31, 2006",8.88%
"Dec. 31, 2005",8.61%
"Sept. 30, 2005",7.96%
"June 30, 2005",7.29%
"March 31, 2005",7.06%
"Dec. 31, 2004",7.25%
"Sept. 30, 2004",8.48%
"June 30, 2004",8.41%
"March 31, 2004",6.74%
"Dec. 31, 2003",4.51%
"Sept. 30, 2003",3.93%
"June 30, 2003",4.26%
"March 31, 2003",7.02%
"Dec. 31, 2002",9.24%
"Sept. 30, 2002",9.00%
"June 30, 2002",9.72%
"March 31, 2002",9.65%
"Dec. 31, 2001",10.24%
"Sept. 30, 2001",10.95%
"June 30, 2001",10.96%
"March 31, 2001",10.27%
"Dec. 31, 2000",9.59%
"Sept. 30, 2000",9.29%
"June 30, 2000",8.75%
"March 31, 2000",8.56%
"Dec. 31, 1999",8.30%
"Sept. 30, 1999",7.35%
"June 30, 1999",7.05%
"March 31, 1999",6.60%
"Dec. 31, 1998",5.68%
"Sept. 30, 1998",3.47%
"June 30, 1998",0.54%
"March 31, 1998",1.12%
"Dec. 31, 1997",2.62%
"Sept. 30, 1997",5.81%
"June 30, 1997",10.32%
"March 31, 1997",11.10%
"Dec. 31, 1996",10.70%
"Sept. 30, 1996",6.00%
"June 30, 1996",5.00%
"March 31, 1996",2.77%
"Dec. 31, 1995",3.00%
"Sept. 30, 1995",7.92%
"June 30, 1995",7.63%
"March 31, 1995",10.31%
"Dec. 31, 1994",10.46%
"Sept. 30, 1994",10.68%
"June 30, 1994",10.67%
"March 31, 1994",10.71%
"Dec. 31, 1993",10.68%
"Sept. 30, 1993",9.72%
"June 30, 1993",9.88%
"March 31, 1993",10.00%
"Dec. 31, 1992",9.94%
"Sept. 30, 1992",10.09%
"June 30, 1992",9.89%
"March 31, 1992",9.76%
"Dec. 31, 1991",9.48%
"Sept. 30, 1991",9.18%
"June 30, 1991",8.64%
"March 31, 1991",8.15%
"Dec. 31, 1990",8.00%
"Sept. 30, 1990",7.26%
"June 30, 1990",7.00%
"March 31, 1990",6.46%
"Dec. 31, 1989",24.39%
"Sept. 30, 1989",-34.03%
"June 30, 1989",-20.34%
"March 31, 1989",4.66%
"Dec. 31, 1988",2.64%
"Sept. 30, 1988",9.25%
"June 30, 1988",8.11%
"March 31, 1988",0.58%
"Dec. 31, 1987",1.36%
"Sept. 30, 1987",0.17%
"June 30, 1987",1.98%
"March 31, 1987",5.22%
"Dec. 31, 1986",3.86%
"Sept. 30, 1986",16.32%
"June 30, 1986",12.31%
"March 31, 1986",8.26%
"Dec. 31, 1985",4.28%
"Sept. 30, 1985",21.41%
"June 30, 1985",15.46%
"March 31, 1985",10.71%
"Dec. 31, 1984",3.41%
