Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/13/2020,02/14/2020,03/06/2020,12/16/2019,Normal,2.055
11/07/2019,11/08/2019,12/06/2019,10/21/2019,Normal,2.055
08/08/2019,08/09/2019,09/06/2019,06/24/2019,Normal,2.055
05/09/2019,05/10/2019,06/07/2019,04/29/2019,Normal,2.055
02/07/2019,02/08/2019,03/01/2019,12/17/2018,Normal,2.055
11/08/2018,11/09/2018,12/07/2018,10/22/2018,Normal,1.71
08/09/2018,08/10/2018,09/07/2018,06/25/2018,Normal,1.71
05/10/2018,05/11/2018,06/01/2018,04/30/2018,Normal,1.71
02/08/2018,02/09/2018,03/02/2018,12/11/2017,Normal,1.71
11/09/2017,11/10/2017,12/01/2017,10/30/2017,Normal,1.42
08/09/2017,08/11/2017,09/01/2017,06/27/2017,Normal,1.42
05/10/2017,05/12/2017,06/02/2017,05/02/2017,Normal,1.42
02/08/2017,02/10/2017,03/03/2017,12/12/2016,Normal,1.42
11/08/2016,11/11/2016,12/02/2016,11/01/2016,Normal,1.09
08/10/2016,08/12/2016,09/02/2016,06/27/2016,Normal,1.09
05/11/2016,05/13/2016,06/03/2016,05/02/2016,Normal,1.09
02/10/2016,02/12/2016,03/04/2016,12/14/2015,Normal,1.09
11/04/2015,11/06/2015,12/04/2015,10/26/2015,Normal,0.91
08/05/2015,08/07/2015,09/04/2015,06/22/2015,Normal,0.91
05/06/2015,05/08/2015,06/05/2015,04/27/2015,Normal,0.91
02/11/2015,02/13/2015,03/06/2015,12/15/2014,Normal,0.91
11/05/2014,11/07/2014,12/05/2014,10/27/2014,Normal,0.73
08/06/2014,08/08/2014,09/05/2014,06/23/2014,Normal,0.73
05/07/2014,05/09/2014,06/06/2014,04/28/2014,Normal,0.73
02/12/2014,02/14/2014,03/07/2014,12/17/2013,Normal,0.73
11/06/2013,11/08/2013,12/06/2013,10/28/2013,Normal,0.485
08/07/2013,08/09/2013,09/06/2013,06/24/2013,Normal,0.485
05/08/2013,05/10/2013,06/07/2013,04/29/2013,Normal,0.485
02/13/2013,02/15/2013,03/08/2013,12/18/2012,Normal,0.485
11/07/2012,11/09/2012,12/07/2012,10/29/2012,Normal,0.44
08/15/2012,08/17/2012,09/07/2012,06/26/2012,Normal,0.44
05/09/2012,05/11/2012,06/01/2012,05/01/2012,Normal,0.44
02/08/2012,02/10/2012,03/02/2012,12/13/2011,Normal,0.44
11/08/2011,11/11/2011,12/02/2011,11/01/2011,Normal,0.42
08/10/2011,08/12/2011,09/02/2011,06/28/2011,Normal,0.42
05/11/2011,05/13/2011,06/03/2011,05/03/2011,Normal,0.42
02/09/2011,02/11/2011,03/04/2011,12/14/2010,Normal,0.42
11/03/2010,11/05/2010,12/03/2010,10/26/2010,Normal,0.42
08/04/2010,08/06/2010,09/03/2010,06/22/2010,Normal,0.42
05/05/2010,05/07/2010,06/04/2010,04/27/2010,Normal,0.42
02/03/2010,02/05/2010,03/05/2010,12/15/2009,Normal,0.42
11/04/2009,11/06/2009,12/04/2009,10/27/2009,Normal,0.42
08/05/2009,08/07/2009,09/04/2009,06/23/2009,Normal,0.42
05/06/2009,05/08/2009,06/05/2009,04/30/2009,Normal,0.42
02/04/2009,02/06/2008,03/06/2009,12/16/2008,Normal,0.42
11/05/2008,11/07/2008,12/05/2008,10/28/2008,Normal,0.40
08/06/2008,08/08/2008,09/05/2008,06/24/2008,Normal,0.40
