date,net_income_ttm
"Dec. 31, 2019",-636.00M
"Sept. 30, 2019",3.798B
"June 30, 2019",4.994B
"March 31, 2019",10.13B
"Dec. 31, 2018",10.46B
"Sept. 30, 2018",10.36B
"June 30, 2018",9.803B
"March 31, 2018",9.356B
"Dec. 31, 2017",8.458B
"Sept. 30, 2017",6.908B
"June 30, 2017",7.377B
"March 31, 2017",5.394B
"Dec. 31, 2016",5.034B
"Sept. 30, 2016",4.29B
"June 30, 2016",3.715B
"March 31, 2016",5.059B
"Dec. 31, 2015",5.176B
"Sept. 30, 2015",5.616B
"June 30, 2015",5.274B
"March 31, 2015",5.817B
"Dec. 31, 2014",5.446B
"Sept. 30, 2014",5.213B
"June 30, 2014",5.009B
"March 31, 2014",4.444B
"Dec. 31, 2013",4.585B
"Sept. 30, 2013",4.33B
"June 30, 2013",4.204B
"March 31, 2013",4.083B
"Dec. 31, 2012",3.90B
"Sept. 30, 2012",4.315B
"June 30, 2012",4.381B
"March 31, 2012",4.355B
"Dec. 31, 2011",4.018B
"Sept. 30, 2011",3.789B
"June 30, 2011",3.528B
"March 31, 2011",3.374B
"Dec. 31, 2010",3.307B
"Sept. 30, 2010",3.411B
"June 30, 2010",1.01B
"March 31, 2010",1.221B
"Dec. 31, 2009",1.312B
"Sept. 30, 2009",-42.00M
"June 30, 2009",2.217B
"March 31, 2009",2.071B
"Dec. 31, 2008",2.672B
"Sept. 30, 2008",3.791B
"June 30, 2008",4.21B
"March 31, 2008",4.408B
"Dec. 31, 2007",4.074B
"Sept. 30, 2007",4.03B
"June 30, 2007",3.61B
"March 31, 2007",2.40B
"Dec. 31, 2006",2.215B
"Sept. 30, 2006",1.686B
"June 30, 2006",2.003B
"March 31, 2006",2.684B
"Dec. 31, 2005",2.527B
"Sept. 30, 2005",2.253B
"June 30, 2005",1.698B
"March 31, 2005",1.784B
"Dec. 31, 2004",1.872B
"Sept. 30, 2004",2.818B
"June 30, 2004",2.618B
"March 31, 2004",1.819B
"Dec. 31, 2003",718.00M
"Sept. 30, 2003",176.00M
"June 30, 2003",292.00M
"March 31, 2003",1.263B
"Dec. 31, 2002",492.00M
"Sept. 30, 2002",2.00M
"June 30, 2002",280.00M
"March 31, 2002",341.00M
"Dec. 31, 2001",2.827B
"Sept. 30, 2001",3.208B
"June 30, 2001",3.167B
"March 31, 2001",2.947B
"Dec. 31, 2000",2.128B
"Sept. 30, 2000",2.309B
"June 30, 2000",2.177B
"March 31, 2000",2.258B
"Dec. 31, 1999",2.309B
"Sept. 30, 1999",2.112B
"June 30, 1999",1.982B
"March 31, 1999",1.539B
"Dec. 31, 1998",1.12B
"Sept. 30, 1998",157.00M
"June 30, 1998",-886.00M
"March 31, 1998",-668.00M
"Dec. 31, 1997",-178.00M
"Sept. 30, 1997",764.00M
"June 30, 1997",1.926B
"March 31, 1997",1.918B
"Dec. 31, 1996",1.497B
"Sept. 30, 1996",842.00M
"June 30, 1996",601.00M
"March 31, 1996",-98.00M
"Dec. 31, 1995",-36.00M
"Sept. 30, 1995",332.00M
"June 30, 1995",292.00M
"March 31, 1995",745.00M
"Dec. 31, 1994",856.00M
"Sept. 30, 1994",1.003B
"June 30, 1994",1.007B
"March 31, 1994",1.211B
"Dec. 31, 1993",1.244B
"Sept. 30, 1993",234.00M
"June 30, 1993",409.00M
"March 31, 1993",436.00M
"Dec. 31, 1992",552.00M
"Sept. 30, 1992",1.661B
"June 30, 1992",1.698B
"March 31, 1992",1.699B
"Dec. 31, 1991",1.567B
"Sept. 30, 1991",1.482B
"June 30, 1991",1.459B
"March 31, 1991",1.392B
"Dec. 31, 1990",1.385B
"Sept. 30, 1990",1.144B
"June 30, 1990",1.008B
"March 31, 1990",816.00M
"Dec. 31, 1989",675.00M
"Sept. 30, 1989",772.00M
"June 30, 1989",674.00M
"March 31, 1989",639.00M
"Dec. 31, 1988",614.00M
"Sept. 30, 1988",581.00M
"June 30, 1988",541.00M
"March 31, 1988",498.00M
"Dec. 31, 1987",480.00M
"Sept. 30, 1987",530.00M
"June 30, 1987",583.00M
"March 31, 1987",635.00M
"Dec. 31, 1986",665.00M
"Sept. 30, 1986",662.00M
"June 30, 1986",637.00M
"March 31, 1986",604.00M
"Dec. 31, 1985",566.00M
"Sept. 30, 1985",502.00M
"June 30, 1985",456.00M
"March 31, 1985",422.00M
"Dec. 31, 1984",787.00M
