date,times_interest_earned
"Dec. 31, 2019",-2.129
"Sept. 30, 2019",7.472
"June 30, 2019",10.40
"March 31, 2019",23.38
"Dec. 31, 2018",25.43
"Sept. 30, 2018",26.55
"June 30, 2018",28.94
"March 31, 2018",29.80
"Dec. 31, 2017",29.08
"Sept. 30, 2017",28.48
"June 30, 2017",27.85
"March 31, 2017",20.33
"Dec. 31, 2016",19.90
"Sept. 30, 2016",16.26
"June 30, 2016",18.01
"March 31, 2016",25.22
"Dec. 31, 2015",27.02
"Sept. 30, 2015",29.12
"June 30, 2015",26.44
"March 31, 2015",26.24
"Dec. 31, 2014",22.43
"Sept. 30, 2014",20.08
"June 30, 2014",18.41
"March 31, 2014",17.50
"Dec. 31, 2013",17.15
"Sept. 30, 2013",16.75
"June 30, 2013",15.56
"March 31, 2013",14.78
"Dec. 31, 2012",14.37
"Sept. 30, 2012",14.44
"June 30, 2012",14.50
"March 31, 2012",13.96
"Dec. 31, 2011",12.31
"Sept. 30, 2011",10.79
"June 30, 2011",9.845
"March 31, 2011",9.282
"Dec. 31, 2010",9.734
"Sept. 30, 2010",11.23
"June 30, 2010",4.428
"March 31, 2010",5.577
"Dec. 31, 2009",6.106
"Sept. 30, 2009",0.549
"June 30, 2009",14.46
"March 31, 2009",15.43
"Dec. 31, 2008",20.78
"Sept. 30, 2008",
"June 30, 2008",132.90
"March 31, 2008",
"Dec. 31, 2007",
"Sept. 30, 2007",48.58
