date,fulmer_h_score
"Sept. 30, 2019",7.030
"June 30, 2019",7.695
"March 31, 2019",9.609
"Dec. 31, 2018",9.829
"Sept. 30, 2018",10.34
"June 30, 2018",10.19
"March 31, 2018",10.32
"Dec. 31, 2017",10.37
"Sept. 30, 2017",10.26
"June 30, 2017",10.12
"March 31, 2017",9.823
"Dec. 31, 2016",9.839
"Sept. 30, 2016",9.658
"June 30, 2016",9.432
"March 31, 2016",10.30
"Dec. 31, 2015",10.31
"Sept. 30, 2015",10.02
"June 30, 2015",9.560
"March 31, 2015",9.489
"Dec. 31, 2014",10.44
"Sept. 30, 2014",9.026
"June 30, 2014",9.152
"March 31, 2014",9.317
"Dec. 31, 2013",9.094
"Sept. 30, 2013",9.394
"June 30, 2013",9.089
"March 31, 2013",8.745
"Dec. 31, 2012",8.287
"Sept. 30, 2012",7.898
"June 30, 2012",7.582
"March 31, 2012",7.526
"Dec. 31, 2011",7.072
"Sept. 30, 2011",6.778
"June 30, 2011",6.740
"March 31, 2011",6.456
"Dec. 31, 2010",6.437
"Sept. 30, 2010",
"June 30, 2010",5.809
"March 31, 2010",6.024
"Dec. 31, 2009",6.048
"Sept. 30, 2009",3.096
"June 30, 2009",6.026
"March 31, 2009",5.822
"Dec. 31, 2008",5.939
"Sept. 30, 2008",
"June 30, 2008",8.529
"March 31, 2008",
"Dec. 31, 2007",
"Sept. 30, 2007",8.258
