date,cash_financing_ttm
"Dec. 31, 2019",5.739B
"Sept. 30, 2019",3.48B
"June 30, 2019",-4.449B
"March 31, 2019",-11.70B
"Dec. 31, 2018",-11.72B
"Sept. 30, 2018",-13.11B
"June 30, 2018",-12.75B
"March 31, 2018",-11.73B
"Dec. 31, 2017",-11.35B
"Sept. 30, 2017",-10.68B
"June 30, 2017",-9.552B
"March 31, 2017",-7.785B
"Dec. 31, 2016",-9.587B
"Sept. 30, 2016",-8.324B
"June 30, 2016",-8.189B
"March 31, 2016",-9.25B
"Dec. 31, 2015",-7.92B
"Sept. 30, 2015",-8.908B
"June 30, 2015",-8.369B
"March 31, 2015",-7.86B
"Dec. 31, 2014",-8.593B
"Sept. 30, 2014",-8.55B
"June 30, 2014",-7.783B
"March 31, 2014",-6.212B
"Dec. 31, 2013",-4.249B
"Sept. 30, 2013",-4.236B
"June 30, 2013",-3.81B
"March 31, 2013",-3.995B
"Dec. 31, 2012",-3.477B
"Sept. 30, 2012",-2.58B
"June 30, 2012",-1.85B
"March 31, 2012",-1.419B
"Dec. 31, 2011",-1.70B
"Sept. 30, 2011",-1.671B
"June 30, 2011",-2.931B
"March 31, 2011",-3.083B
"Dec. 31, 2010",-1.962B
"Sept. 30, 2010",-96.00M
"June 30, 2010",2.356B
"March 31, 2010",2.356B
"Dec. 31, 2009",4.094B
"Sept. 30, 2009",1.586B
"June 30, 2009",-1.509B
"March 31, 2009",-2.378B
"Dec. 31, 2008",-5.202B
"Sept. 30, 2008",-5.842B
"June 30, 2008",-5.494B
"March 31, 2008",-4.986B
"Dec. 31, 2007",-4.884B
"Sept. 30, 2007",-4.205B
"June 30, 2007",-4.053B
"March 31, 2007",-4.483B
"Dec. 31, 2006",-3.645B
"Sept. 30, 2006",-3.767B
"June 30, 2006",-3.872B
"March 31, 2006",-4.158B
"Dec. 31, 2005",-4.657B
"Sept. 30, 2005",-4.332B
"June 30, 2005",-4.82B
"March 31, 2005",-3.891B
"Dec. 31, 2004",-3.487B
"Sept. 30, 2004",-3.304B
"June 30, 2004",-1.574B
"March 31, 2004",-1.604B
"Dec. 31, 2003",-521.00M
"Sept. 30, 2003",85.00M
"June 30, 2003",139.00M
"March 31, 2003",853.00M
"Dec. 31, 2002",746.00M
"Sept. 30, 2002",1.21B
"June 30, 2002",998.00M
"March 31, 2002",1.076B
"Dec. 31, 2001",518.00M
"Sept. 30, 2001",-548.00M
"June 30, 2001",70.00M
"March 31, 2001",-637.00M
"Dec. 31, 2000",-658.00M
"Sept. 30, 2000",-1.399B
"June 30, 2000",-3.362B
"March 31, 2000",-3.601B
"Dec. 31, 1999",-3.62B
"Sept. 30, 1999",-3.179B
"June 30, 1999",-2.328B
"March 31, 1999",-1.838B
"Dec. 31, 1998",-1.778B
"Sept. 30, 1998",-1.195B
"June 30, 1998",-626.00M
"March 31, 1998",-823.00M
"Dec. 31, 1997",-899.00M
"Sept. 30, 1997",-1.065B
"June 30, 1997",-2.303B
"March 31, 1997",-1.972B
"Dec. 31, 1996",-1.983B
"Sept. 30, 1996",-1.89B
"June 30, 1996",-738.00M
"March 31, 1996",-633.00M
"Dec. 31, 1995",-470.00M
"Sept. 30, 1995",-247.00M
"June 30, 1995",-286.00M
"March 31, 1995",-331.00M
"Dec. 31, 1994",-335.00M
"Sept. 30, 1994",-194.00M
"June 30, 1994",55.00M
"March 31, 1994",524.00M
"Dec. 31, 1993",520.00M
"Sept. 30, 1993",465.00M
"June 30, 1993",644.00M
"March 31, 1993",63.00M
"Dec. 31, 1992",68.00M
"Sept. 30, 1992",268.00M
"June 30, 1992",442.00M
"March 31, 1992",549.00M
"Dec. 31, 1991",546.00M
"Sept. 30, 1991",271.00M
"June 30, 1991",-475.00M
"March 31, 1991",-473.00M
"Dec. 31, 1990",-442.00M
