date,cash_on_hand
"Dec. 31, 2019",10.03B
"Sept. 30, 2019",10.91B
"June 30, 2019",9.606B
"March 31, 2019",7.729B
"Dec. 31, 2018",8.564B
"Sept. 30, 2018",9.99B
"June 30, 2018",9.77B
"March 31, 2018",9.891B
"Dec. 31, 2017",9.992B
"Sept. 30, 2017",10.03B
"June 30, 2017",10.33B
"March 31, 2017",9.205B
"Dec. 31, 2016",10.03B
"Sept. 30, 2016",9.668B
"June 30, 2016",9.265B
"March 31, 2016",8.352B
"Dec. 31, 2015",12.05B
"Sept. 30, 2015",9.857B
"June 30, 2015",9.625B
"March 31, 2015",9.631B
"Dec. 31, 2014",13.09B
"Sept. 30, 2014",10.08B
"June 30, 2014",11.33B
"March 31, 2014",12.22B
"Dec. 31, 2013",15.26B
"Sept. 30, 2013",15.91B
"June 30, 2013",14.32B
"March 31, 2013",11.85B
"Dec. 31, 2012",13.56B
"Sept. 30, 2012",11.17B
"June 30, 2012",10.31B
"March 31, 2012",10.52B
"Dec. 31, 2011",11.27B
"Sept. 30, 2011",9.233B
"June 30, 2011",8.802B
"March 31, 2011",7.772B
"Dec. 31, 2010",10.52B
"June 30, 2010",10.03B
"March 31, 2010",10.36B
"Dec. 31, 2009",11.22B
"Sept. 30, 2009",6.446B
"June 30, 2009",4.77B
"March 31, 2009",4.45B
"Dec. 31, 2008",3.279B
"Sept. 30, 2008",4.777B
"June 30, 2008",7.371B
"March 31, 2008",9.588B
"Dec. 31, 2007",9.308B
"Sept. 30, 2007",9.464B
"June 30, 2007",7.631B
"March 31, 2007",5.277B
"Dec. 31, 2006",6.386B
"Sept. 30, 2006",5.621B
"June 30, 2006",8.134B
"March 31, 2006",7.357B
"Dec. 31, 2005",5.966B
"Sept. 30, 2005",5.074B
"June 30, 2005",5.168B
"March 31, 2005",3.497B
"Dec. 31, 2004",3.523B
"Sept. 30, 2004",4.408B
"June 30, 2004",6.184B
"March 31, 2004",3.95B
"Dec. 31, 2003",4.633B
"Sept. 30, 2003",1.733B
"June 30, 2003",1.879B
"March 31, 2003",1.993B
"Dec. 31, 2002",2.333B
"Sept. 30, 2002",1.702B
"June 30, 2002",816.00M
"March 31, 2002",643.00M
"Dec. 31, 2001",633.00M
"Sept. 30, 2001",1.572B
"June 30, 2001",1.502B
"March 31, 2001",1.552B
"Dec. 31, 2000",1.01B
"Sept. 30, 2000",6.262B
"June 30, 2000",4.872B
"March 31, 2000",2.727B
"Dec. 31, 1999",3.454B
"Sept. 30, 1999",2.773B
"June 30, 1999",3.002B
"March 31, 1999",2.674B
"Dec. 31, 1998",2.462B
"Sept. 30, 1998",2.714B
"June 30, 1998",3.456B
"March 31, 1998",4.546B
"Dec. 31, 1997",5.149B
"Sept. 30, 1997",5.55B
"June 30, 1997",6.381B
"March 31, 1997",5.514B
"Dec. 31, 1996",6.352B
"Sept. 30, 1996",5.555B
"June 30, 1996",5.64B
"March 31, 1996",4.532B
"Dec. 31, 1995",3.73B
"Sept. 30, 1995",4.201B
"June 30, 1995",3.483B
"March 31, 1995",2.788B
"Dec. 31, 1994",2.643B
"Sept. 30, 1994",2.596B
"June 30, 1994",3.409B
"March 31, 1994",3.84B
"Dec. 31, 1993",2.342B
"Sept. 30, 1993",2.298B
"June 30, 1993",3.057B
"March 31, 1993",3.106B
"Dec. 31, 1992",2.711B
"Sept. 30, 1992",3.714B
"June 30, 1992",3.658B
"March 31, 1992",3.215B
"Dec. 31, 1991",2.938B
"Sept. 30, 1991",3.465B
"June 30, 1991",3.065B
"March 31, 1991",3.111B
"Dec. 31, 1990",3.326B
"Sept. 30, 1990",3.854B
"June 30, 1990",3.613B
"March 31, 1990",2.899B
"Dec. 31, 1989",1.863B
"Sept. 30, 1989",3.114B
"June 30, 1989",3.659B
"Dec. 31, 1988",3.963B
"Dec. 31, 1987",3.435B
"Dec. 31, 1986",4.172B
"Dec. 31, 1985",3.209B
"Dec. 31, 1984",1.595B
