date,return_on_invested_capital
"Dec. 31, 2019",-3.83%
"Sept. 30, 2019",25.37%
"June 30, 2019",38.56%
"March 31, 2019",78.86%
"Dec. 31, 2018",84.42%
"Sept. 30, 2018",86.64%
"June 30, 2018",84.66%
"March 31, 2018",80.51%
"Dec. 31, 2017",76.83%
"Sept. 30, 2017",62.84%
"June 30, 2017",67.42%
"March 31, 2017",44.96%
"Dec. 31, 2016",38.58%
"Sept. 30, 2016",30.49%
"June 30, 2016",25.42%
"March 31, 2016",32.23%
"Dec. 31, 2015",31.52%
"Sept. 30, 2015",31.41%
"June 30, 2015",27.28%
"March 31, 2015",27.72%
"Dec. 31, 2014",24.24%
"Sept. 30, 2014",23.01%
"June 30, 2014",23.41%
"March 31, 2014",22.08%
"Dec. 31, 2013",24.58%
"Sept. 30, 2013",24.70%
"June 30, 2013",24.41%
"March 31, 2013",23.84%
"Dec. 31, 2012",23.04%
"Sept. 30, 2012",24.83%
"June 30, 2012",25.93%
"March 31, 2012",26.21%
"Dec. 31, 2011",24.62%
"Sept. 30, 2011",23.01%
"June 30, 2011",22.21%
"March 31, 2011",21.40%
"Dec. 31, 2010",21.15%
"Sept. 30, 2010",23.77%
"June 30, 2010",7.55%
"March 31, 2010",10.26%
"Dec. 31, 2009",13.15%
"Sept. 30, 2009",-0.41%
"June 30, 2009",19.23%
"March 31, 2009",15.81%
"Dec. 31, 2008",18.06%
"Sept. 30, 2008",22.96%
"June 30, 2008",26.06%
"March 31, 2008",28.12%
"Dec. 31, 2007",27.03%
"Sept. 30, 2007",25.41%
"June 30, 2007",21.20%
"March 31, 2007",12.88%
"Dec. 31, 2006",11.01%
"Sept. 30, 2006",7.91%
"June 30, 2006",9.31%
"March 31, 2006",12.20%
"Dec. 31, 2005",11.38%
"Sept. 30, 2005",10.14%
"June 30, 2005",7.48%
"March 31, 2005",7.81%
"Dec. 31, 2004",8.25%
"Sept. 30, 2004",12.56%
"June 30, 2004",11.70%
"March 31, 2004",8.15%
"Dec. 31, 2003",3.24%
"Sept. 30, 2003",0.78%
"June 30, 2003",1.28%
"March 31, 2003",5.49%
"Dec. 31, 2002",2.12%
"Sept. 30, 2002",0.01%
"June 30, 2002",1.22%
"March 31, 2002",1.52%
"Dec. 31, 2001",12.95%
"Sept. 30, 2001",15.14%
"June 30, 2001",15.58%
"March 31, 2001",15.02%
"Dec. 31, 2000",11.18%
"Sept. 30, 2000",12.25%
"June 30, 2000",11.59%
"March 31, 2000",11.89%
"Dec. 31, 1999",12.07%
"Sept. 30, 1999",10.86%
"June 30, 1999",10.10%
"March 31, 1999",7.82%
"Dec. 31, 1998",5.69%
"Sept. 30, 1998",0.78%
"June 30, 1998",-4.63%
"March 31, 1998",-3.67%
"Dec. 31, 1997",-0.97%
"Sept. 30, 1997",4.52%
"June 30, 1997",12.59%
"March 31, 1997",13.04%
"Dec. 31, 1996",10.55%
"Sept. 30, 1996",6.75%
"June 30, 1996",4.83%
"March 31, 1996",-0.79%
"Dec. 31, 1995",-0.29%
"Sept. 30, 1995",2.69%
"June 30, 1995",2.39%
"March 31, 1995",6.11%
"Dec. 31, 1994",7.13%
"Sept. 30, 1994",8.49%
"June 30, 1994",8.72%
"March 31, 1994",10.82%
"Dec. 31, 1993",11.54%
"Sept. 30, 1993",2.20%
"June 30, 1993",3.95%
"March 31, 1993",4.30%
"Dec. 31, 1992",5.52%
"Sept. 30, 1992",16.94%
"June 30, 1992",18.43%
"March 31, 1992",19.46%
"Dec. 31, 1991",19.07%
"Sept. 30, 1991",19.09%
"June 30, 1991",19.78%
"March 31, 1991",19.51%
"Dec. 31, 1990",20.09%
"Sept. 30, 1990",17.18%
"June 30, 1990",15.73%
"March 31, 1990",13.02%
"Dec. 31, 1989",11.22%
"Sept. 30, 1989",13.12%
