date,return_on_assets
"Dec. 31, 2019",-0.50%
"Sept. 30, 2019",3.11%
"June 30, 2019",4.22%
"March 31, 2019",8.75%
"Dec. 31, 2018",9.16%
"Sept. 30, 2018",9.50%
"June 30, 2018",9.42%
"March 31, 2018",9.42%
"Dec. 31, 2017",8.94%
"Sept. 30, 2017",7.68%
"June 30, 2017",8.23%
"March 31, 2017",6.00%
"Dec. 31, 2016",5.54%
"Sept. 30, 2016",4.63%
"June 30, 2016",3.93%
"March 31, 2016",5.26%
"Dec. 31, 2015",5.37%
"Sept. 30, 2015",5.84%
"June 30, 2015",5.56%
"March 31, 2015",6.22%
"Dec. 31, 2014",5.89%
"Sept. 30, 2014",5.61%
"June 30, 2014",5.40%
"March 31, 2014",4.82%
"Dec. 31, 2013",5.00%
"Sept. 30, 2013",4.81%
"June 30, 2013",4.81%
"March 31, 2013",4.81%
"Dec. 31, 2012",4.71%
"Sept. 30, 2012",5.40%
"June 30, 2012",5.64%
"March 31, 2012",5.80%
"Dec. 31, 2011",5.53%
"Sept. 30, 2011",5.34%
"June 30, 2011",5.17%
"March 31, 2011",5.11%
"Dec. 31, 2010",5.14%
"Sept. 30, 2010",5.51%
"June 30, 2010",1.65%
"March 31, 2010",2.06%
"Dec. 31, 2009",2.28%
"Sept. 30, 2009",-0.07%
"June 30, 2009",3.93%
"March 31, 2009",3.64%
"Dec. 31, 2008",4.64%
"Sept. 30, 2008",6.56%
"June 30, 2008",7.35%
"March 31, 2008",7.88%
"Dec. 31, 2007",7.52%
"Sept. 30, 2007",7.37%
"June 30, 2007",6.45%
"March 31, 2007",4.17%
"Dec. 31, 2006",3.74%
"Sept. 30, 2006",2.79%
"June 30, 2006",3.37%
"March 31, 2006",4.58%
"Dec. 31, 2005",4.39%
"Sept. 30, 2005",3.98%
"June 30, 2005",3.04%
"March 31, 2005",3.23%
"Dec. 31, 2004",3.43%
"Sept. 30, 2004",5.24%
"June 30, 2004",4.94%
"March 31, 2004",3.47%
"Dec. 31, 2003",1.38%
"Sept. 30, 2003",0.34%
"June 30, 2003",0.58%
"March 31, 2003",2.57%
"Dec. 31, 2002",1.01%
"Sept. 30, 2002",0.00%
"June 30, 2002",0.59%
"March 31, 2002",0.74%
"Dec. 31, 2001",6.20%
"Sept. 30, 2001",7.34%
"June 30, 2001",7.61%
"March 31, 2001",7.37%
"Dec. 31, 2000",5.53%
"Sept. 30, 2000",6.18%
"June 30, 2000",5.87%
"March 31, 2000",6.08%
"Dec. 31, 1999",6.20%
"Sept. 30, 1999",5.63%
"June 30, 1999",5.26%
"March 31, 1999",4.08%
"Dec. 31, 1998",2.97%
"Sept. 30, 1998",0.41%
"June 30, 1998",-2.43%
"March 31, 1998",-1.93%
"Dec. 31, 1997",-0.52%
"Sept. 30, 1997",2.44%
"June 30, 1997",6.89%
"March 31, 1997",7.18%
"Dec. 31, 1996",5.88%
"Sept. 30, 1996",3.79%
"June 30, 1996",2.71%
"March 31, 1996",-0.44%
"Dec. 31, 1995",-0.16%
"Sept. 30, 1995",1.53%
"June 30, 1995",1.35%
"March 31, 1995",3.46%
"Dec. 31, 1994",4.04%
"Sept. 30, 1994",4.78%
"June 30, 1994",4.86%
"March 31, 1994",6.00%
"Dec. 31, 1993",6.36%
"Sept. 30, 1993",1.22%
"June 30, 1993",2.22%
"March 31, 1993",2.45%
"Dec. 31, 1992",3.21%
"Sept. 30, 1992",9.91%
"June 30, 1992",10.50%
"March 31, 1992",10.77%
"Dec. 31, 1991",10.21%
"Sept. 30, 1991",9.88%
"June 30, 1991",10.03%
"March 31, 1991",9.75%
"Dec. 31, 1990",9.96%
"Sept. 30, 1990",8.43%
"June 30, 1990",7.55%
"March 31, 1990",6.17%
"Dec. 31, 1989",5.22%
"Sept. 30, 1989",6.03%
