date,sales_est_0q
"March 20, 2020",18.89B
"March 19, 2020",18.89B
"March 18, 2020",18.93B
"March 17, 2020",19.07B
"March 14, 2020",19.11B
"March 13, 2020",19.23B
"March 12, 2020",19.45B
"March 9, 2020",19.54B
"March 3, 2020",19.54B
"Feb. 27, 2020",19.55B
"Feb. 21, 2020",19.54B
"Feb. 12, 2020",19.58B
"Feb. 7, 2020",19.57B
"Feb. 5, 2020",19.55B
"Feb. 3, 2020",19.58B
"Feb. 2, 2020",19.74B
"Jan. 31, 2020",19.73B
"Jan. 30, 2020",19.62B
"Jan. 27, 2020",20.89B
"Jan. 23, 2020",21.03B
"Jan. 22, 2020",21.16B
"Jan. 17, 2020",22.73B
"Jan. 8, 2020",23.80B
"Jan. 7, 2020",24.80B
"Jan. 6, 2020",24.99B
"Dec. 31, 2019",21.76B
"Dec. 20, 2019",21.45B
"Dec. 17, 2019",21.57B
"Dec. 16, 2019",21.57B
"Dec. 9, 2019",21.52B
"Nov. 25, 2019",21.58B
"Oct. 29, 2019",21.62B
"Oct. 28, 2019",21.68B
"Oct. 27, 2019",21.43B
"Oct. 25, 2019",21.52B
"Oct. 24, 2019",21.41B
"Oct. 23, 2019",23.92B
"Oct. 21, 2019",23.94B
"Oct. 18, 2019",24.34B
"Oct. 16, 2019",24.66B
"Oct. 15, 2019",25.22B
"Oct. 14, 2019",25.38B
"Oct. 11, 2019",25.46B
"Oct. 10, 2019",25.68B
"Oct. 9, 2019",26.09B
"Oct. 8, 2019",26.37B
"Oct. 7, 2019",26.45B
"Oct. 2, 2019",26.29B
"Oct. 1, 2019",26.50B
"Sept. 30, 2019",19.96B
"Sept. 11, 2019",20.75B
"Sept. 4, 2019",20.75B
"Aug. 26, 2019",20.75B
"Aug. 13, 2019",20.75B
"Aug. 2, 2019",20.75B
"July 29, 2019",20.88B
"July 28, 2019",20.86B
"July 26, 2019",20.87B
"July 25, 2019",20.87B
"July 22, 2019",21.33B
"July 19, 2019",21.29B
"July 15, 2019",22.43B
"July 12, 2019",23.79B
"July 11, 2019",24.28B
"July 10, 2019",24.59B
"July 9, 2019",24.96B
"July 8, 2019",25.38B
"June 30, 2019",15.05B
"June 26, 2019",19.89B
"June 4, 2019",19.88B
"May 13, 2019",19.91B
"May 6, 2019",19.90B
"April 28, 2019",19.98B
"April 26, 2019",19.97B
"April 25, 2019",19.97B
"April 24, 2019",19.73B
"April 22, 2019",20.69B
"April 18, 2019",21.11B
"April 17, 2019",21.77B
"April 11, 2019",22.35B
"April 10, 2019",22.81B
"April 8, 2019",23.38B
"April 6, 2019",26.59B
"April 5, 2019",26.91B
"March 31, 2019",23.04B
"March 26, 2019",25.10B
"Feb. 20, 2019",25.43B
"Feb. 14, 2019",25.40B
"Feb. 5, 2019",25.32B
"Feb. 4, 2019",25.25B
"Feb. 3, 2019",25.20B
"Jan. 31, 2019",25.16B
"Jan. 30, 2019",25.35B
"Jan. 18, 2019",25.16B
"Jan. 16, 2019",25.11B
"Jan. 9, 2019",25.01B
"Dec. 31, 2018",26.76B
"Dec. 19, 2018",26.89B
"Dec. 3, 2018",26.93B
"Nov. 30, 2018",27.04B
"Nov. 28, 2018",27.04B
"Nov. 20, 2018",27.04B
"Nov. 13, 2018",27.04B
"Nov. 2, 2018",27.05B
"Oct. 30, 2018",27.05B
"Oct. 26, 2018",27.10B
"Oct. 25, 2018",27.06B
"Oct. 24, 2018",27.20B
"Oct. 22, 2018",26.94B
"Oct. 17, 2018",26.91B
"Oct. 16, 2018",26.96B
"Oct. 15, 2018",26.87B
"Oct. 12, 2018",26.73B
"Oct. 10, 2018",26.61B
"Oct. 9, 2018",26.70B
"Oct. 2, 2018",26.78B
"Sept. 30, 2018",23.84B
"Sept. 18, 2018",24.30B
"Sept. 17, 2018",24.25B
"Sept. 13, 2018",24.30B
"Sept. 6, 2018",24.62B
"Sept. 5, 2018",24.79B
"Aug. 29, 2018",24.79B
"Aug. 27, 2018",24.86B
"Aug. 24, 2018",24.95B
"Aug. 16, 2018",24.93B
"July 29, 2018",25.06B
"July 26, 2018",25.05B
"July 25, 2018",24.89B
"July 23, 2018",24.88B
"July 20, 2018",24.94B
"July 17, 2018",24.93B
"July 13, 2018",24.95B
"July 12, 2018",24.95B
"July 11, 2018",24.96B
"July 10, 2018",25.02B
"June 30, 2018",24.02B
"June 28, 2018",23.83B
"June 5, 2018",23.82B
"June 4, 2018",23.82B
"April 27, 2018",23.82B
"April 26, 2018",23.85B
"April 25, 2018",23.82B
"April 20, 2018",23.75B
"April 19, 2018",23.74B
"April 12, 2018",23.78B
"April 11, 2018",23.79B
"April 10, 2018",23.77B
"April 6, 2018",23.83B
"March 31, 2018",22.24B
"March 23, 2018",21.84B
"March 21, 2018",22.04B
"March 13, 2018",22.26B
"Feb. 8, 2018",22.29B
"Feb. 4, 2018",22.26B
"Feb. 2, 2018",22.24B
"Feb. 1, 2018",22.08B
"Jan. 31, 2018",21.62B
"Jan. 23, 2018",21.89B
"Jan. 22, 2018",21.79B
"Jan. 17, 2018",21.78B
"Jan. 16, 2018",21.76B
"Jan. 12, 2018",21.75B
"Jan. 10, 2018",21.80B
"Jan. 5, 2018",22.01B
